Verkiezing;;Gemeenteraad Emmen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Emmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Stadskerk;De Goede Herderkerk;Atlas Theater;Wijkcentrum Meerstede;Ichthus;Nationaal Archief;Buurthuis 't Bargermeertje;CBK De Fabriek;Dorpshuis 't Hoefijzer Zuidbarge;De Schanskuil;Dorpshuis Weerdinge;Wijkcentrum Angelslo;Kerkgebouw Het Baken;Kantine Sporthal Emmerhout;De Schepershof;De Wilker;Gymnastieklokaal O.b.s. De Brink;'t Brinkenhoes;Kerkgebouw De Bron;Mondenhal;Multifunctioneel Centrum De Badde;Dorpshuis 't Stadhoes;Protestantse kerk;Kantine sporthal De Klabbe;Dorpshuis De Stobbe;Buurtgebouw Ons Dorp;Buurtvereniging De Viersprong;Dorpshuis De Foxel;Veenkerk;De Collink;Kantine sporthal De Eendracht;Dorpshuis De Meerstal;Kruiskerk;Buurtvereniging Het Kruidenveld;Buurtschap Ons Belang;Wijk- en Dienstencentrum Noorderbreedte;Kantine sporthal De Zon;Buurthuis 't Hoekje;Dorpshuis De Klink;Parc Centrum Sandur;Dorphuis d'Aole Turfstee;S.K.W. Barnstee;'t Schienvat;Kantine S.C. Erica;Gymlokaal Jachthoorn;Zuiderkerk;Gymlokaal De Trans;Gymlokaal Valkenveld 1;Gymlokaal Valkenveld 2;Kantine DZOH;Zalencentrum d' Aol Meul;Kantine SVV'04;'t Aole Gemientehoes;De Dorpshoeve;De Webbe;Dorpshuis Trefpunt;Drenthe College, locatie Veldlaan;Dorpshuis De Veurkamer;Informatiecentrum Delftlanden;Gemeentehuis (ma);Gemeentehuis (di);Wijkcentrum Meerstede (ma);Wijkcentrum Meerstede (di);Wijkcentrum Angelslo (ma);Wijkcentrum Angelslo (di);De Schepershof (ma);De Schepershof (di);Kerkgebouw De Bron (ma);Kerkgebouw De Bron (di);Multifunctioneel Centrum De Badde (ma);Multifunctioneel Centrum De Badde (di);Protestantse kerk (ma);Protestantse kerk (di);De Collink (ma);De Collink (di);Kantine sporthal De Eendracht (ma);Kantine sporthal De Eendracht (di);Kruiskerk (ma);Kruiskerk (di);Dorpshuis De Klink (ma);Dorpshuis De Klink (di);S.K.W. Barnstee (ma);S.K.W. Barnstee (di);'t Schienvat (ma);'t Schienvat (di);Kantine DZOH (ma);Kantine DZOH (di);'t Aole Gemientehoes (ma);'t Aole Gemientehoes (di);De Dorpshoeve (ma);De Dorpshoeve (di);De Webbe (ma);De Webbe (di);Dorpshuis De Veurkamer (ma);Dorpshuis De Veurkamer (di);Mobiel stembureau 1 (ma);Mobiel stembureau 2 (ma);Mobiel stembureau 3 (di);Mobiel stembureau 4 (di);Mobiel stembureau 5 (wo);Mobiel stembureau 6 (wo)
;;4;van Klinken, D.R.;53;1;1;0;1;2;1;0;1;2;1;1;0;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;1;0;3;0;2;1;0;1;0;1;1;0;6;0;0;0;0;0;0;2;0;2;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0
;;5;Koops, B.L.;21;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;2;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Hilbrands, J.H.;21;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Graaf, N.D.T.;67;2;0;1;1;1;1;0;0;1;2;1;1;0;3;0;0;0;1;2;1;0;0;2;1;0;0;1;0;0;1;2;0;6;0;0;3;2;1;4;0;3;1;0;2;0;0;0;0;0;1;1;0;2;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Abdullahi, Y.S.;66;3;1;2;4;2;1;1;3;3;2;2;0;3;1;2;2;0;1;4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;1;0;0;0;1;2;4;0;0;1;0;1;0;1;1;1;0;2;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Jeurissen, B.H.;34;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;10;4;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Omvlee, L.A.G.;83;3;2;3;2;1;1;2;0;0;5;1;0;1;0;1;4;2;0;4;2;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;4;1;3;2;0;0;0;6;0;1;7;0;0;0;0;0;0;1;0;4;1;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Wessels, R.;23;0;0;1;1;5;0;0;0;0;0;8;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Taffijn, P.J.J.;13;0;0;0;2;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Knegt, H.J.W.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Hoek, J.M.F.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;ter Stege, E.;25;0;0;1;0;0;0;2;1;0;1;0;0;1;4;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;GROENLINKS;;;1731;57;23;20;24;38;24;24;11;23;27;13;15;46;33;27;60;13;27;110;57;5;25;8;4;12;9;8;11;4;4;13;2;7;5;10;12;11;8;12;17;55;13;28;41;23;3;5;36;64;33;40;6;6;38;10;16;8;28;32;29;21;31;3;20;9;20;16;25;37;33;3;3;6;6;1;2;2;2;0;8;3;1;4;4;6;6;14;32;2;4;1;1;1;1;10;6;0;7;2;2;3;0
;;1;van der Woude, B.;1011;34;16;10;14;24;14;14;4;15;17;9;13;27;13;18;27;8;17;72;37;3;16;7;2;10;5;5;6;1;2;8;1;5;0;1;6;10;5;5;9;35;9;14;11;6;2;4;23;50;25;26;0;4;26;5;10;3;17;16;16;15;19;2;6;7;8;10;8;19;23;1;2;6;1;0;0;0;2;0;3;2;1;2;1;5;3;13;16;1;3;0;1;0;1;6;5;0;1;1;2;3;0
;;2;Arling, F.;115;3;0;1;3;6;4;1;1;3;1;0;1;1;1;2;7;4;2;3;3;2;2;0;0;0;2;0;0;0;1;0;0;0;0;1;0;1;0;1;2;2;0;2;2;1;0;0;1;2;2;1;0;1;4;1;0;0;3;0;2;2;1;1;2;0;0;2;8;6;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;3;de Olde, L.J.;275;9;5;6;5;1;6;4;2;5;6;1;0;6;1;2;7;0;4;13;4;0;2;0;0;2;0;0;3;3;0;2;0;1;2;2;4;0;1;0;0;13;2;9;25;15;1;1;10;4;2;8;2;0;5;1;1;3;1;8;4;1;3;0;7;0;6;1;3;0;3;2;0;0;3;1;2;0;0;0;3;0;0;0;3;0;2;0;4;1;1;1;0;0;0;3;1;0;0;0;0;0;0
;;4;Tabak, W.A.A.H.;37;1;0;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;1;1;2;1;0;2;1;0;0;1;0;0;0;0;0;2;2;0;1;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Hendriks, H.H.;9;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Roose, J.;31;0;0;1;1;0;0;0;2;0;0;0;0;1;2;0;2;0;0;4;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;7;van Veen, R.;38;0;1;0;0;1;0;0;0;0;0;0;0;1;3;0;1;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;3;1;3;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;4;0;0;0;0
;;8;Reuver, M.;42;0;0;0;0;0;0;3;0;0;1;0;1;1;1;0;4;0;0;2;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1;1;4;0;0;0;0;1;0;1;3;0;1;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Scholte, D.;35;3;0;1;0;0;0;1;0;0;0;0;0;0;0;1;5;0;0;6;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;van Ommen, H.H.;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Deten, M.G.M.;11;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van der Vaart, P.J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Bulthuis, A.S.;77;6;1;0;0;0;0;0;2;0;0;2;0;8;10;0;5;0;1;4;2;0;0;0;2;0;0;0;2;0;0;0;0;0;1;2;1;0;2;2;1;2;0;1;2;1;0;0;0;1;0;0;0;0;1;1;0;0;2;1;0;1;2;0;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Dirks, W.F.C.;28;0;0;0;0;3;0;1;0;0;0;0;0;1;1;2;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;50PLUS;;;1119;27;9;11;35;40;12;4;11;5;9;15;16;36;29;22;25;14;13;38;16;7;18;7;2;19;5;11;2;3;2;8;5;9;16;6;31;22;7;15;11;20;6;29;14;17;4;3;13;25;20;10;1;3;28;1;7;6;14;11;7;16;24;17;16;10;12;10;18;15;9;2;7;0;3;1;2;1;0;13;8;5;6;1;11;4;17;5;3;5;6;0;1;1;5;2;6;3;8;7;0;4;3
;;1;Kasteleijn, H.M.;638;14;7;3;21;18;8;3;6;5;5;11;8;21;18;14;15;8;8;20;12;4;12;5;2;16;3;7;0;3;2;5;4;5;6;3;15;13;4;8;7;11;3;8;7;5;3;3;9;10;12;6;1;3;13;1;6;5;7;4;4;11;18;8;8;7;10;4;10;10;6;2;3;0;1;0;2;1;0;9;5;3;3;1;6;1;5;2;3;2;3;0;1;0;5;1;4;1;7;1;0;3;1
;;2;Hornis, M.P.;36;0;0;0;1;2;0;1;0;0;0;1;1;0;1;0;2;2;0;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;3;0;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;3;Schoo, A.W.J.;145;5;1;5;4;8;3;0;4;0;0;3;6;3;3;3;2;0;1;7;1;1;2;0;0;1;0;0;1;0;0;0;0;1;2;2;3;3;2;3;2;3;0;6;2;2;1;0;1;4;3;1;0;0;0;0;0;0;2;0;2;1;1;3;2;0;1;4;2;1;2;0;0;0;0;1;0;0;0;2;0;2;2;0;0;0;1;3;0;1;1;0;0;1;0;0;1;2;1;0;0;1;0
;;4;van der Weide-van Oenen, J.C.J.;172;2;1;2;4;7;0;0;0;0;2;0;0;6;2;2;4;2;1;4;0;2;3;2;0;0;0;0;0;0;0;2;1;2;4;0;12;4;0;2;1;4;2;7;5;10;0;0;1;4;1;3;0;0;12;0;1;1;1;4;0;1;2;1;3;0;1;1;4;1;0;0;2;0;1;0;0;0;0;1;1;0;1;0;3;0;11;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;2
;;5;Schulte, H.H.;38;0;0;1;2;0;1;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;1;0;1;4;0;0;2;0;1;1;0;0;7;0;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Nooij, H.C.;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van Liederen, V.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van der Lugt, R.;5;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Snellen, J.E.H.M.;17;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;10;Haring-Alberts, J.;34;1;0;0;2;3;0;0;1;0;1;0;1;2;3;0;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Weideveld, J.T.M.;18;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Vitaal Emmen;;;582;39;9;1;9;29;14;6;5;11;5;9;4;10;20;6;9;6;14;27;22;2;6;5;5;3;3;1;1;5;0;6;2;1;7;2;4;3;7;2;11;10;4;6;6;1;1;0;9;8;16;14;1;0;9;0;2;7;10;6;6;15;34;1;13;5;11;4;4;3;10;0;1;0;5;0;1;0;0;2;0;0;2;1;0;0;0;3;6;1;3;0;0;0;2;2;2;0;2;2;0;0;0
;;1;Grethe, J.;271;15;8;0;3;16;4;3;1;2;1;4;1;1;9;3;4;6;9;15;15;0;3;1;2;1;1;0;1;2;0;0;1;0;5;0;4;2;3;0;6;5;2;2;3;0;1;0;4;6;7;9;0;0;4;0;1;5;3;3;2;5;19;1;3;2;8;2;0;2;3;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0;0;2;3;1;1;0;0;0;0;2;1;0;0;1;0;0;0
;;2;Westera, W.A.H.;31;1;0;0;0;1;0;0;0;0;2;0;1;1;0;0;1;0;1;5;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Heeroma-Jalving, G.;52;5;1;0;0;3;2;0;0;2;0;0;0;2;1;1;0;0;0;1;1;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;3;0;2;0;1;0;1;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;4;Roemahlewang, R.G.;28;1;0;0;1;4;2;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;van Haren, J.E.;70;10;0;0;3;3;0;0;3;0;1;0;1;4;7;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;3;1;0;5;8;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;6;Bating, S.A.;22;2;0;1;0;0;0;0;0;3;0;4;0;0;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Grevink, A.;16;0;0;0;0;1;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Westera-Smoors, M.E.;53;2;0;0;0;0;2;3;1;1;1;0;1;0;0;1;0;0;0;2;1;1;1;2;2;0;0;1;0;3;0;0;0;1;2;0;0;1;0;0;1;1;0;0;2;0;0;0;1;0;2;0;0;0;4;0;0;0;0;0;2;1;1;0;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;9;Jalving-Heeroma, P.J.;39;3;0;0;2;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;3;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
12;Forum voor Democratie;;;1518;50;12;20;12;57;25;13;14;10;13;22;8;36;42;31;51;15;17;42;41;16;45;18;11;29;22;30;17;6;7;13;18;15;31;30;21;19;34;20;17;30;8;34;33;19;14;16;23;29;21;30;13;7;45;2;24;7;22;26;26;5;8;3;8;1;6;5;6;12;9;0;3;1;2;2;3;0;4;6;4;0;3;2;5;2;2;1;8;2;5;0;0;2;5;3;6;0;3;0;0;2;0
;;1;de Jong, R.S.;928;29;6;18;10;43;19;11;7;7;5;17;7;27;16;17;41;10;15;26;33;8;26;12;5;10;9;11;5;3;3;10;8;6;18;15;6;5;21;6;10;19;3;22;20;12;5;9;20;23;10;20;5;4;32;1;19;4;9;15;18;5;8;3;7;1;5;3;6;8;8;0;1;1;2;0;3;0;3;2;1;0;1;2;5;1;2;1;4;2;1;0;0;2;1;2;3;0;3;0;0;0;0
;;2;Poppen, A.;135;6;0;2;0;3;1;0;2;0;0;1;0;1;2;2;3;2;2;1;2;6;5;2;5;16;7;10;9;2;0;0;2;1;0;2;0;0;1;2;2;2;1;1;1;3;2;1;0;1;0;1;0;1;1;0;1;0;2;5;5;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Pruisman, T.N.;72;5;1;0;0;0;1;1;0;0;0;0;0;1;5;2;1;0;0;4;1;0;1;1;0;0;3;0;0;0;0;1;0;1;0;0;1;3;0;0;0;2;0;0;2;3;5;4;1;1;0;0;6;0;4;0;0;3;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;4;Redder, K.;48;1;1;0;1;3;0;1;0;0;1;3;0;1;2;6;2;0;0;1;0;1;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;5;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
