Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Burgerhoes;Cultuurhuis Landgraaf;Ontmoetingsruimte A gen Bruk;Parochiezaal Kerkplein;Ontmoetingsruimte A gen Maar;Unit Calshof  (ipv zorgcentrum Calshof);Gymzaal Leenhof;Wijkcentrum An de Koel  (ipv Harlekijn);Unit 't Eikske;Buurthuis de Molt;Harmoniezaal SUN-plein;Scouting St. Tarcisius;Ontmoetingscentrum Oude Heide;Sporthal Hoefveld (ipv school 't Valder);Gemeenschapshuis 't Ströatje;Theater Landgraaf (ipv zorgcentrum Heereveld);Gymzaal Olympia  Landgraaf (ipv school De Wegwijzer);MFC An d'r Put;Café d'r Sjtee Uul;Café 't Steenen Kruis (ipv school de Speurneus);Gemeenschapshuis De Residentie;Gemeenschapshuis D'r Eck;EV  Burgerhoes 14 maart 2022;EV MFC An d'r Put 14 maart 2022;EV gymzaal Olympia 14 maart 2022;EV wijkcentrum An de Koel 14 maart 2022;EV Burgerhoes 15 maart 2022;EV MFC An d'r Put 15 maart 2022;EV gymzaal Olympia 15 maart 2022;EV wijkcentrum An de Koel 15 maart 2022;EV Gemeenschapshuis D'r Eck 15 maart 2022
Gebiednummer;;;;;1;2;3;11;12;22;23;30;32;42;101;111;112;121;201;202;203;204;211;212;221;231;300;302;303;304;400;402;403;404;405
Postcode;;;;;6371 LB;6371 AW;6371 HW;6372 EZ;6372 EP;6372 RH;6371 HX;6372 AC;6372 VW;6371 EC;6373 LG;6373 CW;6373 GJ;6373 TT;6374 KC;6374 ES;6374 AE;6374 HR;6374 GS;6374 VR;6374 BK;6374 LV;6371 LB;6374 HR;6374 AE;6372 AC;6371 LB;6374 HR;6374 AE;6372 AC;6374 LV
;;4;Bonten, J.G.A.;67;7;3;1;0;2;5;2;3;6;2;0;0;4;7;4;1;0;1;2;0;1;3;6;1;0;1;3;0;0;2;0
;;5;Brakenhoff, C.;10;0;0;0;0;0;0;1;4;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;6;Snijkers, R.J.M.M.;53;1;1;0;4;4;1;0;0;2;0;1;2;11;6;3;0;1;1;2;0;2;0;0;2;2;2;3;1;1;0;0
;;7;Hersbach, J.J.;63;5;0;4;3;3;3;4;0;1;6;0;2;1;10;0;1;1;1;2;1;1;0;2;0;0;1;4;1;1;5;0
;;8;Haex, T.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Veerman-Volten, C.W.;61;3;1;3;3;0;1;0;1;1;6;4;5;3;4;1;3;2;1;1;1;1;0;5;3;0;1;6;0;0;1;0
;;10;Weckseler, J.M.H.;15;0;0;1;0;2;2;0;0;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0
;;11;Moonen, X.M.H.;14;0;0;0;0;3;2;0;2;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0
;;12;van Hulst, M.;8;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0
;;13;Carreira López-Schreurs, M.L.;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;1;1;1;0;1;0;0;1;0;0;0;1;0
;;14;Offermans, M.J.;15;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;8;0;0;0;0;0;1;0;0;0;1;0;0;0
;;15;Wilmsen, W.H.;14;0;0;0;0;0;1;0;0;0;0;4;0;2;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
;;16;Reichrath, G.J.;7;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0
5;SP (Socialistische Partij);;;1062;84;25;41;70;60;41;27;39;49;46;51;40;38;37;31;28;10;25;60;32;52;11;35;17;4;29;39;17;10;11;3
;;1;van Caldenberg, M.;565;49;16;19;39;31;16;17;22;29;31;24;20;23;25;11;12;3;10;19;16;35;6;21;6;0;16;29;7;5;6;2
;;2;Ubachs, J.B.;42;4;1;2;5;5;3;0;2;0;0;2;1;3;0;3;4;0;1;4;0;1;0;0;1;0;0;0;0;0;0;0
;;3;Wetzels, J.P.H.M.;70;4;1;4;7;1;1;3;2;3;1;9;3;5;3;0;3;2;2;0;3;1;1;4;1;0;0;3;3;0;0;0
;;4;Limbach, P.M.H.;62;2;0;1;0;3;0;0;0;2;0;0;1;1;2;4;4;1;0;23;4;0;0;2;5;0;4;0;0;0;2;1
;;5;Stalder-Westerhoff, Y.G.E.;162;7;4;4;11;9;7;2;4;7;11;9;8;4;2;8;4;3;9;8;3;8;4;4;2;2;5;4;6;2;1;0
;;6;Sour, P.J.H.;43;3;3;8;6;5;3;0;0;3;0;2;0;0;0;0;0;0;0;3;0;1;0;0;0;2;3;0;0;1;0;0
;;7;Ernste, L.A.M.J.;26;5;0;1;0;5;2;1;2;0;1;0;3;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0
