Verkiezing;;Gemeenteraad Maastricht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Maastricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis, Merretkamer;Stembureau Centre Céramique;Stembureau Theater aan het Vrijthof;Stembureau Muziekschool Kumulus;Stembureau Showroom Garage Bollen;Stembureau Verenigingszaal Circolo Sardegna;Stembureau Kumulus West;Stembureau NS Centraal Station;Stembureau Universiteit Maastricht, Kruithuis;Stembureau Centre Céramique;Stembureau Regionaal Historisch Centrum Limburg;Stembureau Wijkcombinatiegebouw La Bellettsa;Stembureau Buurtcentrum Sint Pieter;Stembureau Provincie Limburg (het LAB ingang parkeerdek);Stembureau Scoutinggebouw Sint Gerlach;Stembureau Stichting Moetiara Maloekoe;Stembureau Sportcafé Jekerdal;Stembureau Gemeenschapshuis Aen de Wan;Stembureau Athos;Stembureau Hotel van der Valk;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Zaal Aajd Vroenhoven, Harmonie Wilhelmina Wolder;Stembureau Basisschool Anne Frank;Stembureau Sporthal Daalhof 1;Stembureau Gemeenschapshuis De Klaekeburg;Stembureau Buurtcentrum Atrium;Stembureau Buurtcentrum De Boeckel;Stembureau Bejaardensociëteit Belfort;Stembureau vm. Basisschool de Kring;Stembureau Sporthal Daalhof 2;Stembureau Harmoniezaal Kon. Harmonie Heer;Stembureau Buurtcentrum Mariaberg;Stembureau Kantine RKSV Heer;Stembureau Flat Elisabeth Gruytersstraat;Stembureau Restobar Mama;Stembureau Gebouw LEF-team;Stembureau Trefcentrum Wittevrouwenveld;Stembureau Maris Stella;Stembureau St. Annakerk;Stembureau Scouting Amby;Stembureau Buurtcentrum De Romein;Stembureau Café-zaal De Kardinaal;Stembureau Bibliotheeksteunpunt Malpertuis;Stembureau Amyerhoof;Stembureau De Wiemerink;Stembureau Buurtcentrum Nazareth;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Centre Manjefiek Malberg 1;Stembureau Gymzaal Borgharen;Stembureau Centre Manjefiek Malberg 2;Stembureau  Dorpscentrum De Aw Sjaol;Stembureau Wijkcentrum De Luibe;Stembureau Restaurant Manjefiek;Stembureau Buurtcentrum Boschpoort;Stembureau Winkelcentrum Brusselse Poort;Stembureau Gymzaal OBS de Regenboog;Stembureau Basisschool El Habib;Stembureau Pathé bioscoop, Cine café;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de Kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis
;;16;van Loo, H.M.;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Dassen, T.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;18;Montulet, G.F.;17;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;19;Smal, S.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Dols, J.D.;10;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Oualkadi, B.;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
;;22;Albertz, E.L.G.;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Bongers, Y.;9;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van den Bosch, M.J.A.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Bouwsma, S.C.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Caljé, P.A.J.;8;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;27;Dickhaut, L.P.J.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;28;Flinterman, C.;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;29;Grünfeld, F.;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;30;Helledoorn, A.H.;9;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Hoekstra, C.C.;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;32;Jenniskens, W.H.P.;6;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Lune, A.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Lysen, J.H.;8;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;35;Maes, M.F.A.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Heinen, S.G.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Otten, P.H.A.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;38;Roede, M.J.;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Veugelers, K.H.L.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;van de Voort, H.H.L.M.;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;41;de Vrede, M.C.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;42;Franssen, H.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;43;Friedrichs, W.J.J.;16;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;;44;Mooren, R.N.G.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Ekinci, R.;14;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0
;;46;Schuuring, E.A.;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
;;47;Nuss, A.M.R.;17;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Quint - Maagdenberg, M.J.I.;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;49;Costongs, J.E.L.;30;1;0;0;0;1;0;1;0;3;0;2;0;2;0;0;0;0;1;0;0;1;0;0;2;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1
;;50;Rousseau, W.M.P.;18;0;0;1;1;1;1;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6;VVD;;;3152;120;125;53;77;30;22;38;46;46;46;44;21;129;18;16;10;44;62;110;42;41;51;32;68;46;53;48;33;28;25;30;100;14;26;44;77;17;21;12;27;45;24;29;16;65;11;26;30;20;15;29;16;26;42;22;32;31;63;2;19;56;69;28;31;39;25;5;23;11;6;57;85;46;40;59;29;27;24;30;7
;;1;Aarts, J.J.M.;1877;56;81;19;45;22;10;23;25;24;29;28;17;63;8;8;5;29;40;63;21;22;27;17;42;29;31;29;22;17;15;23;55;11;17;26;40;11;14;8;19;32;19;17;13;38;9;15;27;9;10;20;13;19;28;15;14;21;25;0;9;28;51;18;17;18;17;3;13;7;5;37;54;24;22;36;22;18;18;23;2
;;2;Noteborn, G.M.;365;10;5;7;11;2;1;7;4;4;7;6;1;23;2;0;0;2;4;9;6;7;7;9;8;3;6;7;3;3;5;2;20;2;4;6;8;2;1;0;1;4;4;4;1;5;1;2;1;0;0;5;0;5;3;1;5;1;22;0;2;3;5;1;7;10;3;1;3;0;0;3;11;10;12;8;2;0;2;2;1
;;3;Verkoijen, S.W.M.;110;5;1;2;0;1;1;1;1;2;2;1;1;4;2;2;1;0;7;1;3;1;3;0;3;1;5;0;3;1;1;2;1;0;4;0;4;0;0;0;1;0;0;2;0;2;0;2;0;1;0;1;1;1;0;1;11;0;1;0;0;5;0;1;0;1;1;0;0;1;0;2;0;2;0;1;2;2;1;0;0
;;4;van Heertum, J.C.R.;80;1;4;7;1;0;0;0;4;2;1;0;0;6;1;0;0;1;2;0;2;1;2;2;1;0;1;2;0;3;0;0;2;0;0;1;3;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;2;0;0;0;0;4;1;1;2;2;2;0;0;0;0;1;4;1;0;0;0;1;0;0;1
;;5;Klein, C.C.;63;3;7;3;4;0;0;3;1;0;1;0;1;4;2;0;0;0;0;3;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;1;0;1;0;0;0;1;0;0;2;0;0;1;0;0;4;2;2;0;0;0;0;1;1;0;1;0;0;0;0;1;1;2;0;0;0
;;6;Maillé, S.;81;8;4;1;2;0;6;1;0;1;0;0;0;2;0;0;0;1;1;0;2;4;2;0;0;3;1;0;0;0;0;0;1;0;0;4;5;0;0;1;0;3;0;0;0;4;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;2;1;0;0;2;2;0;2;0;3;0;0;0;0;0;2;0
;;7;van der Plas, H.;68;4;2;1;3;0;0;0;0;4;0;0;0;5;1;1;0;1;0;8;2;1;2;0;3;1;0;0;0;0;1;0;3;0;0;2;1;1;0;0;0;0;0;0;1;2;1;0;0;2;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;2;0;2;0;0;0
;;8;De Wit, F.;31;3;1;1;3;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;2
;;9;van Wissem, J.P.E.M.L.;29;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;3;1;4;1;0;0;0;1;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0
;;10;van Loon, S.G.W.;181;13;11;4;1;4;1;3;4;4;4;1;0;3;2;0;2;2;0;5;1;1;1;2;1;4;3;5;3;0;2;2;7;0;0;1;9;1;4;1;1;2;1;3;0;3;0;1;0;4;0;1;0;0;2;1;0;2;5;1;1;2;3;5;1;7;0;0;2;0;0;3;4;3;3;4;0;1;2;0;1
;;11;Lambriex, M.H.R.M.;44;2;2;0;2;0;0;0;1;0;1;0;0;3;0;0;0;2;2;2;0;1;3;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0
;;12;Laumen, T.M.L.;17;3;0;2;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;13;Vossen, R.J.M.F.;31;3;0;1;2;0;0;0;2;0;0;1;1;1;0;0;0;0;0;2;1;0;2;0;1;0;0;0;0;1;0;0;3;0;0;1;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Baltus, J.F.M.;11;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;15;Biesheuvel, R.;11;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Bost, J.W.J.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Kok, P.T.;5;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Kuiper, M.W.R.A.;8;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Policht, S.A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Stollenwerck, H.A.J.;52;5;3;0;2;0;0;0;0;3;1;5;0;7;0;2;0;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;0;1;0
;;21;Ceha-Konings, J.A.H.;80;1;3;0;1;1;0;0;1;1;0;1;0;3;0;3;0;5;2;10;1;1;1;2;2;2;0;3;0;1;1;0;2;0;0;0;2;0;0;1;1;0;0;0;0;2;0;2;1;1;1;0;0;1;0;0;0;1;2;0;0;1;3;0;1;0;1;0;0;0;0;2;4;1;2;0;1;1;0;0;0
7;SP (Socialistische Partij);;;2126;75;23;21;29;9;24;27;16;12;12;17;39;17;17;3;35;15;28;20;27;19;27;28;48;16;37;69;43;27;20;17;48;45;11;24;27;42;34;14;42;14;23;12;29;31;48;54;27;8;50;36;51;16;25;16;63;29;25;2;7;42;27;7;10;31;22;17;16;18;5;38;32;7;10;41;42;23;29;28;11
;;1;Schut, A.C.;1348;41;13;5;21;5;21;13;8;6;6;6;23;11;11;2;20;8;17;15;19;14;15;20;24;12;25;47;29;22;13;11;31;28;10;14;16;25;24;13;22;8;13;10;17;22;34;36;20;5;32;22;31;10;17;13;52;19;13;2;5;25;17;5;5;15;16;9;10;15;4;15;15;4;9;27;31;17;20;17;5
;;2;van Gelooven, J.M.;139;1;1;1;1;2;1;2;0;1;0;3;4;2;0;0;5;0;1;2;1;0;2;1;3;1;4;2;2;1;0;2;2;5;0;1;3;9;0;0;4;2;4;0;2;3;6;3;1;0;2;2;2;2;1;0;4;3;2;0;1;2;1;0;1;2;3;2;0;0;1;0;6;1;0;4;4;1;0;1;0
;;3;Vrehen, P.M.G.;191;11;3;6;1;0;0;1;1;1;0;4;0;2;0;1;3;0;1;0;3;4;3;1;5;0;1;6;4;4;3;0;11;4;0;6;1;1;1;0;6;0;2;0;1;0;4;1;1;1;5;7;3;2;1;0;1;3;4;0;1;12;2;0;0;4;3;2;1;2;0;15;4;0;0;3;1;0;2;2;2
;;4;Heusschen, J.J.L.;38;3;0;5;0;1;0;4;1;0;0;2;0;1;0;0;1;0;0;1;0;0;1;0;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;1;0;0
;;5;Alkema, M.M.T.;59;4;1;2;0;0;0;1;0;1;2;2;2;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;1;2;0;2;2;1;2;0;1;0;0;2;1;1;2;2;0;1;2;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;2;1;0;0;1;1;0;0;2;1;0;0;0;0
;;6;Blom, S.;89;6;0;0;0;0;0;2;3;0;3;0;2;0;2;0;2;2;1;1;2;1;2;4;2;0;0;2;3;0;0;1;1;0;0;1;0;1;1;0;2;1;0;0;0;3;0;0;3;0;1;1;3;0;1;1;3;1;5;0;0;0;2;1;2;3;0;0;1;0;0;1;2;0;1;2;0;2;0;2;0
;;7;Borger, T.;13;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Heijnen, P.J.C.C.;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0
;;9;Berk, L.;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
