Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Parrotia;Cultuurhuis de Suite;Buurthuis Keijenburg;Recreatiezaal Mimosaflat;Fatimahuis;Wiekendael;Buurtcentrum Kalsdonk;Buurtcentrum Kalsdonk;Parkeerterrein Liebau;Huis van de Westrand;Kadeplein;Moeder Godskerk;Moeder Godskerk;De Wieken;RSC Alliance;De Levensschool;'t Dijksteeke;'t Dijksteeke;Jan Tinbergen College;Sterrebos;Nisipa;Vondelschool;Schuurkapel;Schuurkapel;De Bergspil;De Wingerd;De Wingerd;Sterrebos;Werkplein Hart van West-Brabant;Huis van de Westrand;De Wieken;De Levensschool;RMHC De Pelikaan;RKVV Roosendaal;NS Station;RKSV Cluzona;De Geerhoek;De Geerhoek;ParelMoer;De Schalm;De Spil;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;101;102;103;104;105;106;201;202;203;204;205;206;207;208;301;302;303;304;305;306;307;308
Postcode;;;;;4701 PH;4701 EK;4702 CG;4702 BR;4702 GZ;4708 ZB;4702 RH;4702 RH;4703 CC;4703 HX;4703 GG;4707 AW;4707 AW;4707 CC;4707 XD;4707 TZ;4706 LB;4706 LB;4706 EZ;4706 LL;4709 AN;4707 AG;4708 DE;4708 DE;4708 HK;4708 KC;4708 KC;4706 LL;4701 GZ;4703 HX;4707 CC;4707 TZ;4708 AV;4708 AP;4702 VX;4724 BL;4724 EE;4724 EE;4727 SJ;4726 AH;4725 AC;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH
;;22;Leijdekkers, M.A.M.;31;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;8;3;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;2;1;3
;;23;van Steenpaal, C.J.P.;93;1;7;2;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;2;3;1;15;9;10;0;2;0;0;0;0;19;0;0;0;0;3;0;1;9;0;0;0;0
;;24;Linders, P.F.G.;31;1;1;3;0;3;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1
;;25;de Jonge, G.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;Goorden, F.C.;109;0;2;0;2;0;1;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;21;32;27;2;5;0;0;0;0;5;0;0;0;0;0;0;0;4;0;0;0;0
;;27;Matthijssen, W.M.;24;0;0;0;0;0;1;0;1;1;2;1;0;0;0;1;0;2;0;0;1;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;2;0;0;3;0;0;0;0;0;0
;;28;Wamsteker, W.M.;24;1;1;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;1;0;3;0;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;2;0;0;2;0
;;29;de Beer-van Kaam, Y.A.J.M.;61;5;6;3;2;1;0;2;0;0;1;2;2;1;2;1;1;1;0;0;0;2;1;1;0;2;1;0;0;2;1;0;1;3;1;0;0;0;2;0;1;0;2;2;0;0;0;0;2;0;1;0;1;1;1;0;3;0
;;30;Theunis, A.A.B.;161;2;7;2;2;1;3;2;4;4;3;1;6;5;3;2;3;4;5;1;1;6;5;3;3;9;1;0;4;1;2;6;2;4;3;0;1;0;2;0;1;3;1;3;8;0;3;0;4;0;1;5;10;1;1;1;4;2
2;VLP Roosendaal;;;6877;128;132;241;181;208;111;80;92;119;85;98;103;114;115;95;94;189;181;54;82;45;159;110;83;252;172;181;114;112;79;106;100;194;119;49;188;230;285;89;313;70;60;117;95;67;28;7;52;26;116;182;138;136;85;27;130;59
