Verkiezing;;Gemeenteraad Halderberge 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Halderberge;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Fidei et Arti;Gemeentehuis Woensdag;Gemeentewerf woensdag;Sporthal de Beuk;Basisschool de Klinkert;Sportkantine de Parrestee;Het Kompas;Zaal Hart van Gastel;Voetbalkantine Oud Gastel;Het Veerhuis woensdag;Voetbalkantine Stampersgat woensdag;Basisschool het Bossche Hart woensdag;Sint Jan de Doper kerk Woensdag;Gemeentehuis maandag;Gemeentewerf maandag;Het Veerhuis maandag;Sint Jan de Doper kerk maandag;Basisschool het Bossche Hart maandag;Voetbalkantine Stampersgat maandag;Gemeentehuis dinsdag;Gemeentewerf dinsdag;Het Veerhuis dinsdag;Sint Jan de Doper kerk dinsdag;Basisschool het Bossche Hart dinsdag;Voetbalkantine Stampersgat dinsdag
;;23;Helmons, A.P.C.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Santegoeds, A.J.;5;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Vermunt, J.C.A.M.;8;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;26;Schepers - Corstjens, E.J.;5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;27;Akkermans, J.A.;9;0;1;0;1;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
;;28;van Merrienboer sr., F.;17;0;0;1;0;1;0;0;1;0;7;0;3;1;0;0;1;1;0;0;0;0;0;0;1;0
5;D66;;;1053;97;52;30;65;97;113;49;39;28;49;18;64;78;31;6;30;34;9;2;53;16;27;53;13;0
;;1;Harteveld, F.;420;34;18;18;18;42;67;26;9;6;10;2;25;46;9;1;6;23;3;0;10;6;1;33;7;0
;;2;Nosrati, G.;59;16;2;2;9;1;5;0;0;1;1;1;4;1;2;0;1;2;0;0;9;0;0;1;1;0
;;3;Buijs, M.L.C.A.;43;0;1;0;4;7;12;3;2;0;0;0;0;7;1;0;0;0;0;1;3;0;0;1;1;0
;;4;van Steenbergen, L.H.;186;23;16;4;17;25;11;4;1;2;4;1;15;5;11;4;1;2;2;0;22;5;2;5;4;0
;;5;Derouichi, Y.;30;3;5;0;3;0;0;0;1;14;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;6;Logt, G.H.;84;5;1;0;1;1;0;2;20;0;16;1;1;0;2;0;11;0;0;0;0;2;19;2;0;0
;;7;Ploeg-Appiah, M.B.;59;5;2;3;1;6;8;5;0;1;1;0;4;13;1;0;1;1;0;1;2;0;2;2;0;0
;;8;Addink, B.;34;0;0;0;0;0;0;0;5;4;13;0;0;0;1;0;8;0;0;0;0;0;3;0;0;0
;;9;van Voorst Vader-Boon, N.D.;43;0;1;1;0;6;6;5;0;0;0;0;2;4;0;0;0;4;0;0;3;3;0;8;0;0
;;10;Diepstraten, T.J.P.;17;4;0;0;3;1;0;0;0;0;0;1;4;0;1;1;0;0;0;0;2;0;0;0;0;0
;;11;Stuit, G.S.;9;1;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;den Otter, J.L.M.E.;19;2;0;0;0;1;0;0;1;0;1;11;1;0;0;0;1;1;0;0;0;0;0;0;0;0
;;13;van Rees, C.;11;1;4;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0
;;14;Poot, D.;14;2;0;0;2;0;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
;;15;van den Bogaard, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
