Verkiezing;;Gemeenteraad 's-Hertogenbosch 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente 's-Hertogenbosch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor;Stembureau Groot Tuighuis;Stembureau Orangerie (A);Stembureau Orangerie (B);Stembureau Stadsklooster San Damiano;Stembureau Willem Twee Poppodium;Stembureau Tijdelijke Unit Centraal Station;Stembureau Tijdelijke Unit Centraal Station (maandag);Stembureau Tijdelijke Unit Centraal Station (dinsdag);Stembureau Mobiel stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Stadskantoor (maandag;Stembureau Stadskantoor (dinsdag);Stembureau Scouting Lucas;Stembureau Lucaskerk;Stembureau Sportzaal Weberstraat;Stembureau Provinciehuis;Stembureau Wijkcentrum de Stolp;Stembureau Sportzaal Rijnstraat (A);Stembureau Sportzaal Rijnstraat (B);Stembureau Verzamelgebouw Seringenstraat;Stembureau Buurthuis Graafsewijk Noord;Stembureau Kindcentrum Het IJzeren Kind;Stembureau SCC De Biechten (A);Stembureau SCC De Biechten (B);Stembureau Sportzaal Rijnstraat;Stembureau Sportzaal Rijnstraat;Stembureau Herstelacademie De Stijl;Stembureau Trefpunt De Slinger;Stembureau Kantoorpand achter Brandweerkazerne;Stembureau Koning Willem I College / Vlijmenseweg;Stembureau Koning Willem I College / Onderwijsboulevard;Stembureau Stichting De Westhoek;Stembureau 't Buurthuis;Stembureau RK Annakerk;Stembureau Sporthal de Schutskamp (A);Stembureau Sporthal de Schutskamp (B);Stembureau Sporthal de Schutskamp (A maandag);Stembureau Sporthal de Schutskamp (A dinsdag);Stembureau Sportzaal Churchilllaan;Stembureau Gereformeerde Kerk 's-Hertogenbosch;Stembureau Weener XL;Stembureau Nico Schuurmanshuis;Stembureau D'n Boerderij restaurant;Stembureau Clubhuis Voetbalvereniging TGG;Stembureau BBS Haren-Donk-Reit;Stembureau Gymzaal Eekbrouwersweg (A);Stembureau Gymzaal Eekbrouwersweg (B);Stembureau Gymzaal Eekbrouwersweg (A maandag);Stembureau Gymzaal Eekbrouwersweg (A dinsdag);Stembureau Brede Bossche School De Hambaken;Stembureau Buurtcentrum Noorderpoort Samen Doen;Stembureau Steunpunt Epigoon;Stembureau Sporthal Maaspoort (A);Stembureau Sporthal Maaspoort (B);Stembureau Sporthal Sociaal Cultureel Centrum De Schans A;Stembureau Sporthal Sociaal Cultureel Centrum De Schans B;Stembureau Gymzaal Meanderschool (A);Stembureau Gymzaal Meanderschool (B);Stembureau Kindcentrum Sterrenbosch;Stembureau Sporthal Sociaal Cultureel Centrum De Schans (MA);Stembureau Sporthal Sociaal Cultureel Centrum De Schans (DI);Stembureau Sportzaal Meerwijkweg (A);Stembureau Sportzaal Meerwijkweg (B);Stembureau Sportzaal Meerwijkweg (A maandag);Stembureau Sportzaal Meerwijkweg (A dinsdag);Stembureau Sportzaal Engelerhout (A);Stembureau Sportzaal Engelerhout (B);Stembureau Sportzaal Engelerhout (A maandag);Stembureau Sportzaal Engelerhout (A dinsdag);Stembureau Steunpunt Van Meeuwenhof;Stembureau Sociaal Cultureel Centrum Perron-3;Stembureau Basisschool De Krommenhoek;Stembureau Sportzaal Overlaet (A);Stembureau Sportzaal Overlaet (B);Stembureau Sportzaal Overlaet (A maandag);Stembureau Sportzaal Overlaet (A dinsdag);Stembureau HEVO Seniorenvereniging;Stembureau Oude Basisschool Kruisstraat;Stembureau Buro3o;Stembureau Sporthal de Hazelaar (A);Stembureau Sporthal de Hazelaar (B);Stembureau Sporthal de Hazelaar (A maandag);Stembureau Sporthal de Hazelaar (A dinsdag);Stembureau H. Laurentiuskerk;Stembureau De Vrolijke Schutters;Stembureau Wijkcentrum Windkracht 5 (A);Stembureau Wijkcentrum Windkracht 5 (B);Stembureau Wijkcentrum Windkracht 5 (A maandag);Stembureau Wijkcentrum Windkracht 5 (A dinsdag);Stembureau Hof Eyghentijds;Stembureau Postduivenvereniging de Zwaluw;Stembureau De Hazenkamp;Stembureau Gemeenschapshuis De Meent (A);Stembureau Gemeenschapshuis De Meent (B);Stembureau Gemeenschapshuis de Meent (maandag);Stembureau Gemeenschapshuis De Meent (dinsdag);Stembureau Gemeenschapshuis 't Zijl;Stembureau Gemeenschapshuis 't Zijl  (maandag);Stembureau Gemeenschapshuis 't Zijl (dinsdag)
;;35;Renema, A.;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Rooij, E.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;37;Wisselink, B.J.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Eysink Smeets, M.A.F.;11;0;1;0;0;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Warmerdam, M.I.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Ludwig, T.W.;10;1;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Wanrooij-Geenen, A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Vessem, S.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Kleyne, J.E.J.M;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van der Ven, A.C.H.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Schreinemachers, R.J.A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Dijkman, J.A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van de Ven, T.O.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Goossens, S.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Eigeman, B.S.;25;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;1;0;1;0;0;2;0;3;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;de Ruiter, E.J.;21;1;2;1;1;0;0;0;2;1;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;CDA;;;4858;92;56;47;48;58;11;95;64;56;22;14;37;59;83;56;122;53;52;41;13;15;37;49;47;57;39;36;35;40;80;19;60;25;49;31;34;34;24;48;64;43;36;23;58;84;15;38;19;25;40;40;29;11;50;22;15;69;49;70;62;33;71;71;104;96;54;79;89;82;59;62;28;34;21;20;19;14;14;78;20;56;27;21;45;48;99;40;39;36;31;26;34;51;29;57;48;41;62;190;50;80
;;1;van der Sloot, M.A.B.;3027;56;31;21;27;38;8;54;41;36;17;10;19;38;52;34;85;35;25;32;12;10;28;32;36;36;27;26;24;28;61;12;37;12;30;17;21;26;12;41;47;25;30;17;49;68;11;30;12;16;32;29;19;9;42;16;10;47;35;58;52;22;57;59;66;52;29;37;61;54;45;36;20;19;15;16;15;9;10;57;10;37;16;17;36;39;65;22;28;23;25;20;18;34;7;19;17;13;23;19;11;8
;;2;van Genugten, F.G.F.;301;13;6;8;2;5;2;9;4;7;1;2;13;9;8;9;20;10;5;4;0;1;1;2;1;6;3;6;4;0;6;3;4;1;3;1;4;2;2;1;2;3;0;1;1;9;0;3;3;2;1;2;3;1;0;0;1;6;3;0;3;2;4;1;1;2;1;2;5;2;0;3;1;5;1;2;2;1;0;3;2;4;1;1;1;1;8;4;1;0;2;1;0;1;0;1;0;1;0;1;0;1
;;3;Ploegmakers, M.C.J.M.;87;2;5;3;5;3;0;3;2;1;0;0;0;0;4;2;0;0;3;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;2;1;0;2;2;1;0;2;0;0;0;0;0;0;1;0;1;0;0;4;1;0;1;0;0;1;0;2;2;0;3;0;2;2;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;5;0;0;1;0;0;2;0;1;0;0;1;2;0;0
;;4;Lipman, R.;174;4;2;1;0;1;0;13;12;2;1;0;0;0;4;3;2;4;4;0;0;0;1;1;2;3;0;1;1;1;2;1;9;7;8;3;3;1;3;1;3;8;0;1;2;1;0;3;0;0;2;2;0;1;1;3;0;1;1;1;1;2;0;2;1;1;0;0;4;4;2;3;0;3;0;0;1;0;1;1;1;0;1;0;0;0;3;1;1;0;0;1;3;2;0;2;0;0;1;1;0;0
;;5;van Zaalen, Y.;82;1;0;2;4;1;0;2;2;1;0;1;0;0;2;0;0;0;1;1;0;0;2;2;3;0;0;0;1;6;4;0;1;1;1;1;0;2;1;0;0;3;0;0;2;1;2;0;0;3;3;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;4;0;3;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0
;;6;van der Leest, A.A.J.;255;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;3;3;3;130;34;61
;;7;Krabbers, K.D.M.R.;90;1;0;0;0;0;0;1;0;2;0;0;0;1;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;4;0;2;0;0;0;2;0;1;2;0;0;2;0;1;2;0;0;1;0;0;0;0;0;0;1;1;1;4;0;0;2;1;0;13;11;7;14;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;van Asseldonk-van Zwambagt, I.J.J.;200;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;1;2;5;0;0;0;1;0;2;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;1;1;1;0;0;1;2;0;9;9;1;7;5;5;3;6;4;0;0;1;0;2;0;2;7;3;2;2;1;1;4;0;1;2;0;0;4;1;11;7;9;2;9;35;5;8
;;9;Martins Beltrão, I.G.;83;4;5;6;5;0;0;6;0;1;0;0;0;5;6;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;1;2;2;1;3;1;0;1;0;7;1;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van der Biezen, J.I.M.;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;1;2;0;0;0;1;4;23;12;16;19;0;0;2
;;11;Martens, M.;67;2;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;1;7;0;1;4;0;0;3;7;3;2;3;3;2;3;4;0;0;0;0;0;0;0;0
;;12;de Brouwer, R.B.P.;8;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Schijndel-van den Berk, H.F.A.;29;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;3;2;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;4;0;2;0;2;0;3;0;0;0
;;14;van den Heuvel, C.M.T.;33;2;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;2;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;3;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Fockens, J.C.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Janse de Jonge, E.J.;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;1;1;7;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Koert, W.P.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0
;;18;de Quaij, C.F.;26;1;1;2;2;0;0;1;1;2;1;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Leeuw, E.H.J.;20;1;0;0;0;2;0;2;1;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Bruggen, J.H.M.;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;21;Löesink, A.;6;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Wiessenberg, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Wagemakers, B.J.M.;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Bierens, J.A.W.M.;15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Mous, I.E.;17;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Pommer, F.A.;14;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Koot, A.N.G.J.;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;28;Jonker, W.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van der Miessen, J.J.A.M.;13;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Wiertz, J.P.H.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van den Boom, I.J.C.;15;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;32;Heitkamp, V.A.A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Coonen, G.P.J.H.M.;8;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
