Verkiezing;;Gemeenteraad Valkenswaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Valkenswaard;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0858;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zorgcentrum Kempenhof;Buurtgebouw De Horizon;Speeltuin Geenhoven;Ontmoetingscentrum De zoete inval;Gymnastiekzaal 't Gegraaf;Carolus gebouw;Scholengemeenschap Were Di;Gemeentehuis;Theater De Hofnar;Mariakerk;H. Martinuskerk;Dommelsche Bierbrouwerij;Sporthal de Belleman;Ons Dommels Plèkske;Clubgebouw  't Heike V.V. Dommelen;Het Dorpshuis;Ontmoetingskerk;Gymnastiekzaal 't Gegraaf;Gymnastiekzaal 't Gegraaf;Theater De Hofnar;Theater De Hofnar;H. Martinuskerk;H. Martinuskerk;Ons Dommels Plèkske;Ons Dommels Plèkske
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;514;515;914;915;1114;1115;1414;1415
Postcode;;;;;5554 JV;5554 PA;5552 SB;5552 EM;5552 BG;5554 AG;5553 CC;5554 DA;5554 DA;5555 AP;5551 AW;5551 AE;5551 EV;5551 EW;5551 TE;5556 VL;5554 JC;5552 BG;5552 BG;5554 DA;5554 DA;5551 AW;5551 AW;5551 EW;5551 EW
;;19;van de Kerkhof, L.P.A;7;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Mostermans, M.J.C.C.;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Tooten, M.J.J.F.M.W.;5;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;22;Valkhof, J.;5;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;23;van Gorp, A.H.G.;8;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;3;0;0;0;0
;;24;Smeijers, M.C.H.G.;13;0;0;0;1;0;0;0;2;0;0;3;1;0;2;1;0;0;0;0;1;1;1;0;0;0
;;25;Wijnen, M.T.G.M.;46;0;0;3;0;1;1;2;12;5;8;1;0;0;0;0;5;1;0;0;3;3;0;0;0;1
4;Partij van de Arbeid (P.v.d.A.);;;1455;7;65;42;71;54;107;43;110;87;122;68;94;87;38;55;40;68;17;27;60;75;17;38;33;30
;;1;Theus, M.H.;959;6;45;27;44;39;74;30;79;70;67;43;54;65;27;34;26;49;9;18;42;59;5;9;20;18
;;2;Vissers, P.M.A.M.;45;0;0;0;3;0;6;1;3;2;1;0;11;2;0;1;1;2;2;1;0;1;0;2;1;5
;;3;Mollen, S.;131;0;1;7;9;4;6;4;7;6;12;9;7;9;2;9;10;2;2;2;2;3;4;5;4;5
;;4;Jonkers, H.J.A.;94;0;13;0;2;1;1;0;4;6;3;11;10;2;5;6;1;7;3;1;0;1;3;13;1;0
;;5;Weyers, J.A.W.P.;41;0;0;1;2;5;9;1;7;1;2;0;2;1;2;1;0;2;0;1;1;1;2;0;0;0
;;6;Louwers, T.P.M.E.;51;0;0;2;1;0;3;1;5;0;23;0;0;0;0;0;2;0;0;0;6;5;0;2;0;1
;;7;Buiter, C.M.;22;1;1;1;0;0;1;1;1;0;2;0;1;1;1;0;0;2;1;1;3;0;0;3;1;0
;;8;Hakvoort, A.T.;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;0;0
;;9;Schils, C.A.M.;19;0;3;0;2;1;4;1;0;0;2;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0
;;10;van Rens, C.A.;17;0;0;0;2;1;0;0;2;0;2;0;3;3;1;0;0;0;0;0;0;2;0;1;0;0
;;11;Janssen, F.A.;7;0;0;0;2;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;12;de Bats, R.N.;9;0;0;0;0;0;0;2;1;0;3;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
;;13;van Erp, M.J.C.W.;7;0;1;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Gijsels, M.W.H.;7;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0
;;15;van Nattem, R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Goossens, F.J.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;17;van Holten, K.M.;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;18;Leenders, P.P.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
