Verkiezing;;Gemeenteraad Moerdijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Moerdijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Theater de Schuur;Theaterzaal De Borgh;Pluspunt Serena;Het Anker;Gymzaal Droge Mark;Trefpunt;Vier Hoog Zevenbergen;Ons Stedeke;De Zevensprong;Gymzaal Klundert Spido;De Niervaert;De Stad Klundert;De Ankerkuil;D' Ouwe School;De Standaert;Buurthuis Irene;De Blokhut;De Parel;Het Trefpunt;De Graanbeurs;Pestalozzihuis;Drive-in gemeentewerf Klundert;Theaterzaal De Borgh;De Stad Klundert;De Standaert;Buurthuis Irene;De Parel;Theaterzaal De Borgh;De  Stad Klundert;De Standaert;Buurthuis Irene;De Parel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;102;112;115;116;118;202;212;215;216;218
Postcode;;;;;4761 CA;4761 BE;4761 TW;4761 CD;4761 JB;4761 ZC;4762 AL;4772 RA;4765 CP;4791 JN;4791 GB;4791 HL;4781 AR;4759 BD;4758 AJ;4797 AJ;4797 HT;4793 CB;4793 EP;4793 GB;4794 AA;4791 PA;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB
;;1;Joosten - Wesselius, P.M.;817;11;14;24;7;15;30;4;8;14;15;15;32;17;10;24;195;93;18;21;13;45;0;7;9;5;63;3;8;7;8;66;16
;;2;Willegers, M.M.J.;144;3;19;14;6;14;17;3;3;3;2;2;4;4;0;3;2;0;5;2;4;6;5;4;0;2;0;0;14;2;1;0;0
;;3;Willemse - Vorster, E.;158;1;2;0;0;3;3;0;1;0;35;22;41;1;6;5;2;0;0;1;3;2;0;1;9;1;0;0;3;14;1;1;0
;;4;den Ridder - van Oers, H.M.;185;20;46;32;3;13;22;7;0;1;2;1;0;0;0;2;1;0;1;1;0;2;0;12;0;0;0;0;19;0;0;0;0
;;5;Punt, C.;264;1;5;5;1;2;1;5;0;0;71;28;70;1;0;1;0;1;2;0;1;5;1;2;18;0;2;0;8;33;0;0;0
;;6;van Dongen, D.W.;165;0;0;0;1;0;0;1;0;0;2;0;0;0;1;7;0;1;51;36;23;13;0;0;0;1;0;10;1;0;0;0;17
;;7;de Wolff, J.A.X.;46;1;0;2;0;1;0;1;0;33;0;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;8;Harting, D.I.;7;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;9;van Beek, C.A.;44;1;0;0;0;0;0;0;0;0;1;2;3;0;0;3;10;1;5;2;2;6;0;0;0;0;2;0;0;1;0;5;0
;;10;Schaaf, A.J.M.;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;3;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1379;57;76;136;20;68;115;21;89;28;47;44;84;34;10;34;29;38;46;61;21;31;2;47;31;4;18;20;85;44;7;10;22
;;1;Çiçek, B.;580;35;43;85;15;46;57;7;11;9;9;6;14;8;6;22;18;16;13;20;9;14;1;27;4;2;7;9;44;7;3;5;8
;;2;Schreuders, C.G.;226;3;5;1;0;3;5;0;0;1;28;35;58;1;3;2;2;1;3;7;2;2;1;1;22;0;2;1;1;31;1;1;3
