Verkiezing;;Gemeenteraad Bergen op Zoom 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen op Zoom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ontmoetingscentrum De Korenaere;De ontmoetingskerk;Blokstallen;Stadskantoor;Ontmoetingscentrum het Fort;LPS Anton van Duinkerken;Sint Gertrudiskerk;Emmauskerk;'t Hoefke;Residentie Meilust;Sporthal Tuinwijk;Auris Montaal;Foyer de Kannebuis;Halsterse Tennis Vereniging;Het Kompas;Algemene School Oost;Foyer Gageldonk;Intratuin Halsteren;Woonzorgcentrum Stuijvenburgh;Ontmoetingscentrum Het Zonneplein;Ontmoetingscentrum Het Hoofdkwartier;Zalencentrum de Raayberg;School de Kreek;De Toermalijn;SKW 't Weike;Ontmoetingscentrum De Wittenhorst;De Zeeland;Residentie Aquasite;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst
;;12;Veraart, C.G.C.J.;15;0;0;0;0;1;0;1;1;0;0;0;0;0;2;0;1;1;0;2;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0
;;13;Passier, P.A.E.;27;0;1;0;1;1;3;1;0;1;0;0;1;0;0;1;0;0;2;1;1;7;2;0;0;0;0;0;0;0;0;0;1;0;2;0;1
;;14;Govers, T.C.A.;82;2;0;1;0;0;1;1;1;3;2;6;0;10;3;8;0;1;2;0;0;2;3;3;7;10;5;0;2;1;1;0;0;2;2;0;3
;;15;van Doorn, T.M.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Bogers, A.M.G.;21;0;0;0;0;0;1;0;0;5;1;1;0;2;0;1;0;0;1;0;0;0;1;1;2;0;0;1;1;3;0;0;0;0;0;0;0
;;17;Rampart, P.J.G.;50;2;2;3;1;1;0;0;0;0;0;1;0;10;7;3;1;0;2;0;1;0;0;0;1;1;9;2;0;0;0;0;0;0;0;0;3
;;18;Passier, C.M.;5;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Gündel, G.G.B.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
;;20;van den Brand, M.;45;0;3;0;0;1;0;1;3;2;3;4;0;6;1;6;0;0;1;0;3;3;0;0;1;0;0;2;1;0;0;0;0;1;1;1;1
;;21;Pals-van den Kieboom, M.P.J.;7;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
;;22;Koudenburg, M.;21;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;2;0;0;3;0;2;0;4;3;0;0;0;0;0;0;0;1;0;0
12;Belang van Bergen op Zoom (BVB);;;1118;18;19;26;28;34;26;61;75;57;27;50;13;39;11;58;33;18;21;18;22;33;52;57;40;30;56;28;48;10;13;4;9;27;35;15;7
;;1;de Bekker, M.A.;467;6;8;10;9;23;15;20;32;14;8;22;6;20;3;29;12;9;4;6;7;16;23;24;24;16;24;13;17;2;6;2;6;8;13;8;2
;;2;van der Meeren, C.J.R.F.;145;1;4;4;4;0;0;11;12;14;10;5;2;4;1;5;7;2;1;1;5;2;8;5;4;2;2;8;6;0;3;0;0;9;1;2;0
;;3;de Bie, E.J.;125;3;7;1;4;4;1;7;8;13;4;5;0;3;0;4;2;0;3;1;2;2;9;7;0;6;3;3;2;4;1;0;1;7;6;1;1
;;4;van Ingen-Oirbans, L.;143;5;0;5;3;2;3;13;8;10;1;7;3;1;1;6;2;3;4;4;0;5;6;7;4;5;8;2;8;2;1;2;2;1;5;2;2
;;5;van den Rijzen, P.C.;39;0;0;0;0;0;1;1;1;0;0;0;0;1;2;2;2;0;5;0;0;2;1;0;6;1;8;0;4;0;0;0;0;0;1;0;1
;;6;Rothuizen, D.;52;0;0;2;5;1;3;2;3;3;0;6;0;1;0;3;3;0;0;0;1;0;1;7;0;0;1;0;5;0;2;0;0;0;2;0;1
;;7;Geldof, P.A.;73;1;0;2;1;1;0;4;8;0;2;0;2;5;4;5;3;2;2;2;2;6;0;5;2;0;3;2;3;1;0;0;0;1;2;2;0
;;8;Quist, S.A.;24;1;0;0;1;0;3;2;0;1;0;0;0;2;0;1;1;0;1;1;0;0;3;1;0;0;2;0;0;1;0;0;0;0;3;0;0
;;9;van der Haar, S.A.E.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Lijmbach, A.M.;48;1;0;1;1;3;0;1;3;2;2;5;0;2;0;3;1;2;1;3;4;0;1;1;0;0;5;0;3;0;0;0;0;1;2;0;0
13;SAMEN0164;;;769;20;9;26;38;14;0;18;30;27;15;25;4;46;14;23;5;12;19;4;13;17;21;18;61;26;46;25;21;14;13;5;23;35;28;6;48
;;1;Krijnen, R.R.M.;358;10;4;8;18;8;0;6;12;10;9;10;2;24;9;10;4;6;7;3;4;3;9;10;28;16;27;9;11;5;7;4;8;11;8;4;34
;;2;Bruijs, J.M.P.;66;3;1;3;0;0;0;1;1;2;1;2;0;2;1;7;0;2;0;0;2;2;1;4;2;0;0;6;7;2;2;1;0;3;8;0;0
;;3;Oosterhout van, L.W.A.;16;2;0;0;3;1;0;0;0;0;0;1;0;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0
;;4;Gillesen, H.A.C.;20;1;0;0;4;1;0;2;5;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;;5;Huijsmans, H.H.J.C.;47;0;0;1;0;0;0;0;0;1;1;0;1;8;1;0;0;2;1;0;0;0;5;0;5;2;6;0;0;0;2;0;7;0;1;0;3
;;6;Krijnen, J.E.M.;60;0;2;0;5;0;0;2;4;5;1;2;0;1;1;2;0;0;2;1;1;0;2;2;4;1;3;3;1;4;1;0;3;3;1;1;2
;;7;van Egeraat, B.J.;13;0;1;1;1;0;0;0;1;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
;;8;Kreulen, A.J.M.;14;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;3;0;0;0;0;0;3;0;2;0;0;0;0;0;0;2;0;0;0
;;9;Brouwer, P.M.;14;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;2;0;0
;;10;van Tilborg, R.M.R.;39;1;0;5;1;0;0;0;2;4;0;5;0;1;0;0;0;0;1;0;1;3;1;0;4;0;2;3;0;0;1;0;0;3;1;0;0
;;11;Suwijn, A.A.M.J.;8;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;12;van Wijk, P.J.;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;2
;;13;Krijnen-van Oorschot, J.E.M.;18;0;0;0;0;1;0;1;2;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;5;1;1;0;0;0;0;0;1;1;0;0;0
;;14;Bazen, J.A.J.;17;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;3;2;2;0;0;0;0;0;1;0;0;1;4
;;15;Voesenek, D.G.M.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Kreulen-Mientjes, S.A.G.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;2;2;0;0;3
;;17;de Groot, M.;7;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;18;Versnel, G.L.;6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Werdler, J.P.M.;17;0;1;1;4;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;2;0;0;0
;;20;Koudenburg-Lor, L.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Tilborg, B.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
;;22;Hompes, M.M.;17;0;0;4;2;1;0;0;1;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
