Verkiezing;;Gemeenteraad Gemert-Bakel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gemert-Bakel;;;;;;;;;;;;;;;;;;;;;
Nummer;;1652;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Gemert woensdag;Stembureau Het Kunstlokaal;Stembureau Kindcentrum de Samenstroom;Stembureau Basisschool 't Einder;Stembureau Kindcentrum Berglaren;Stembureau Commanderij College Doregraaf;Stembureau Cultuurhuis De Eendracht;"Stembureau Dorpshuis ""De Bron""";"Stembureau MFA ""de Sprank""";"Stembureau Kindcentrum ""De Dompelaar""";Stembureau Het Parochiehuis Woensdag;"Stembureau Verenigingsgebouw ""Musis Sacrum""";Stembureau Stichting Jeugdcentrum Bakel;"Stembureau Gemeenschapshuis ""De Schans""";"Stembureau Partycentrum ""D'n Eik""";Stembureau Gemeentehuis Gemert Maandag;Stembureau Het Parochiehuis Maandag;Stembureau Gemeentehuis Gemert Dinsdag;Stembureau Het Parochiehuis Dinsdag
Gebiednummer;;;;;1;3;5;7;9;11;13;101;201;301;401;403;405;501;601;701;703;801;803
Postcode;;;;;5421 CV;5421 PN;5421 VA;5422 AN;5421 JH;5421 CR;5421 KC;5423 SL;5425 VR;5424 TS;5761 CB;5761 RN;5761 BJ;5763 BG;5764 PR;5421 CV;5761 CB;5421 CV;5761 CB
;;4;Hurkmans, P.A.;40;0;0;0;0;0;0;1;1;1;0;12;6;3;3;1;0;1;1;10
;;5;van Hek, F.M.M.;15;4;5;0;1;2;0;0;0;1;0;0;0;0;0;1;0;1;0;0
;;6;Kreutzer, N.M.T.;32;3;5;3;0;2;0;1;2;5;0;2;1;0;0;0;1;2;5;0
;;7;Letschert, K.R.;9;1;0;0;1;0;0;2;0;1;0;1;0;0;0;0;0;0;3;0
;;8;van Hek-Corstens, T.A.M.J.;5;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;van Dijk, J.H.M.;40;7;6;1;0;10;0;3;1;2;0;0;2;0;2;0;2;0;4;0
5;D66;;;1187;188;100;106;110;89;15;72;76;61;15;45;51;5;44;20;74;16;79;21
;;1;van den Berg, L.J.J.;490;92;48;33;38;38;7;35;26;23;11;10;23;2;12;7;27;10;35;13
;;2;Dekker, F.J.A.;197;29;9;10;27;21;1;11;8;18;4;10;10;0;4;5;10;0;17;3
;;3;Leenders, R.T.;29;1;0;1;1;2;0;0;23;0;0;0;0;0;0;0;1;0;0;0
;;4;Diesveld, D.W.M.;198;33;26;25;25;14;4;11;7;14;0;4;4;0;1;0;12;2;15;1
;;5;Arkesteijn, D.A.J.;44;0;0;1;2;0;0;0;1;0;0;14;14;3;0;1;0;3;1;4
;;6;Azdad, A.;50;8;1;1;2;0;1;1;1;1;0;2;0;0;25;3;3;0;1;0
;;7;van Erp, M.H.P.M.;74;7;6;19;2;3;1;8;3;3;0;1;0;0;0;2;14;1;4;0
;;8;Francissen, F.G.;28;4;1;4;2;3;0;5;3;0;0;1;0;0;0;0;5;0;0;0
;;9;Franssen, M.A.L.;46;9;4;8;6;5;1;0;1;1;0;1;0;0;1;2;2;0;5;0
;;10;Giebels, H.M.T.M.;31;5;5;4;5;3;0;1;3;1;0;2;0;0;1;0;0;0;1;0
6;Lokale Realisten;;;1840;224;145;119;128;112;16;97;120;136;38;135;136;41;94;46;53;26;101;73
;;1;Bankers, M.P.;643;81;54;35;40;32;5;39;45;89;21;31;19;11;32;30;16;6;39;18
;;2;van den Nieuwelaar, A.E.A.G.;291;43;28;35;33;24;2;25;10;8;6;13;8;5;7;3;14;0;16;11
;;3;van den Heuvel, W.P.M.;295;5;6;4;4;7;1;2;4;4;0;70;97;22;9;7;5;10;3;35
