Verkiezing;;Gemeenteraad Tilburg 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tilburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Restaurant Lucebert;Cinecitta;Wijkcentrum In De Boomtak;Odulphuslyceum;Factorium (ingang Bisschop Zwijssenstraat);Wijkcentrum Koningshaven;Pathé Tilburg centrum;De Pelgrimhoeve;Café Bet Kolen;Wijkcentrum Zuiderkwartier;Wijkcentrum Nieuwe Stede;Sociëteit Philharmonie;Gymzaal Staringstraat;Wijkcentrum Spijkerbeemden;Sporthal De Blaak;Sportcafé De Blaak;Avans Hogeschool;Gymzaal Cederstraat;Woonzorgcentrum Joannes Zwijsen;De Wissel;Dansschool van Opstal;Wijkcentrum de Baselaer;Textielmuseum;MFA De Poorten;Wijkcentrum De Ypelaer;Gymzaal Donizettistraat;MFA De Symfonie;Sportcafé Drieburcht;2College Cobbenhagen;De Rooi Pannen;Parochiezaal de Goede Herder;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkgebouw Reinevaar;Wijkcentrum Heyhoef;Sportcentrum Reeshof;Scholencentrum Grote Beemd;TSV Gudok;Gymzaal Bergeijkstraat;Gymzaal Meerssenstraat;Sportclub 't Zand;Cultureel centrum De Schalm;Dansschool van Opstal;Sportcafé 't Ruiven;Stichting de Peppel, locatie Kruisgebouw;Raadzaal Udenhout;Buurthuis Jeruzalem;Drive Inn (evenemententerrein Het Laar);SV Reeshof;Wijkcentrum De Back;Gemeenschapshuis De Vorselaer;Klasse Theater;Gymzaal Verhulstlaan;Sporthal Dongewijk;Gymzaal Mingersbergstraat;Gymzaal Berkelseweg;Sporthal De Roomley;MFA Het Spoor;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel Stembureau;Mobiel stembureau;Mobiel stembureau;Centraal Station Tilburg (noordzijde);Centraal Station Tilburg (zuidzijde);Interpolis;Tilburg University;´t Plein;013 Poppodium;Voormalig GGD gebouw;Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar);Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar)
;;18;van Kekem, M.;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;1;0;3;7;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;2;1;0
;;19;Moonen, J.H.C.;41;1;0;0;3;0;0;0;2;0;0;0;0;0;0;5;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;5;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;3;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;20;Kilian, B.H.E.;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Rijsdijk, H.N.;15;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0
;;22;van Raak, N.J.;19;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Marijnen, T.M.;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Schraven, M.J.M.;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Franssen, C.B.M.E.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;1;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;26;Reffeltrath, F.J.J.;19;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Naaijkens, G.P.T.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
;;28;van Gruijthuijsen, M.P.J.M.;23;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Dusschooten, O.;83;0;0;0;1;3;0;0;0;0;0;1;0;0;1;4;2;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;6;0;3;1;1;4;0;2;0;2;0;1;1;0;1;0;1;0;4;1;2;0;1;1;1;0;0;1;2;3;1;1;0;1;0;2;1;2;1;0;0;2;1;1;1;0;0;0;2;1;0;1;0;0;1;0;1;1;1;0;0;3;0;0;1
5;SP (Socialistische Partij);;;4104;51;21;80;30;31;59;26;86;44;59;62;14;30;77;32;45;36;6;88;40;69;93;97;94;48;31;60;132;23;66;33;52;50;68;103;38;50;7;87;66;13;36;14;21;38;23;47;15;9;47;10;30;51;37;39;10;29;59;10;40;23;34;14;25;34;32;44;39;13;35;12;53;13;39;18;81;19;27;69;47;23;23;121;26;25;13;38;23;58;28;39;40;38;27;18;74;28;9;20
;;1;Oostelbos, H.W.M.;3011;40;17;62;19;23;39;17;72;38;41;37;9;11;56;22;39;25;4;59;23;45;71;72;65;39;23;44;94;20;55;21;36;32;49;84;30;36;4;64;41;10;27;7;18;28;12;28;12;6;37;10;27;38;29;26;7;21;37;8;36;16;30;8;16;24;25;30;28;10;25;8;38;9;28;15;58;18;18;47;30;14;17;97;24;17;12;29;22;45;24;24;35;28;20;14;61;21;7;17
;;2;Kokke, J.M.A.;227;0;0;2;0;2;3;2;2;2;2;2;1;4;5;6;2;3;0;8;1;1;4;6;6;3;1;2;6;0;2;4;4;1;6;6;1;2;1;5;2;0;1;2;1;2;6;4;1;0;2;0;1;2;1;3;1;0;4;0;0;3;2;0;1;1;0;2;1;0;0;0;8;0;3;0;3;1;1;5;5;3;3;8;0;3;1;3;1;2;2;3;1;2;3;2;5;4;2;2
;;3;Kruiver, T.A.R.;68;0;0;0;1;0;1;1;2;0;2;0;0;2;2;0;0;0;0;3;4;1;0;0;0;0;0;1;4;0;1;1;1;1;1;3;1;1;0;3;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;5;0;0;1;0;0;2;0;1;0;2;0;1;1;0;0;0;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;0;2;2;1;2;0;0;0
;;4;Mandemaker, H.H.F.;43;0;0;4;0;0;0;0;2;0;4;0;0;0;3;0;0;0;0;2;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;1;1;1;0;5;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;5;Brouwers, A.W.M.;215;4;1;5;3;4;6;2;4;1;3;5;0;2;7;3;1;1;1;2;0;3;4;5;6;2;1;4;6;0;2;1;5;0;4;4;0;2;0;2;6;2;3;0;1;0;0;0;0;3;1;0;1;2;5;2;1;1;2;1;0;1;1;1;4;5;0;1;1;1;3;1;2;1;5;1;5;0;5;3;4;3;2;8;1;0;0;2;0;5;0;8;0;3;0;0;1;0;0;0
;;6;van den Bongaardt, J.G.C.M.;52;1;0;1;0;0;1;0;3;0;1;2;0;0;0;0;0;1;0;0;0;0;6;2;1;1;0;0;1;0;1;3;1;7;2;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;7;van den Brand, J.T.;37;0;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
;;8;Veer, J.C.R.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;9;Haneman, J.;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Sluiters, W.A.A.;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;de Haan, M.C.M.;52;2;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;1;1;2;5;1;1;4;2;1;0;0;3;2;0;0;0;1;1;1;9;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Kunz, S.;74;1;0;1;2;0;3;2;0;0;1;6;1;4;1;0;1;1;0;5;0;5;3;4;2;0;1;1;0;0;0;0;0;1;2;1;0;0;0;1;2;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;0;0;3;0;0;0;0;1;3;0;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0
;;13;van Lisdonk, M.S.H.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van den Broek, J.J.C.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Melis-Smink, J.F.;16;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Huijbregts, F.P.E.A.;27;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;4;0;1;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;17;Voss, R.C.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Bakker, E.R.;20;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
;;19;Schoots, J.D.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Dingemans, R.A.M.;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Melis, J.C.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Hoekstra, T.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;1;6;1;0;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Szklarek, M.;26;1;0;0;0;1;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;1;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
;;24;van Loon, F.W.M.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;25;Hakken-Adriaensen, J.A.C.;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;26;Ibrahim, A.;27;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;2;0;2;0;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Esch, A.M.C.;47;0;1;2;2;0;0;0;0;2;2;1;0;0;1;0;0;0;0;2;1;8;0;0;1;0;0;0;2;0;1;0;1;0;0;0;1;1;0;2;1;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;28;de Kuijer, H.E.M.C.C.;26;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;2;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
6;CDA;;;3613;65;12;70;27;28;20;15;32;12;14;31;26;4;34;99;76;32;13;50;22;30;42;36;22;28;5;64;77;26;26;32;33;30;30;62;17;34;8;22;47;8;111;54;74;87;83;22;21;2;74;96;8;32;31;21;39;132;32;13;19;10;21;12;25;15;89;19;21;9;39;55;27;23;22;6;36;15;73;27;27;35;20;87;98;70;22;19;10;31;17;47;22;13;26;22;59;79;38;15
;;1;Couwenberg, I.M.E.A.;2250;37;6;47;15;19;14;5;22;9;10;19;10;3;27;54;45;15;10;44;16;19;23;25;10;24;5;42;61;21;17;20;25;27;23;38;13;27;5;11;35;5;68;27;47;37;43;15;13;1;44;48;4;27;19;18;17;50;21;6;13;8;15;9;16;6;39;13;9;4;25;18;12;14;11;5;20;9;44;18;20;29;14;61;60;40;14;13;6;19;15;35;15;10;23;19;48;64;16;13
;;2;Zouridis - Veldhoven, A.;161;1;1;1;0;0;0;0;3;0;1;0;3;0;2;29;9;3;1;3;2;1;1;0;1;0;0;2;1;2;2;3;0;0;2;0;0;3;0;0;3;1;2;1;1;2;1;0;2;0;7;0;1;1;2;1;1;0;1;2;0;0;3;0;4;0;2;1;1;0;3;2;2;3;2;0;1;4;6;0;2;2;0;2;3;1;1;0;0;0;2;2;0;1;1;0;3;1;0;0
;;3;Conradi, G.H.F.A.M.;78;2;0;8;4;0;0;0;0;0;0;2;0;1;0;3;3;2;1;0;0;0;3;0;0;0;0;4;3;0;0;2;1;0;0;2;0;1;0;4;0;0;0;0;1;2;0;0;2;0;2;0;1;0;2;0;1;0;2;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;2;2;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;2;4;0;0;0
;;4;van Kempen, F.W.A.M.;195;19;2;2;1;1;2;9;2;0;0;3;0;0;2;5;3;0;0;1;2;3;2;2;2;0;0;7;3;0;0;1;1;0;1;4;2;0;0;3;2;2;3;0;2;1;2;4;0;0;1;0;1;1;4;1;1;0;4;1;4;0;1;2;0;6;1;0;7;0;0;0;5;3;5;1;12;0;6;3;0;0;0;8;0;1;3;2;0;1;0;2;1;0;0;0;3;1;0;2
;;5;van Zeeland, M.J.J.H.;375;1;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;2;0;1;0;0;2;2;0;2;0;1;0;1;0;0;1;0;0;1;0;29;25;21;28;18;0;0;0;0;6;0;0;0;0;16;64;1;0;1;0;1;0;0;1;39;2;1;1;0;21;0;0;0;0;0;0;0;0;1;1;0;1;30;22;0;0;0;2;0;0;0;0;0;0;0;6;16;0
;;6;van Ginneken-Bindels, A.;84;4;0;1;3;1;1;0;1;1;2;1;0;0;1;0;2;4;0;0;0;1;0;4;2;1;0;0;1;2;1;0;0;3;0;3;0;0;3;0;1;0;0;0;0;1;1;2;2;0;3;0;0;1;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;3;3;0;0;0;2;0;1;0;1;1;0;2;2;3;0;1;0;1;2;0;0;0;2;0;0;0;1;0;0;0
;;7;Marcelissen, I.E.M.;84;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;3;0;0;1;0;0;2;0;1;0;1;0;1;0;0;0;0;0;2;0;2;10;6;0;0;1;1;8;0;0;1;0;1;8;0;0;0;0;0;0;0;0;1;2;3;0;3;4;1;2;1;0;0;0;0;0;1;0;0;0;2;2;0;0;0;1;0;0;2;0;0;1;0;1;2;0
;;8;Richards, S.;24;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;9;Kuijsters-Timmers, A.M.W.;19;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
;;10;Buiks, M.L.W.;18;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Goossens, J.P.J.;33;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;12;van Poppel, A.J.M.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Hodak, M.Y.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0
