Verkiezing;;Gemeenteraad Deurne 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deurne;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0762;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cultuurcentrum Deurne;Reddingiushuis;Wijkhuis D'n Houtenhoek;Sporthal de Kubus;Gerardushuis;Molen Maria-Antoinette;Hofke van Marijke;MFA 't Huis Vlierden;Basisschool De Piramide;S.C.C. Den Draai;Gemeenschapshuis De Kastanje;Ontmoetingsruimte 'de Gasterij';Gemeenschapshuis De Moost;Gemeenschapshuis De Gouden Helm;Sporthal de Kubus (2);Hofke van Marijke (2);Cultuurcentrum Deurne (2);Microsporthal;S.C.C. Den Draai (2);Cultuurcentrum Deurne;Cultuurcentrum Deurne;Gemeenschapshuis De Kastanje;Gemeenschapshuis De Kastanje;Brandweer Neerkant;Brandweer Neerkant
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;21;22;24;25;26;27;28;29
Postcode;;;;;5751 KM;5751 GA;5751 ES;5754 DV;5752 AP;5751 LN;5753 BE;5756 AM;5751 VJ;5754 AV;5757 AP;5757 DZ;5758 RX;5759 PA;5754 DV;5753 BE;5751 KM;5751 JB;5754 AV;5751 KM;5751 KM;5757 AP;5757 AP;5758 SB;5758 SB
;;2;Sterk, C.;131;6;8;4;8;9;3;9;34;4;1;6;1;4;0;3;4;7;2;3;2;11;0;2;0;0
;;3;van Leeuwen-Berkvens, R.C.J.;270;4;4;4;6;24;31;6;5;4;53;5;6;0;1;10;8;3;2;61;9;17;3;4;0;0
;;4;Cuijpers, L.H.P.;146;4;5;14;4;6;2;40;0;4;1;1;2;4;0;3;41;4;1;0;3;6;1;0;0;0
;;5;van Berlo, A.L.P.A.M.;71;1;0;0;3;5;0;1;0;0;1;0;0;27;0;2;3;0;2;0;3;3;0;0;9;11
;;6;Aarts, T.H.;67;0;0;0;1;0;0;0;2;0;0;17;14;0;0;1;0;0;0;3;2;2;11;13;0;1
;;7;de Wit, M.F.;124;1;1;4;3;14;3;3;4;4;20;6;4;9;4;2;4;1;2;16;0;13;1;5;0;0
;;8;van Kessel, M.;48;1;1;1;1;0;0;1;0;22;3;1;0;1;0;5;1;2;0;1;4;3;0;0;0;0
;;9;Hoogendoorn, D.J.;68;0;0;1;2;1;0;0;2;0;0;2;0;12;37;0;0;0;1;0;0;1;0;1;4;4
;;10;van Amelsfoort, D.J.C.;32;0;0;1;2;5;1;2;1;1;3;2;0;0;0;5;1;0;0;0;1;7;0;0;0;0
;;11;van Stipdonk, R.H.P.;18;1;0;0;0;1;0;0;0;1;0;0;2;1;0;3;2;1;0;3;0;3;0;0;0;0
;;12;van Aerle, W.A.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0
;;13;Rijkers, R.C.W.;13;0;2;0;0;3;1;1;0;2;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0
;;14;Berkers, W.C.;31;1;0;2;0;4;0;0;16;0;0;2;0;1;0;2;0;1;0;1;0;0;0;1;0;0
;;15;Maessen, J.H.;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;16;van den Berkmortel, J.T.G.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;17;Gijsbers, J.J.W.M.;35;0;0;5;0;9;0;1;3;1;2;2;0;0;0;0;0;0;0;9;0;0;0;3;0;0
;;18;Verberne, P.J.W.;19;0;1;0;0;2;0;2;5;1;0;1;1;4;0;0;2;0;0;0;0;0;0;0;0;0
;;19;Hendrix, W.A.;10;0;0;0;0;7;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;Vonk, M.J.C.;13;4;0;0;2;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Hoogers, H.T.C.;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
