Verkiezing;;Gemeenteraad Helmond 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Helmond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkhuis Brede school de Fonkel;Valkennest (Bethlehemkerk);ROC ter Aa;Gymzaal de Fonkel (ingang Dasstraat);Gymzaal Koekoekstraat (ingang Reigerzaal);Bibliotheek Helmond;Gymzaal Hobostraat;Wijkcentrum de Boerderij;Sporthal de Braak;Gymzaal Paulus Potterlaan;Gymzaal Montgolfierstraat;Wijkhuis de Lier;Wijkhuis de Brem;Gymzaal de Straap;Wijkhuis de Brem;Wijkcentrum Parkzicht;Gymzaal Dierdonk;Buurthuis St. Anna;Gemeenschapshuis de Loop;Wijkgebouw de Zonnesteen;Veka Sporthal;Veka Sporthal (kantine);Sporthal Suytkade (ingang zijkant);De Geseldonk;Wijkhuis 't Brandpunt;Sporthal de Veste (ingang Brandpunt);Gymzaal de Vendelier;Gymzaal 't Baken;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Sporthal Westwijzer (ingang wijkhuis);Societeit de Gezelligheid;Het Speelhuis;Zalencentrum de Smed;Gymzaal Gasthuisstraat (naast St. Trudoschool);Drive-thru;Wijkhuis Brede School de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau;Wijkhuis Brede school de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau
;;6;Hendriks, J.;48;0;3;1;0;2;3;0;0;0;0;0;0;0;3;9;0;1;3;2;0;0;2;0;1;0;0;0;1;0;1;2;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;4;1;0;0;0;1;0;0;1
;;7;van Aert, J.J.H.F.;30;0;1;0;0;2;0;0;0;0;1;3;2;0;0;0;0;1;2;2;0;0;0;0;1;0;1;2;1;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0
;;8;van de Brake, J.G.A.;17;0;0;0;0;1;1;0;0;0;1;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0
;;9;Wayers, J.A.M.;10;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Claassens, H.M.;32;0;0;1;0;1;0;0;0;1;1;3;1;0;0;0;1;1;2;0;0;2;0;0;3;1;0;0;1;1;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1
7;Helder Helmond;;;3542;115;52;56;16;114;67;91;104;92;131;75;78;65;38;120;106;89;81;109;66;54;46;38;79;52;78;72;80;112;63;81;65;64;119;117;34;18;41;21;30;24;12;25;29;26;12;24;4;50;55;45;41;48;32;33;37;29;34;33;20
;;1;van de Werff, L.F.L.M.G.;1128;25;17;18;7;32;26;24;46;24;41;23;18;22;17;45;65;56;24;34;22;18;16;9;16;16;26;24;24;41;12;23;25;17;28;26;6;2;11;9;5;16;6;2;9;5;5;6;2;4;14;7;10;30;5;11;12;8;14;8;14
;;2;Rieter, M.;478;16;7;4;3;24;10;16;18;16;9;12;16;13;3;7;15;4;5;20;7;1;9;18;11;4;23;7;18;16;12;7;4;7;9;12;6;1;6;5;6;1;2;6;3;0;1;0;0;11;9;7;5;7;2;4;5;4;1;2;1
;;3;Koolen-van der Zee, A.C.M.J.;190;8;2;0;1;6;2;8;18;2;9;0;2;3;2;12;4;6;4;11;5;5;1;0;2;2;5;5;0;3;1;1;7;3;3;0;0;0;9;2;5;1;0;3;2;1;0;0;0;1;9;4;3;0;2;2;0;0;3;0;0
;;4;Boetzkes, W.;244;2;3;2;0;0;0;4;1;2;0;3;1;1;1;5;0;1;0;3;0;1;0;0;1;3;0;2;4;2;0;2;5;2;60;73;2;0;1;0;0;1;0;0;1;2;2;16;0;1;1;1;1;0;3;1;2;2;5;18;0
;;5;Brugmans-Aarts, S.A.;137;8;2;3;1;7;4;5;3;4;2;0;1;1;1;5;4;7;4;2;0;4;1;1;1;2;1;1;3;6;5;6;6;5;0;0;0;3;1;0;1;1;0;2;0;5;0;0;0;4;1;2;1;0;2;1;2;3;0;1;1
;;6;van Vugt, G.P.A.;49;2;2;1;0;1;6;2;1;0;0;1;1;0;0;2;0;0;0;1;1;3;0;0;0;1;0;0;1;1;1;0;1;2;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;2;2;0;3;0;4;1;0;0;0;0;1
;;7;Coppens, P.M.M.J.;59;3;0;0;0;1;1;0;0;0;0;6;1;1;0;4;2;2;2;1;6;4;5;0;1;0;1;2;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;2;0;0;1;0;3;2;0;1;0;0;0;0;0;1
;;8;Bijsterveld, P.L.A.G.;76;0;0;2;0;0;0;2;2;2;7;6;0;4;2;6;0;1;1;6;3;2;2;0;0;0;1;1;0;6;0;2;0;3;0;0;2;0;2;0;2;2;0;0;2;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
;;9;Smits, J.M.;51;9;0;3;0;3;3;0;1;2;0;2;0;0;0;1;3;0;1;0;0;1;0;3;0;1;2;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;4;1;0;1;0;0;0;1;0;1;0;0
;;10;Bladder, W.L.;88;5;0;0;0;1;1;1;0;13;13;2;7;1;0;1;0;0;4;1;0;0;0;0;3;0;0;0;0;2;3;1;0;2;1;0;0;2;2;1;1;0;0;0;0;0;0;0;2;4;2;12;0;0;0;0;0;0;0;0;0
;;11;Janssen, M.;49;0;2;0;0;4;0;9;0;2;1;1;2;0;0;0;1;1;2;4;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;2;0;3;0;0
;;12;de Fost, L.H.W.;43;0;0;1;0;0;1;0;0;0;3;1;0;0;0;4;0;1;1;0;0;0;0;0;8;0;0;1;2;6;0;0;1;3;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;3;0;2;0;0
;;13;Visser, D.J.L.;20;0;0;0;0;0;0;0;0;2;2;0;5;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Rooij, D.J.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;15;van Heemstede Obelt, M.E.H.;28;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;2;0;1;0;2;0;0;1;2;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;16;van Tilburg, J.G.;49;2;0;1;2;1;0;2;0;3;5;2;5;2;2;0;0;0;2;4;0;0;2;0;0;0;0;0;2;0;1;1;1;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1
;;17;Martens, M.F.;31;0;1;1;0;1;0;1;0;0;1;0;0;0;1;2;0;0;0;2;1;0;0;0;1;1;3;3;1;0;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;18;Pijnappels, M.I.M.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;6;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van de Ven, B.;51;0;3;4;0;9;1;3;2;0;2;1;2;1;2;1;0;0;3;1;1;0;0;2;0;1;0;0;1;3;0;0;3;2;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Koolen, C.H.W.;10;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Dirks, J.H.C.J.;12;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;22;Valentijn, V.G.P.;14;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van den Heuvel, A.M.;15;0;3;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0
;;24;Bijsterveld, J.T.M.;13;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;2;1;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Jaspers, P.C.A.M.;12;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;26;Verdonck, L.G.;13;0;0;0;0;1;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Verge-van Turnhout, L.;22;2;0;0;0;3;0;2;1;2;4;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;28;Mulkens, F.J.P.J.;54;4;1;0;0;1;0;1;1;4;1;0;0;0;0;0;0;2;0;4;7;3;4;0;2;2;1;1;0;3;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0
;;29;den Hollander, T.;10;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;30;van Haaren, J.A.N.;74;5;2;1;0;1;0;2;0;5;8;0;4;8;2;1;0;0;4;0;1;4;0;0;0;0;0;0;3;0;0;1;0;1;0;0;5;0;1;0;2;0;0;0;0;0;0;0;0;5;2;1;0;1;3;0;1;0;0;0;0
;;31;van der Wijst, R.C.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
;;32;Luijs, D.H.A.;68;5;0;4;0;0;1;1;0;0;1;3;1;3;1;8;1;0;2;2;2;0;0;0;0;0;0;0;0;2;3;0;1;3;3;0;2;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;3;4;1;0;0
;;33;Nyawade, F.K.;23;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;5;2;0;1;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;34;van Bloemenhuis, I.N.;18;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;3;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;4;0;0;0
;;35;Martens, H.J.W.M.;40;0;0;0;1;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;2;7;3;7;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0
;;36;Verbaarschot-van de Kerkhof, C.M.P.;54;4;0;4;0;2;4;0;0;2;2;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;2;5;8;0;2;0;0;4;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1
;;37;de Kloe, J.;20;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;38;Mumini, D.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;39;Steenbrink, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Smulders-Scholtens, B.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;41;Benders, A.J.W.L.M.;15;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;42;Eindhoven, D.R.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;43;de Roo, K.;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;7;0;0;0;0;0;0
;;44;van de Nieuwenhof-Henraat, H.T.;24;4;0;0;0;0;0;2;2;0;1;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;45;van Hout, W.;35;2;1;1;0;6;1;3;0;2;1;0;0;0;0;3;3;0;0;0;2;1;0;0;0;1;1;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;46;Baggermans, G.M.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Beek, J.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
;;48;van den Heuvel, V.T.D.;31;0;0;0;1;3;1;0;1;0;0;1;0;1;0;4;0;2;2;0;0;1;1;1;2;2;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
;;49;van Hoof, J.C.;51;0;3;0;0;1;1;0;0;1;3;0;0;0;2;2;0;2;2;1;0;0;1;0;9;0;0;1;4;1;1;4;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;3;1;0;0;0;0;0;0;2;0
;;50;Martens, I.A.M.;47;1;1;0;0;1;0;0;1;0;6;2;2;0;1;0;1;0;0;2;0;1;1;0;0;4;5;3;1;0;0;0;1;0;0;0;0;0;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0;2;1;0;2;0;0
8;D66;;;2203;35;11;28;3;23;31;13;15;19;14;13;23;23;20;30;97;105;36;48;31;22;27;22;43;115;129;140;90;61;14;24;131;75;118;139;8;8;8;1;12;20;10;35;19;4;20;24;1;16;15;5;24;39;12;51;18;12;25;45;3
;;1;van den Waardenburg, G.L.C.C.;1587;29;10;22;2;18;25;8;14;17;10;13;16;17;14;23;62;82;31;37;21;16;24;17;33;80;90;108;73;51;9;22;100;54;59;86;3;5;7;1;11;15;8;21;14;4;18;10;1;10;14;3;15;21;8;34;14;9;20;26;2
;;2;Stevens, S.A.W.;121;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2;4;3;0;2;1;1;1;1;3;16;20;13;2;1;1;1;6;4;4;4;0;1;1;0;0;0;0;8;0;0;1;0;0;1;0;0;1;1;2;10;1;0;1;0;0
;;3;van den Bogaard, J.M.;82;2;0;1;0;0;0;1;0;2;0;0;1;1;1;0;15;9;2;3;3;0;0;0;1;4;0;1;2;1;2;1;1;2;1;2;1;0;0;0;0;2;0;0;0;0;0;2;0;3;0;0;2;10;1;1;0;0;1;0;0
;;4;Selten, M.C.;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;2;0;0;1;1;4;2;2;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;5;Brouwers, M.J.E.;239;3;1;3;0;3;2;0;0;0;0;0;4;2;3;5;9;5;2;0;5;4;1;2;2;5;3;8;6;5;2;0;11;11;49;39;0;1;0;0;0;0;1;0;2;0;0;9;0;1;0;0;2;5;1;4;2;0;1;15;0
;;6;van Geel, M.F.;16;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;1;0
;;7;van Sambeeck, D.J.E.;35;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;3;0;0;0;0;5;0;5;5;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;1;2;2;0
;;8;Duits, F.J.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;9;Shenouda, J.A.S.;9;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;10;Raijmakers, M.R.G.B.;8;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Iersel, A.A.H.;48;1;0;1;0;0;2;2;1;0;0;0;0;1;1;0;3;4;0;0;0;1;0;1;0;3;5;4;2;2;0;0;1;2;0;1;0;0;0;0;0;2;0;0;3;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1
;;12;van Maanen, S.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kuijpers, R.J.;16;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;1;0;0;0;4;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9;Partij van de Arbeid (P.v.d.A.);;;1394;36;11;33;6;29;35;24;32;16;56;17;28;14;13;31;36;41;28;26;28;22;16;9;42;40;39;71;33;44;21;29;48;32;51;54;14;14;10;5;10;16;4;11;19;4;19;16;2;20;12;4;17;18;13;21;16;12;8;11;7
;;1;Wijnands, A.M.;751;17;7;14;3;11;17;11;22;7;12;10;16;9;9;18;20;27;12;13;15;13;4;7;24;32;24;51;17;25;12;15;30;19;34;27;6;4;3;1;5;9;2;6;12;3;10;9;2;3;5;2;4;11;6;16;5;8;5;5;5
;;2;de Mare, J.B.;79;1;1;0;0;2;1;0;0;0;0;0;2;0;1;1;4;2;1;0;0;1;0;0;0;4;4;3;0;3;0;0;3;1;12;13;0;1;0;0;1;1;0;0;0;0;0;5;0;0;0;1;0;0;2;1;1;0;2;4;0
;;3;Kadaoui, H.;117;8;1;4;2;1;4;8;2;0;4;1;2;0;0;6;1;1;11;3;1;0;3;1;2;3;5;4;5;2;2;3;2;1;1;3;0;0;0;0;4;0;0;3;0;0;3;0;0;2;2;0;0;0;3;1;2;0;0;0;0
;;4;Bakker, E.;31;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;6;6;5;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1
;;5;Schouteren, M.M.C.;49;1;0;4;0;0;2;1;0;0;3;2;0;0;1;2;0;2;1;1;2;0;3;0;4;0;0;3;0;1;0;1;1;2;1;0;1;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;2;0;0;0;0;0
;;6;Valentijn, L.A.M.;61;0;0;2;0;5;2;0;3;0;0;0;0;0;0;0;6;5;0;1;0;0;0;0;0;0;0;2;0;2;3;2;2;0;0;6;3;1;0;3;0;2;0;0;0;1;2;0;0;0;0;0;3;4;0;0;0;1;0;0;0
;;7;Verheij, S.;49;0;0;1;0;0;5;0;0;0;1;1;1;0;1;2;3;0;0;1;0;2;0;1;1;0;2;2;1;3;1;2;1;2;0;0;1;1;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;3;0;1;2;0;0;2;0
;;8;Kooistra, L.;10;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van der Pijl, M.T.M.;19;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;3;0;1;0;0;0;0;2;1;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;van der Zanden, R.J.J.;83;2;0;0;0;3;1;1;3;4;31;1;2;2;0;0;0;0;0;1;0;0;1;0;3;0;0;0;7;0;0;2;1;1;0;0;1;0;6;0;0;1;0;0;1;0;0;0;0;1;4;1;2;0;0;0;0;0;0;0;0
;;11;van Bree, L.H.M.;6;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Eekeren, R.A.T.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;13;Groenendal, R.S.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van der Heijden, G.P.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;15;van Houwelingen, A.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Klaassen, L.H.M.;4;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Leeuwen, N.E.O.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;18;Markus, W.F.G.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Merkx, W.L.H.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Mokadim, S.;17;4;0;1;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
