Verkiezing;;Gemeenteraad Tholen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tholen;;;;;;;;;;;;;;;;;;;;
Nummer;;0716;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;"Stembureau Ver.gebouw ""de Wingerd""";Stembureau Gemeentehuis Tholen;"Stembureau Gemeenschapscentrum ""Meulvliet""";Stembureau Zalencentrum Ger.Gemeente;Stembureau Dorpshuis 't Ouwe Raed' uus;Stembureau Sassegrave;"Stembureau Gemeenschapscentrum ""Haestinge""";Stembureau Gebouw Calvijn;Stembureau Dorpshuis de Stove;Stembureau Museum de Meestoof;"Stembureau Gemeenschapscentrum ""Wellevaete""";"Stembureau Dorpshuis ""De Vossenkuil""";Stembureau Dorpshuis De Wimpel;Stembureau Dorpshuis Ons Dorpshuis;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;4691 BP;4691 DV;4691 HT;4691 DS;4693 BV;4694 BP;4695 BA;4695 CE;4696 BK;4697 GE;4697 BJ;4698 AM;4675 CS;4675 RJ;4691 DZ;4695 BA;4691 DZ;4695 BA
;;9;de Boer-van der Woerd, A.;40;0;0;0;0;30;1;1;0;0;0;0;0;0;0;3;2;2;1
;;10;van Ommen-de Wit, W.M.;13;0;0;0;0;0;1;1;0;1;3;6;0;0;0;0;0;1;0
;;11;den Haan-Bierings, C.C.;18;0;0;7;0;0;0;1;0;1;0;1;2;0;0;0;0;4;2
;;12;Versluijs, P.P.C.;18;0;0;0;0;1;8;4;1;1;0;1;1;0;0;1;0;0;0
;;13;Droogers, C.W.;14;0;0;1;0;0;1;0;0;1;0;0;9;0;0;1;0;1;0
;;14;Coppoolse, D.;7;0;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Mol, H.J.;14;1;0;0;0;1;0;8;0;1;0;0;0;0;0;1;2;0;0
;;16;Ligtendag-Quist, M.;6;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;17;van Nieuwenhuijzen, W.C.;11;0;2;0;0;0;2;1;0;0;0;1;0;2;3;0;0;0;0
;;18;de Wilde-Bijl, M.J.;5;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;Boudeling, G.A.;9;0;0;0;0;0;1;0;0;0;0;0;2;4;2;0;0;0;0
;;20;Bijl, J.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
;;21;van Strien-van Leeuwen, A.;6;0;0;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0;0
;;22;de Ronde, C.J.;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;23;van Beek, M.A.;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;24;Duijm, R.M.M.J.;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1164;119;54;78;42;52;66;109;14;49;45;101;142;48;27;81;40;69;28
;;1;Heshof, J.P.M.;436;32;18;23;15;25;30;23;4;23;12;48;80;21;12;20;13;23;14
;;2;Dekkers, J.J.M.;94;19;6;6;6;3;2;1;0;2;4;4;8;4;0;15;2;12;0
