Verkiezing;;Gemeenteraad Sluis 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sluis;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1714;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kerkgebouw Open Haven Oostburg;Parochiecentrum H. Eligiuskerk Oostburg;Dorpshuis De Zevendraaier Zuidzande;Verenigingsgebouw Cadzand;Dorpshuis Nieuwvliet;MFC 't Torentje Groede;MFC De Korre Breskens;Kantine V.V. Breskens;Dorpshuis Hoofdplaat;Gymzaal IJzendijke;Protstantse Kerk Schoondijke;Dorpshuis Waterlandkerkje;Gymzaal Aardenburg;Dorpshuis Sint Kruis;Dorpshuis Eede;MFC De Keure Sluis;Dorpshuis d'Ouwe Kerke Retranchement;Kerkgebouw Open Haven Oostburg maandag;MFC De Korre Breskens maandag;MFC De Keure Sluis maandag;Kerkgebouw Open Haven Oostburg dinsdag;MFC De Korre Breskens dinsdag;MFC De Keure Sluis dinsdag
;;6;Gons, G.J.;14;6;3;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
;;7;Westland, C.J.A.M.;21;0;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;1;0;0;0;1;0
;;8;Spitter-Geerse, B.B.J.;17;4;5;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;0;3;0;0
;;9;Van Haelewyn, K.B.M.;24;1;0;1;0;0;0;0;0;0;0;0;0;14;2;3;2;0;0;0;0;0;0;1
;;10;Gallee, C.A.M.A.;10;0;0;0;0;0;0;5;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0
7;GROENLINKS;;;511;21;41;17;19;18;45;27;25;11;64;33;10;57;9;7;23;8;10;6;10;21;25;4
;;1;Beijersbergen, R.B.A.;207;11;15;5;4;8;15;12;11;5;26;7;6;20;5;2;12;5;8;3;6;5;14;2
;;2;Verherbrugge, J.W.D.;66;3;9;0;8;3;16;0;3;2;3;8;0;0;2;0;2;1;1;2;0;0;2;1
;;3;van Vliet, W.;32;1;2;0;0;1;2;5;6;1;4;2;0;1;0;0;2;0;0;1;0;1;3;0
;;4;Durenkamp-Martens, L.M.;143;5;6;11;1;5;8;5;4;3;27;9;1;31;0;4;5;2;1;0;1;7;6;1
;;5;Hermans, E.A.R.;20;0;6;0;0;1;0;5;1;0;0;0;1;0;0;0;1;0;0;0;0;5;0;0
;;6;Hillebrand, M.;9;1;0;0;0;0;1;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Puyenbroek, J.A.;13;0;1;0;2;0;3;0;0;0;0;1;0;2;0;0;0;0;0;0;1;3;0;0
;;8;Huigh, W.J.;21;0;2;1;4;0;0;0;0;0;3;0;2;3;2;1;1;0;0;0;2;0;0;0
8;Sluis Lokaal;;;2199;137;171;34;51;24;59;227;154;45;249;151;35;176;87;71;194;15;49;50;37;52;94;37
;;1;Scheppers, A.H.M.;429;23;47;8;8;7;8;24;12;11;52;30;9;54;57;15;18;2;14;5;7;5;12;1
;;2;van Oostenbrugge-Bertou, M.;181;14;19;5;3;0;0;31;28;1;11;19;5;7;2;1;8;5;3;4;0;6;9;0
;;3;Keijmel, S.J.;252;10;4;3;1;3;12;65;44;3;14;10;0;6;0;0;2;2;2;22;0;9;40;0
;;4;Tanghe, C.E.B.;152;32;49;1;2;1;2;7;1;1;10;10;3;4;0;0;1;1;11;0;0;15;0;1
;;5;Quaak, J.A.;428;19;25;6;5;6;3;8;8;0;51;9;10;70;22;36;101;3;3;1;16;6;1;19
;;6;Willemsen, D.;103;5;3;0;0;0;0;1;5;1;81;1;2;3;0;1;0;0;0;0;0;0;0;0
;;7;Meesen, L.M.;27;5;8;2;0;0;0;0;0;0;0;1;2;3;0;0;0;0;4;0;0;2;0;0
;;8;Gijsel, F.J.C.M.;86;2;0;0;3;0;1;0;0;0;3;0;2;13;0;0;42;0;1;2;7;1;0;9
;;9;van den Broecke, L.H.;105;4;0;0;0;0;2;51;16;3;5;3;0;1;0;0;0;0;0;10;0;0;10;0
;;10;Hubregtsen, I.J.;82;3;3;4;6;3;25;7;8;1;5;1;0;6;0;2;0;0;2;0;0;4;2;0
;;11;Temmerman, L.M.;43;4;1;0;2;0;2;0;8;23;1;0;0;0;0;0;2;0;0;0;0;0;0;0
