Verkiezing;;Gemeenteraad Hengelo (O) 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hengelo (O);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Hengelo;Gereformeerde Kerk Morgenster;Suroyo TV (A);Suroyo TV (B);Mor Augin kerk;Wijkcentrum De Hengelose Es (A);Wijkcentrum De Hengelose Es (B);Fiora Zorg;Thuiszorgorganisatie Oriant Zorg;Wijkcentrum De Sterrentuin (A);Wijkcentrum De Sterrentuin (B);Bibliotheek Hengelo Stad;Baptistengemeente Hengelo (A);Baptistengemeente Hengelo (B);Denksportcentrum Hengelo;Wijkcentrum De Tempel (A);Wijkcentrum De Tempel (B);Kristalkerk (A);Kristalkerk (B);Remonstrantse Gemeente Twente;MFA 't Berflo;Nivoncentrum Hengelo (A);Nivoncentrum Hengelo (B);ROC van Twente (A);Buurtcentrum 't Lansink (A);Buurtcentrum 't Lansink (B);Kantine Sportvereniging T.V.O.;ROC van Twente (B);Gymlokaal Breemarsweg 481 A  (A);Gymlokaal Breemarsweg 481 A  (B);Gymlokaal Klaas de Rookstraat 61;Thaborkerk;Wijkcentrum Kulturhus Hasselo (A);Gymlokaal Cruys Voorberghstraat 105 (A);Gymlokaal Cruys Voorberghstraat 105 (B);Wijkcentrum Kulturhus Hasselo (B);Sportpark Slangenbeek ATC'65;Wijkcentrum Slangenbeek (A);Wijkcentrum Slangenbeek (B);Ontmoetingsruimte Bastion;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek
;;20;Straub, P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Toren, C.;9;0;0;0;0;1;1;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;Kroes, D.;13;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;23;Timmer, A.J.;21;1;0;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;3;0;0;1;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;24;Otten, A.;54;3;2;0;0;1;4;1;0;1;0;0;2;0;2;0;0;0;2;1;2;0;0;2;0;1;0;0;0;1;2;4;0;1;0;0;2;1;1;1;1;2;0;0;0;0;1;2;0;5;2;1;1;1;1;0;0
9;GROENLINKS;;;2538;148;73;33;28;18;84;70;41;30;20;22;85;29;28;42;25;31;80;87;75;81;35;41;49;34;55;13;37;54;46;37;42;46;35;26;63;42;61;52;65;51;23;6;20;14;27;39;31;96;31;14;37;25;45;61;55
;;1;Booijink, A.M.;1492;70;50;19;18;8;45;42;23;19;11;16;56;19;13;18;15;15;55;57;49;33;19;19;26;22;38;10;21;28;28;25;25;22;20;17;41;25;36;30;36;35;18;4;13;10;14;25;19;57;12;9;19;15;26;42;35
;;2;Mooijman, E.M.;258;23;5;3;3;0;11;9;4;1;0;2;6;4;4;7;3;3;6;7;3;5;0;7;11;3;9;0;5;8;7;2;2;6;5;1;4;6;4;6;3;3;4;0;3;0;2;5;3;16;2;0;6;4;5;4;3
;;3;Vorgers, J.D.;203;13;3;4;3;3;10;8;3;5;2;1;6;3;3;5;1;3;5;4;4;10;2;2;2;0;3;0;2;7;2;3;6;5;4;3;3;6;7;2;7;1;1;2;0;2;0;1;4;4;5;0;5;0;5;6;2
;;4;Pen, N.T.;59;5;0;0;0;0;2;4;1;0;1;0;1;0;1;1;2;0;1;2;7;4;0;2;0;0;1;0;1;0;0;1;0;0;2;0;1;1;0;1;0;2;0;0;2;0;1;0;1;6;1;0;0;0;3;0;1
;;5;Gomez, A.K.;303;23;7;2;3;4;10;5;7;3;4;1;10;3;5;8;2;5;8;7;8;25;11;9;5;7;1;0;3;3;6;5;3;7;1;4;8;4;4;9;9;1;0;0;0;1;6;2;2;8;6;2;4;5;4;6;7
;;6;ten Barge, M.J.;80;7;5;3;1;2;3;0;1;0;0;0;2;0;2;0;1;1;3;2;1;4;2;1;3;1;0;1;1;0;0;0;0;3;0;1;0;0;7;2;4;3;0;0;0;0;2;2;0;2;4;0;0;0;0;1;2
;;7;Kotter, J.;16;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;8;van Duijvendijk, M.;23;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;3;0;1;0;2;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0
;;9;Lameris, C.G.;34;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;2;3;0;0;0;0;0;0;0;2;1;0;0;0;1;2;1;0;2;0;1;0;0;2;0;0;1;1;1;1;1;1;0;2;0;0;0;0;2
;;10;Wolters, R.;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Weevers, D.D.;33;2;0;1;0;0;0;0;0;0;1;1;2;0;0;1;0;2;0;4;3;0;0;1;1;1;0;0;1;1;2;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0
;;12;Evers, J.L.;31;0;2;0;0;0;2;2;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;1;0;1;0;0;0;2;0;2;1;0;0;0;0;1;1;1;1;0;0;1;0;2;0;3
10;PVV (Partij voor de Vrijheid);;;1616;56;57;20;14;32;51;46;34;15;16;23;21;11;24;32;22;14;33;36;19;31;27;58;21;25;36;34;16;32;30;22;37;42;32;24;49;27;39;58;21;15;30;16;5;7;27;29;28;38;25;18;27;15;15;57;27
;;1;Nijhof-Leeuw, J.M.;1120;39;37;17;10;13;33;28;29;11;11;19;18;8;17;18;11;8;25;28;14;24;20;43;15;21;25;28;11;20;23;15;22;28;18;22;30;18;30;42;14;11;20;10;2;6;23;25;14;24;12;13;20;11;7;34;25
;;2;Benerink, C.B.G.;184;3;9;0;1;6;11;9;4;1;2;0;2;0;2;7;7;3;0;4;1;4;3;3;1;3;4;1;3;3;5;3;9;2;1;1;9;1;3;8;3;1;4;1;0;1;3;1;1;7;7;3;0;3;3;7;0
;;3;van der Sleen, J.H.;70;2;1;0;1;1;0;0;1;0;2;1;0;0;1;3;1;0;0;0;0;1;1;2;1;0;2;1;0;2;0;0;0;1;3;0;3;5;3;3;4;1;0;1;1;0;1;2;4;1;1;0;4;0;1;6;1
;;4;Nijhuis, P.;76;3;1;1;0;0;3;6;0;0;1;2;0;1;0;1;2;2;1;2;1;1;1;5;0;1;4;1;1;4;1;0;0;2;3;0;2;0;1;3;0;0;1;4;0;0;0;1;3;3;2;0;2;0;1;2;0
;;5;Griesen, J.;32;2;4;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;2;0;0;0;0;0;4;3;0;0;0;0;0;0;0
;;6;Kaspers, R.;38;2;0;0;2;8;2;2;0;1;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;3;0;2;0;0;0;1;0;2;2;0;1;0;1;0
;;7;Abbink, S.;72;4;3;2;0;0;1;0;0;1;0;1;1;2;3;2;1;1;3;1;0;1;0;1;1;0;1;3;1;3;0;2;0;9;5;0;3;3;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;3;4;1
;;8;Nijhuis, R.G.B.;24;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;2;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
11;ChristenUnie;;;965;25;28;13;13;9;22;31;9;12;10;9;17;6;8;5;15;33;33;29;16;16;9;22;10;13;14;6;8;7;15;16;28;40;27;28;32;22;29;27;21;13;9;6;9;9;5;27;11;24;11;8;8;6;12;57;17
;;1;van den Beukel, S.;624;17;18;9;8;3;15;18;5;12;4;5;10;5;4;2;10;14;21;19;9;10;3;16;8;5;12;4;4;7;14;4;22;27;22;18;22;14;20;18;18;10;4;5;8;3;4;18;8;15;7;6;2;5;8;35;10
;;2;Groeneveld, H.;102;1;3;0;1;2;5;4;2;0;1;2;1;0;0;0;3;4;2;5;3;2;0;5;2;1;1;1;2;0;0;7;2;4;3;2;1;6;3;0;0;0;3;0;0;2;0;1;2;2;0;0;3;0;0;4;4
;;3;Wienen, J.;32;2;0;1;1;0;0;1;0;0;1;0;1;1;0;1;0;1;2;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;3;2;0;0;0;0;0;2;0;1;1;1;1;0;2;0;0;1;0
;;4;Weymann, H.V.H.;25;1;2;0;2;0;2;7;0;0;0;1;2;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
;;5;de Wilde, G.J.;30;1;2;0;1;2;0;0;0;0;0;0;2;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;3;0
;;6;Visscher, E.J.;7;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;7;Scheringa, A.W.;41;2;0;1;0;2;0;1;1;0;0;0;0;0;2;1;0;5;2;1;1;2;1;0;0;0;0;0;0;0;0;2;1;2;0;0;4;0;0;1;1;0;2;0;1;0;0;1;0;0;0;0;0;0;1;1;2
;;8;Morssink, F.H.;13;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;2;0
;;9;van der Zeeuw, G.J.;29;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;4;1;1;0;0;0;0;0;0;1;0;2;0;0;1;1;1;0;2;2;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;1;2;0
;;10;Marmol-Kroeze, A.B.;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;1;1
;;11;Lassche, B.;15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;12;Witmer, G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Buikema, P.S.;14;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
;;14;Buitenhuis, T.A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0
;;15;Alkema, E.;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
12;Forum voor Democratie;;;810;52;8;8;9;23;30;24;13;11;17;20;27;12;16;18;16;9;20;27;21;34;17;9;15;8;24;18;17;12;18;17;16;28;19;3;20;8;26;29;14;2;2;3;2;1;1;6;4;15;2;5;3;5;9;10;7
;;1;Geertshuis, B.;621;36;6;6;8;18;22;17;11;10;12;15;16;9;14;14;12;7;16;21;13;32;11;9;14;7;18;12;15;10;14;12;14;21;18;2;17;4;17;20;12;2;1;0;2;1;1;4;4;13;1;3;0;5;8;8;6
;;2;Maas, E.H.R.;43;2;2;0;0;0;4;4;0;1;1;0;3;1;1;0;1;0;1;1;2;0;0;0;1;0;1;1;0;0;1;2;0;2;1;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0
;;3;Boland, G.M.;58;6;0;1;0;4;3;0;1;0;0;0;5;1;1;1;1;0;3;2;4;1;3;0;0;1;0;5;0;0;0;0;0;4;0;0;0;1;2;3;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Meijerink, W.H.;36;4;0;1;0;0;0;1;0;0;3;2;1;1;0;2;0;1;0;3;1;0;1;0;0;0;3;0;0;1;1;0;1;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0
;;5;Kieftenbeld, R.B.J.;13;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;6;Strikkers, A.;11;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van het Bolscher, J.A.P.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Oostra, T.;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Gühnen, T.;20;2;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2;0;1;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
13;R3;;;246;8;5;2;2;7;16;15;5;5;9;13;1;2;3;3;11;8;9;11;2;4;3;6;5;4;1;2;0;2;1;2;13;2;1;0;3;3;3;5;5;6;1;1;5;0;0;3;1;7;2;2;3;0;4;8;1
;;1;Huiskes, J.G.;127;6;3;0;2;4;4;5;5;3;2;1;1;1;0;3;6;2;4;6;2;1;2;3;2;3;0;2;0;1;1;2;4;2;1;0;3;2;2;4;1;6;1;0;3;0;0;2;1;3;2;0;2;0;3;7;1
;;2;Spaanstra, R.M.;42;1;2;1;0;1;4;3;0;2;2;0;0;1;0;0;0;2;0;0;0;1;1;0;1;1;0;0;0;0;0;0;9;0;0;0;0;0;1;1;4;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0
;;3;Oral, I.;77;1;0;1;0;2;8;7;0;0;5;12;0;0;3;0;5;4;5;5;0;2;0;3;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;0;1;1;0;0;0;0
14;Hengelose Burgers (VPOR);;;1455;79;61;23;32;29;31;29;20;22;16;12;34;10;15;18;13;10;23;32;30;30;22;39;22;30;32;10;23;39;37;24;33;20;28;23;26;24;46;43;48;24;15;7;10;9;20;20;12;54;28;9;16;19;30;21;23
;;1;Capelle, H.E.;425;22;18;9;3;6;13;9;6;11;6;2;6;2;5;10;4;3;12;13;11;10;8;7;8;5;6;3;5;13;9;7;5;6;12;7;6;7;24;19;16;3;1;1;1;2;3;6;3;9;3;4;7;6;7;6;9
;;2;Loman, R.;158;9;4;6;7;5;2;2;4;4;0;0;3;1;0;0;2;0;4;4;5;1;3;2;1;3;6;1;1;4;3;1;3;5;3;3;3;1;7;8;4;3;4;1;2;2;2;0;4;9;2;0;0;3;0;0;1
;;3;van Essen, F.A.;383;12;25;2;9;7;8;7;5;6;4;6;8;4;6;1;0;2;4;1;7;3;5;13;4;9;7;2;6;15;17;7;11;3;3;6;4;6;4;3;9;10;5;1;6;2;14;9;5;16;13;4;3;5;16;9;4
;;4;Meulenbroek, B.H.B.;86;1;0;1;2;1;0;1;1;0;0;0;0;0;1;0;1;0;1;2;1;2;0;5;1;3;1;0;1;1;0;4;4;0;1;0;4;7;2;7;14;0;2;0;0;0;0;0;0;0;1;0;0;2;0;5;6
;;5;Meijers, P.;107;9;3;2;2;3;4;4;0;0;0;3;4;0;1;1;4;1;1;4;1;3;2;1;1;2;2;1;0;4;3;3;2;2;4;1;1;2;2;3;3;1;0;0;0;0;0;3;0;4;2;0;1;2;5;0;0
;;6;Roozeboom, B.J.S.;124;13;7;1;3;3;1;4;1;0;3;0;13;3;1;2;0;2;1;5;1;7;0;3;4;3;3;2;2;1;2;0;3;3;1;4;3;0;4;1;1;2;2;1;1;0;0;0;0;2;2;0;1;0;0;0;2
;;7;Mensink, F.P.J.M.;49;6;0;0;2;1;2;1;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;3;1;1;1;1;3;0;2;0;0;0;1;0;0;0;0;0;1;3;1;0;0;1;0;0;0;10;0;0;1;1;1;0;0
;;8;Klop, L.P.;10;0;2;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Kuipers, J.J.;20;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0
;;10;Ankone, M.J.K.;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;11;Oldenhof, H.C.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Nossent, J.;14;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0
;;13;Gorkink-Hobbelink, W.G.W.;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Vries, P.H.J.;10;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
;;15;ter Beke, J.A.M.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Jordan, H.W.L.;13;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;3;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Nieuwenhuis, G.H.;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;18;Hobbelink, D.J.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0
;;19;van der Keur, R.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Witteveen, S.I.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Hofstede, R.J.M.;13;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
15;JEZUS LEEFT;;;153;11;2;2;0;4;12;3;2;0;4;3;6;0;1;4;1;0;5;5;5;4;4;3;2;1;0;0;0;1;2;0;14;3;7;2;4;2;0;3;4;4;1;1;0;2;0;1;0;3;3;1;5;1;0;3;2
;;1;Ong A Fat, K.K.;153;11;2;2;0;4;12;3;2;0;4;3;6;0;1;4;1;0;5;5;5;4;4;3;2;1;0;0;0;1;2;0;14;3;7;2;4;2;0;3;4;4;1;1;0;2;0;1;0;3;3;1;5;1;0;3;2
