Verkiezing;;Gemeenteraad Rijssen-Holten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rijssen-Holten;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1742;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Rijssen;Gemeentehuis maandag;Gemeentehuis dinsdag;Open Hof;Het Parkgebouw;Het Parkgebouw maandag;Het Parkgebouw dinsdag;Gebouw Schietvereniging;Sion;Gymnastieklokaal Welleweg;Willem-Alexanderschool;voormalige basisschool de Salto;De Hoeksteen;Sporthal de Stroekeld;Kulturhus Holten;Kulturhus Holten maandag;Kulturhus Holten dinsdag;Sporthal 't Mossink (voorheen Diessenplas);Kulturhus Dijkerhoek;Gymnastieklokaal Lageweg;Sporthal 't Mossink (voorheen Haarschool);De Tabernakel;Mobiel Stembureau dinsdag;De Ark;De Ark maandag;De Ark dinsdag
;;9;Beukers, H.T.B.;19;0;0;0;1;2;0;0;2;4;1;0;1;3;2;1;0;0;0;0;0;1;0;0;0;1;0
;;10;Jol - Cillekens, J.M.N.;18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;2;0;1;0;2;4;0;0;0;0;0
;;11;de Koe, R.A.;28;5;0;1;1;0;1;1;3;0;2;0;0;0;3;1;0;1;2;0;0;0;3;0;0;0;4
;;12;Heuver - Harbers, E.;21;1;0;1;0;1;0;3;3;0;0;0;2;1;4;1;0;0;0;0;2;0;2;0;0;0;0
;;13;Kevelam, A.J.;25;0;0;0;2;0;0;0;0;1;0;0;0;0;0;4;3;2;1;2;5;3;1;0;1;0;0
;;14;Aaftink, L.J.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;0;0;0;0;0
;;15;Bronninkreef, B.J.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;11;3;4;0;0;0;0;0
;;16;Rensen, H.D.;15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;1;9;1;0;0;0;0;0;0
;;17;Noordam, F.W.;16;0;1;0;2;0;0;0;2;0;0;0;1;0;0;3;1;4;0;0;1;0;0;0;0;0;1
6;GROENLINKS / Partij van de Arbeid (P.v.d.A.);;;1505;63;34;46;34;75;23;41;77;63;29;28;63;50;40;146;85;112;127;37;116;126;38;2;23;14;13
;;1;Meijerink, R.W.;561;24;11;21;14;30;11;12;35;22;13;10;25;22;17;50;28;49;47;8;40;43;14;1;3;5;6
;;2;ter Harmsel-van Lingen, C.L.;398;18;2;11;5;16;3;12;9;13;5;6;13;16;11;40;25;30;40;18;35;41;15;0;5;5;4
;;3;Janssen-Niehof, R.H.L.;62;1;1;0;2;2;1;1;3;1;1;1;1;1;1;13;4;7;1;0;8;7;1;0;3;1;0
;;4;Versluis, C.;32;0;0;1;0;0;0;0;2;1;1;0;0;1;0;2;6;1;9;3;0;3;2;0;0;0;0
;;5;Hartkamp, H.A.;72;2;1;0;0;0;0;0;2;0;1;0;1;0;1;16;11;8;13;1;8;6;0;0;1;0;0
;;6;Kaffener, J.G.H.;31;0;1;0;0;1;0;1;0;4;0;0;1;0;0;4;1;5;3;2;4;4;0;0;0;0;0
;;7;Tijhof, E.M.;118;10;9;10;6;16;3;5;12;9;4;5;12;5;2;0;0;1;0;0;0;2;3;0;2;0;2
;;8;Aartsen, C.D.;22;0;2;0;1;0;0;2;1;1;0;0;0;0;0;1;1;0;1;1;2;6;0;0;3;0;0
;;9;de la Haye, R.M.C.;36;0;1;0;0;0;2;0;0;0;2;0;1;0;0;10;1;2;1;0;2;14;0;0;0;0;0
;;10;Klein Velderman, H.;76;0;1;1;3;1;1;2;3;1;0;0;0;0;3;9;8;7;12;4;16;0;1;0;3;0;0
;;11;Velterop, J.F.;30;3;2;1;1;3;0;2;3;5;1;2;1;3;0;1;0;1;0;0;0;0;1;0;0;0;0
;;12;Tijhof-Zwijnenberg, M.J.;67;5;3;1;2;6;2;4;7;6;1;4;8;2;5;0;0;1;0;0;1;0;1;1;3;3;1
