Verkiezing;;Gemeenteraad Olst-Wijhe 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Olst-Wijhe;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1773;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;"Stembureau Verenigingsgebouw ""De Bastiaan""";"Stembureau Sporthal ""de Hooiberg""";Stembureau Eetcafé Boskamp;Stembureau Buurthuis Den Nul;"Stembureau Dorpshuis ""De Bongerd""";Stembureau Het Wapen van Wesepe;Stembureau Holstohus;Stembureau Gemeentehuis Wijhe;Stembureau Stichting 't Langhuus;Stembureau SPOC-park Wijhe;Stembureau Logtenberg op de Boerhaar;Stembureau Buurthuis Elshof;Stembureau Dorpshuis Herxen;"Stembureau ""Westhoff""";Stembureau Vroegstemmen Gemeentehuis Wijhe 14-03-22;Stembureau Vroegstemmen Gemeentehuis 15-03-22;Stembureau Vroegstemmen Holstohus 14-03-22;Stembureau Vroegstemmen Holstohus 15-03-22;Stembureau Averbergen;Stembureau 't Weijtendaal;Stembureau Willibrord
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;510;511;520;521;610;611;612
Postcode;;;;;8121 BM;8121 RA;8121 CX;8121 EJ;8196 KW;8124 AP;8121 CM;8131 BN;8131 BA;8131 DP;8131 SW;8131 RR;8131 PC;8198 KP;8131 BN;8131 BN;8121 CM;8121 CM;;;
;;2;Vruggink, W.;86;15;3;9;1;1;7;19;3;1;3;5;1;0;2;1;1;8;6;0;0;0
;;3;van der Horst, G.J.;42;3;1;0;0;2;3;13;1;0;2;1;0;2;2;0;0;4;8;0;0;0
;;4;Nasab, M.;103;0;0;3;5;2;3;12;17;11;7;14;4;3;0;11;8;2;1;0;0;0
;;5;Eusman, P.D.;27;0;0;2;0;0;5;2;3;0;1;3;1;1;0;1;1;3;3;0;0;1
;;6;Schoots, A.J.M.;49;5;2;7;1;4;1;10;2;2;3;1;0;1;1;0;1;2;6;0;0;0
;;7;Nekeman, H.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;klein Koerkamp, J.J.M.;13;3;1;0;0;0;0;2;0;2;1;0;0;0;0;0;1;1;2;0;0;0
;;9;Alberts, R.;35;0;0;0;0;2;0;3;6;6;4;6;0;2;0;3;3;0;0;0;0;0
;;10;Hummelink, F.T.B.;26;1;0;0;0;0;4;7;1;0;0;2;4;2;0;0;2;2;1;0;0;0
6;D66;;;572;43;3;26;22;26;27;109;63;29;23;46;21;6;4;16;32;27;45;0;2;2
;;1;Brandsma, R.A.J.;287;13;1;14;7;18;16;52;34;11;10;31;10;2;3;9;21;8;24;0;1;2
;;2;Mulder, T.;58;11;1;1;1;0;2;12;1;2;1;3;1;1;0;2;4;10;4;0;1;0
;;3;Lagcher, J.G.;24;1;0;0;8;1;0;5;4;2;0;0;1;0;0;0;0;2;0;0;0;0
;;4;Sluiter, H.K.;87;11;0;4;3;3;6;12;13;7;1;3;3;2;0;2;3;5;9;0;0;0
;;5;Lof, M.;116;7;1;7;3;4;3;28;11;7;11;9;6;1;1;3;4;2;8;0;0;0
7;PARTIJvdSPORT;;;369;19;4;10;15;19;15;56;45;24;43;23;12;5;1;19;30;6;23;0;0;0
;;1;Vierwind, M.A.J.;289;14;4;6;11;3;9;40;38;21;42;19;10;4;0;17;26;6;19;0;0;0
;;2;Gerritsen, M.;61;5;0;2;2;16;2;12;5;2;1;4;2;1;1;0;3;0;3;0;0;0
;;3;Kamp, A.M.C.J;19;0;0;2;2;0;4;4;2;1;0;0;0;0;0;2;1;0;1;0;0;0
