Verkiezing;;Gemeenteraad Leeuwarden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Leeuwarden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Obe;Zalen Schaaf;Stadsschouwburg De Harmonie;Wijkgebouw De Toekomst;Pelikaankerk;M.f.c. Westenkwartier;NHL Stenden Hogeschool;Stembureau Tylkedam;Wijkcentrum Bilgaard;Adventkerk;M.f.c. Westeinde;Piter Jelles !mpulse;Cultureel Centrum Mahatma Gandhi;De Fontein;Autobedrijf Haaima Hylkema;Autobedrijf Haaima Hylkema;MG Rehoboth;Wijkgebouw Cambuursterhoek;Emmastate;Wijkgebouw Insulinde;Wijkcentrum Schieringen;M.f.c. Camminghastins;Gymlokaal IKC Trianova;De Schakel;Gymlokaal Algraschool;Gymlokaal De Wielen;Gymlokaal Menno van Coehoorn;Buurthuis It Skiphûs;Wijkcentrum 't Knooppunt;Gymlokaal Drachtsterweg;Husmaherne;Hollanderhuuske;Wijkgebouw Gerard Dou;Cultuurcentrum Leeuwarden;Wijkcentrum Nijlân;Piter Jelles YnSicht;Leeuwarder Lyceum;Leeuwarder Lyceum;Wijkcentrum Froskenburch;Wijkcentrum Froskenburch;Lekkum Dorpshuis De Weeme;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Wirdum Dorpshuis de Golle;Wytgaard Parochiezaal RK Kerk;M.f.c. Màrkant;Oranje Hotel;Provinciehuis;MG Rehoboth;M.f.c. Camminghastins;Het Buiten-land Pitch & Putt;Goutum Dorpshuis Ien en Mien;Parkkerk;Gymlokaal Wollegaastdam;NHL Stenden Hogeschool;Gymlokaal Telemannstraat;Hotel Van der Valk;Bethelkerk;Grou Sporthal de Twine;Grou Sint Piterkerk;Grou Het Theehuis;Warten Gereformeerde kerk;Wergea Us Doarpshûs;Reduzum Gymlokaal Trije Doarpen Skoalle;Jirnsum M.f.c. It Kattehûs;Stiens It Span;Stiens M.f.c. de Skalm;Koarnjum De Bining;Hijum Dorpshuis de Kampioen;Britsum Gereformeerde kerk;Stiens De Hege Stins;Stiens Sportcentrum It Gryn;Stiens Sportcentrum It Gryn;Alde Leie Us Gebou;Mantgum M.f.c. De Wjukken;Baard De Greidefûgel;Weidum Dorpshuis;Stadsschouwburg De Harmonie;NHL Stenden Hogeschool;M.f.c. Westeinde;Emmastate;M.f.c. Camminghastins;Hollanderhuuske;Wijkcentrum Froskenburch;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Provinciehuis;Grou Het Theehuis;Wergea Us Doarpshûs;Stiens It Span;Mantgum M.f.c. De Wjukken;Stadsschouwburg De Harmonie;NHL Stenden Hogeschool;M.f.c. Westeinde;Emmastate;M.f.c. Camminghastins;Hollanderhuuske;Wijkcentrum Froskenburch;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Provinciehuis;Grou Het Theehuis;Wergea Us Doarpshûs;Stiens It Span;Mantgum M.f.c. De Wjukken
;;24;Kornelis, B.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Schaaf, G.;26;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;1;2;0;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Nicolai, B.F.;18;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Vries, H.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Sietsma, T.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Keizer, J.S.;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Gaarman, H.C.H.;36;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;4;0;0;0;2;6;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Ketellapper, M.;56;1;0;0;0;3;0;1;0;1;0;1;2;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;2;2;1;0;0;4;2;2;6;4;4;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
7;ChristenUnie;;;2478;15;7;29;58;63;27;19;20;36;34;59;16;23;42;29;35;14;26;18;15;25;47;36;41;42;74;26;9;25;10;30;18;31;19;39;54;30;48;47;49;11;31;37;63;14;41;14;31;17;25;45;35;18;4;18;13;63;23;19;17;2;13;19;10;7;19;23;12;11;37;47;26;20;2;19;12;6;8;11;27;6;24;12;9;9;6;7;4;0;8;4;16;21;31;6;37;4;23;18;25;7;7;3;25;11
;;1;Niesink, C.C.M.;1504;10;3;11;35;30;12;11;8;23;21;39;10;7;26;11;13;8;17;10;9;9;33;23;28;30;46;19;6;18;2;13;12;19;13;21;33;23;23;29;34;8;18;27;49;10;23;10;19;9;14;33;17;11;1;9;12;37;10;12;8;2;12;15;7;3;10;15;7;9;23;32;11;10;0;8;8;3;7;7;18;2;18;7;3;6;6;5;2;0;7;2;12;12;18;5;25;3;20;10;16;5;4;1;14;9
;;2;Douwstra, H.;226;0;0;5;7;15;4;3;3;5;3;4;3;4;6;1;2;1;1;1;2;9;5;3;4;0;5;2;0;3;1;6;2;3;2;4;3;2;3;7;6;0;1;1;1;0;0;1;4;1;4;3;7;1;1;2;0;4;1;0;1;0;0;2;0;0;1;1;1;1;6;1;2;1;0;1;0;0;1;0;2;2;3;2;2;2;0;2;0;0;0;0;1;0;3;0;4;0;0;0;5;2;1;0;4;0
;;3;Heijman, R.;48;2;0;1;4;4;0;0;0;1;0;1;1;3;1;2;2;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
;;4;de Snoo, C.;81;0;0;0;2;0;2;0;0;3;2;3;0;0;0;1;1;1;1;0;1;3;1;1;0;1;0;0;1;0;0;1;0;0;1;0;10;1;4;0;1;0;5;1;1;0;3;0;1;0;1;1;3;0;0;2;0;8;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;1;0;0
;;5;Hulzinga-de Jager, W.M.A.;104;1;3;4;1;4;1;0;2;2;1;1;0;3;0;1;1;0;0;3;0;0;1;3;3;2;3;0;0;2;1;1;3;4;0;4;1;0;4;2;3;1;0;1;2;0;4;0;2;3;0;0;2;2;0;0;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;2;0;0;0;1;0;0
;;6;Andringa-Dijk, H.L.;62;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;2;3;0;1;5;9;9;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0
;;7;van Reenen, J.A.;12;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Baan, M.M.G.;60;0;1;2;1;2;3;1;2;0;3;0;0;2;1;0;1;1;1;1;0;0;0;0;1;0;0;2;0;0;0;8;0;0;0;4;0;0;3;1;0;0;0;1;0;0;0;0;1;3;0;3;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
;;9;Childs, V.D.;18;0;0;0;0;0;2;0;2;0;0;0;2;0;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Kloosterman, T.J.;16;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;11;Verhoef, J.;51;0;0;1;1;5;0;0;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;1;0;2;0;0;0;0;1;0;0;1;1;1;0;0;4;1;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;2;0;0;0;0;0
;;12;Boonstra, J.;24;1;0;1;0;0;0;1;0;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Weijer-Fekken, S.D.;35;0;0;1;0;1;0;0;1;0;1;1;0;0;2;0;2;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Muller, R.;25;0;0;0;2;1;0;1;0;1;0;0;0;1;2;0;0;0;1;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;15;Kuiken-Geleijnse, J.;34;0;0;1;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;0;0;1;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;1
;;16;van Harten, P.C.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Vries-Boersma, M.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Buikema, T.H.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;19;Daverschot, A.H.M.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Boer, J.W.;10;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Koops-Torn, S.;14;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;22;Wiersma, A.;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Medema-Sleurink, M.A.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Tromp, F.L.;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Rijpstra-Pranger, E.K.R.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;26;Steegstra-Wesselius, G.;12;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Daalen, A.P.C.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Huisman, G.W.;36;1;0;1;0;0;1;0;0;0;1;2;0;0;0;2;1;0;0;0;0;0;0;3;1;6;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0
;;29;Rijpma, F.R.;17;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
8;LIJST058;;;4306;16;39;54;78;78;48;41;41;83;30;136;48;37;60;23;71;57;99;45;57;51;66;95;58;63;76;37;25;61;33;52;64;82;55;80;47;49;50;87;99;37;69;57;132;45;59;31;55;45;64;74;71;60;38;26;30;77;60;34;22;23;23;50;35;25;17;25;7;9;23;34;25;20;2;21;2;18;21;23;18;9;27;23;27;6;8;14;8;5;3;2;30;19;42;20;53;34;26;8;14;22;8;9;7;4
;;1;van der Galiën, O.A.;1995;7;16;29;36;41;22;13;16;37;17;63;19;18;25;22;37;30;44;21;26;21;33;37;31;36;43;20;12;35;19;22;28;35;29;38;30;22;20;42;45;21;33;20;14;12;26;13;29;21;24;38;33;28;19;13;11;33;30;20;13;14;11;19;18;18;9;11;2;5;17;18;9;10;1;7;2;8;11;12;7;4;14;7;10;4;6;9;2;3;1;1;13;13;22;12;30;13;8;2;7;8;4;1;3;1
;;2;Runhart, C.;584;1;7;11;13;9;10;5;6;15;6;22;4;3;8;0;7;10;14;7;7;13;11;10;8;12;17;3;2;6;6;5;13;15;5;10;5;8;7;8;8;9;8;7;3;2;4;7;4;2;11;7;12;13;2;5;6;10;5;3;1;1;1;4;3;4;1;5;0;2;1;5;8;2;0;3;0;2;4;2;4;5;6;8;2;1;0;0;3;1;0;1;8;0;3;3;5;6;5;5;1;7;1;1;0;2
;;3;Wijnstra, C.;95;2;0;2;0;0;1;2;4;0;0;0;0;1;3;0;0;1;0;1;0;1;0;1;2;0;0;0;3;1;0;0;1;1;1;2;0;1;5;10;6;0;2;1;2;0;0;0;0;0;2;0;1;2;0;0;0;0;3;2;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;1;1;0;0;0;2;0;2;1;7;0;0;1;0;0;0;0
;;4;Hoekstra, D.C.;236;0;2;3;4;10;2;6;8;6;1;7;13;5;5;0;6;1;13;2;3;1;3;4;4;3;2;1;1;3;1;3;0;5;4;1;3;1;3;6;17;2;0;3;1;0;0;0;2;7;4;2;3;1;0;2;2;6;5;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;0;2;4;0;3;0;2;0;0;0;0;0;0;0;3;0;3;0;1;2;3;0;1;0;1;0;0;0
;;5;van der Galiën, O.;73;0;0;1;0;4;1;1;0;0;0;1;1;0;1;0;1;1;4;1;2;3;1;6;2;0;1;0;0;1;0;1;2;1;1;1;1;0;1;2;3;0;3;1;2;0;0;1;1;0;3;2;1;0;0;0;0;0;2;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0
;;6;Kisoenpersad, S.;94;1;4;0;2;2;2;0;0;1;0;4;0;0;1;0;0;1;0;2;2;0;5;1;0;2;1;0;0;0;0;0;0;2;0;2;3;2;0;0;0;0;3;0;1;1;11;1;2;1;1;8;4;3;0;0;1;2;0;1;0;0;0;0;0;0;1;2;1;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0
;;7;Tromp, M.F.;138;1;1;0;1;4;1;3;3;4;5;3;0;2;0;1;3;4;4;3;2;2;2;6;0;2;2;2;0;1;0;1;0;1;2;1;2;0;2;0;2;1;0;5;1;1;2;1;1;0;4;2;1;1;7;1;0;1;1;4;1;0;0;0;0;0;1;0;1;1;2;1;0;1;1;1;0;2;1;3;0;0;0;2;3;0;0;2;0;0;0;0;0;0;2;0;1;4;0;0;0;0;0;1;0;0
;;8;Nyp, N.K.;291;0;3;1;4;1;2;0;0;1;0;2;1;0;4;0;3;0;0;0;4;0;0;4;1;2;0;0;0;0;3;3;2;6;1;3;0;1;0;1;1;0;3;2;105;27;3;1;2;1;3;5;1;1;2;0;2;4;1;1;2;2;7;17;10;0;0;1;1;0;2;2;1;1;0;6;0;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;1;3;0;2;0;0;1;0;4;1;1
;;9;Kisoenpersad, D.R.;80;2;2;0;0;0;0;2;1;3;0;0;0;1;1;0;0;3;2;0;0;3;3;5;0;1;2;1;1;2;0;0;0;2;3;2;0;0;1;2;0;1;1;0;0;0;2;1;3;1;1;2;0;0;0;0;0;5;3;0;1;0;1;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;0;0;0;0;0;0;0;0;0
;;10;van Gelderen, R.;205;1;1;1;7;1;3;0;0;5;0;7;2;1;4;0;3;0;6;2;4;4;0;6;4;0;2;3;2;2;0;5;7;10;3;11;1;4;3;1;8;1;8;5;0;0;5;3;3;2;2;3;7;2;1;2;4;2;3;0;1;3;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;1;0;0;1;0;0;0;0;3;0;1;0;4;0;1;0;1;0;1;0;0;0
;;11;van der Woude, K.;66;0;0;1;0;2;1;2;0;0;0;6;2;1;2;0;2;0;0;0;1;1;3;0;0;0;0;2;1;2;0;0;0;1;0;0;0;1;1;2;1;1;0;1;0;1;2;0;1;1;2;0;0;0;1;0;0;3;1;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;1;3;2;0;0;0;0;0;1;0;0
;;12;Klompstra, N.;34;0;0;0;0;1;0;3;0;1;0;0;0;0;2;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;1;0;0;0;2;1;0;0;0;0;3;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;13;Faber, R.;27;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;1;1;0;2;0;0;3;0;1;0;0;0;0;0;0;1;2;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
