Verkiezing;;Gemeenteraad Dantumadiel 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dantumadiel;;;;;;;;;;;;;;;;;;;;
Nummer;;1891;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Doopsgezinde Kerk Damwâld;Dorpshuis De Nije Warf;Nij Tjaerda;MFC  De Beijer;Herberge De Trochreed;Dorpshuis  De Pipegael;Kerkelijk Centrum De Mienskip;Kantine SC Veenwouden;Lokaal Gemeenschap van Christus Fogelsang;Lokaal Chr.Geref. kerk;Lokaal De Ferbiningstsjerke;Gemeentehuis 14 maart;Gemeentehuis 15 maart;Kerkelijk Centrum De Mienskip 14 maart;Kerkelijk Centrum De Mienskip 15 maart;Lokaal De Ferbiningstsjerke 14 maart;Lokaal De Ferbiningstsjerke 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;9104 BR;9104 GM;9113 PA;9104 KA;9105 KG;9067 DM;9108 NE;9269 SW;9269 NB;9271 GB;9271 CH;9271 BP;9104 BR;9104 BR;9269 SW;9269 SW;9271 BP;9271 BP
;;9;de Haas, J;15;0;0;0;0;6;1;1;1;0;0;1;1;0;1;1;1;0;1
;;10;Peterson, E;7;0;3;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;;11;Jelsma, W;15;0;0;1;0;0;0;1;7;1;0;0;0;0;2;2;1;0;0
;;12;de Jong, D;27;1;0;1;1;14;0;2;2;1;2;0;2;0;0;0;1;0;0
;;13;Stienstra, G;13;0;2;0;5;0;0;0;5;0;0;0;1;0;0;0;0;0;0
;;14;Sangers, S.B.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Bruin, L;5;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2
;;16;Wijbenga, W;7;0;0;0;0;0;0;0;0;0;2;3;0;0;1;0;0;0;1
;;17;van der Bij, S.L.;18;1;0;0;0;1;0;0;0;0;0;0;14;0;2;0;0;0;0
;;18;van der Bij, R;6;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0
6;Staatkundig Gereformeerde Partij (SGP);;;752;69;108;199;74;18;0;39;26;13;30;49;33;14;37;7;9;13;14
;;1;Kooistra, H.J.;515;46;69;138;53;11;0;27;16;9;17;34;27;8;27;4;9;7;13
;;2;Visser, G.;46;4;5;19;1;0;0;2;2;0;0;5;0;4;4;0;0;0;0
;;3;Jacobsen, S.;20;0;0;3;0;0;0;4;4;4;3;0;0;0;0;2;0;0;0
;;4;van der Veen, IJ.;22;2;3;3;7;5;0;1;0;0;0;0;0;0;0;0;0;1;0
;;5;Bakker, T.;17;1;7;4;0;0;0;0;0;0;2;1;1;0;0;0;0;1;0
;;6;Havenaar, H.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;7;Benschop, F.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Visser, G.B.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;9;Reitsma, A.;16;0;0;3;0;0;0;0;1;0;3;6;3;0;0;0;0;0;0
;;10;de Jong, K.;3;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;11;Egas, H.N.;30;8;9;5;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0
;;12;ten Hoven, B.;7;0;1;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;13;Visser, T.H.;18;2;8;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Jacobsen, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;Boer, T.M.;5;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Reitsma, A.;8;0;1;0;2;0;0;0;0;0;3;0;0;0;0;0;0;2;0
;;17;van der Meer, S.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Veen, J.;14;3;0;5;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0
;;19;de Boer, J.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Leeuw, J.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
;;21;de Vries, P.T.;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;22;van der Sluijs, L.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;de Jong, A.;5;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;Heikamp, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Bogerd, K.H.;5;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;26;Egas, A.A.;9;1;2;2;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0
7;VVD;;;257;24;22;26;15;7;9;22;41;11;5;18;17;5;12;4;14;1;4
;;1;Bos-Jonkman, G.J.;224;21;15;16;14;7;7;21;38;11;5;17;16;5;10;4;12;1;4
;;2;Wielstra, A.G.;33;3;7;10;1;0;2;1;3;0;0;1;1;0;2;0;2;0;0
8;Belang van Nederland (BVNL);;;597;66;51;44;68;30;11;66;28;22;17;75;49;13;25;5;11;6;10
;;1;Jager, J.;255;27;26;18;26;10;7;27;16;16;6;30;17;3;11;3;8;3;1
;;2;Schat, J.C.;96;1;2;3;5;5;2;4;5;1;9;30;18;0;1;2;2;3;3
;;3;Wijnsma, A.;82;16;7;5;19;7;0;7;3;0;1;6;4;1;4;0;0;0;2
;;4;Spinhoven, E.;28;4;5;0;2;2;2;1;2;1;0;0;6;2;0;0;0;0;1
;;5;Sijtsma, G.;43;6;4;3;2;0;0;16;0;2;0;1;1;4;2;0;1;0;1
;;6;Hoekstra, J.H.;32;4;3;0;4;0;0;4;0;1;0;7;2;3;3;0;0;0;1
;;7;Bosgraaf, S.;61;8;4;15;10;6;0;7;2;1;1;1;1;0;4;0;0;0;1
