Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;LindeStede, Wolvega;Lycklama Stins, Wolvega;Lenna, Wolvega;Sickenga-Oord, Wolvega;Clubgebouw Het Wolvennest, Wolvega;gymlokaal De Heidepolle, Wolvega;'t Polderhuus, Munnekeburen;Dorpshuis 't Griffioentje, Oldelamer;Dorpshuis De Bult, Ter Idzard;Kerkelijk centrum Ter Holten, Oldeholtpade;MFC de Ni'je Stienze, Nijeholtpade;Dorpshuis De Tille, Boijl;Openbare Bibliotheek, Noordwolde;Clubgebouw voetbalvereniging Zandhuizen;Sporthal De Duker, Noordwolde;Dorpscentrum Sonnega-Oldetrijne, Sonnega;Krommestede, Noordwolde;Dorpshuis ’t Hokkien, De Hoeve;Gebouw Het Anker, Steggerda;Dorpshuis 't Centrum, De Blesse;Dorpshuis, Oosterstreek;Gemeentehuis, Wolvega;Sportcentrum De Steense I, Wolvega;Sportcentrum De Steense II, Wolvega;Zalencentrum de Rank, Wolvega;’t Buurthuus, Noordwolde;'t Buurthuus, Noordwolde (14 maart);'t Buurthuus, Noordwolde (15 maart);Gemeentehuis, Wolvega (14 maart);Gemeentehuis, Wolvega (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Postcode;;;;;8471 KZ;8472 AB;8471 LC;8471 BS;8471 HH;8471 VM;8485 JE;8486 GD;8476 EN;8474 CL;8475 EB;8392 MA;8391 BG;8389 TH;8391 MH;8479 HH;8391 LH;8394 VP;8395 PJ;8397 GC;8388 NE;8471 KR;8472 AA;8472 AA;8471 CE;8391 AW;8391 AW;8391 AW;8471 KR;8471 KR
;;18;van Leeuwen, G.E.;29;0;0;2;0;0;0;6;2;2;1;0;1;0;0;0;5;0;0;1;0;0;3;0;0;0;2;0;0;1;3
5;Weststellingwerfs Belang;;;1752;3;0;165;4;153;104;70;6;31;102;25;54;80;42;84;24;4;15;60;68;28;143;60;55;109;71;28;57;35;72
;;1;Spin, P.L.T.;705;2;0;69;4;65;34;30;2;17;46;18;30;20;18;28;13;1;4;26;30;11;61;25;20;36;21;8;19;11;36
;;2;Rikkers-Oosterkamp, M.G.F.;300;0;0;32;0;26;15;20;4;8;19;3;8;7;6;7;3;0;2;7;12;1;37;10;8;31;6;0;7;6;15
;;3;Hartog, T.;61;0;0;5;0;10;4;2;0;1;7;1;1;3;1;2;1;0;0;1;3;0;3;2;2;1;2;1;3;4;1
;;4;Woudstra-Dooper, D.M.;129;0;0;17;0;13;22;5;0;0;2;0;1;2;1;3;4;0;0;5;4;0;15;2;7;13;2;0;0;8;3
;;5;Winter, E.J.;73;0;0;8;0;8;4;1;0;0;11;1;1;2;1;2;1;0;3;2;1;0;1;3;2;8;2;0;4;2;5
;;6;Rooks, M.;60;1;0;4;0;4;9;4;0;0;1;0;0;0;2;0;2;0;0;0;5;0;5;6;5;10;0;0;0;1;1
;;7;Dijkstra, H.;19;0;0;3;0;2;3;1;0;0;2;0;1;0;1;0;0;0;0;1;0;0;2;2;0;0;0;0;0;1;0
;;8;Cordes, A.;21;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;2;3;5;0;1;1;1;2;0;0;0;0;1
;;9;Kromkamp, P.;63;0;0;9;0;9;4;2;0;3;5;0;1;0;1;2;0;0;0;1;3;0;10;3;5;1;0;1;0;0;3
;;10;Vogelzang, J.H.;111;0;0;0;0;3;1;0;0;0;0;1;2;21;3;20;0;1;4;6;0;9;1;0;3;0;22;6;8;0;0
;;11;Krediet, C.;11;0;0;0;0;1;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0
;;12;Bekhof, J.;39;0;0;0;0;1;0;0;0;0;1;0;1;7;2;9;0;1;0;1;2;2;0;0;0;1;3;1;7;0;0
;;13;Ophof, J.;31;0;0;2;0;0;0;0;0;0;0;0;2;5;0;3;0;1;0;0;0;2;0;0;1;0;8;3;4;0;0
;;14;Veen, A.R.;8;0;0;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;15;Lin, P.C.;20;0;0;3;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;2;0;0;0;3
;;16;Krediet, L.A.;16;0;0;0;0;0;0;1;0;0;0;0;0;6;0;3;0;0;0;0;0;1;0;0;0;0;0;3;2;0;0
;;17;Wijngaard, M.R.;19;0;0;3;0;1;2;0;0;2;1;0;0;0;1;1;0;0;0;2;0;0;1;1;0;3;0;0;0;1;0
;;18;Cordes, A.;21;0;0;3;0;3;2;0;0;0;1;1;1;1;0;0;0;0;0;2;1;0;0;2;1;0;0;0;0;1;2
