Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het gemeentehuis;Wijkcentrum De Utwyk;Wijkcentrum De Kouwe;Chr.Ger. Kerk;Sportcentrum Drachten;Buurthuis De Skûle;MOS - Brede School De Drait (A);Tienersoos Place 2 B (Dr.vaart);Wijkcentrum De Skammel;Basisschool 't Tweespan;Dorpshuis 't Bynt Boornbergum;Lokaliteit De Nije Kompe Dr.comp.;Dorpshuis De Huchte Houtigehage;Dorpshuis Op 'e Jister Nijega;Dorpshuis De Wringe Opeinde;MFC Oudega;Dorpshuis It Werflân;De Naturij;Dorpshuis De Tike;It Polderhûs;De Kakelhof;Sporthal De Drait;Sporthal De Waring;Trefpunt de Holdert;Watersportvereniging Drachten/De Veenhoop;Tennisvereniging Drachten;Dansschool Studio to B;Brede school de Wiken;Kerk de Oase;Adverium;Fonteinkerk;Het gemeentehuis;Het gemeentehuis;Dansschool Studio to B;Dansschool Studio to B;MOS - Brede School De Drait;MOS - Brede School De Drait;Sportcentrum Drachten;Sportcentrum Drachten;Brede school de Wiken;Brede school de Wiken
Gebiednummer;;;;;1;2;6;7;10;14;15;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;34;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59
Postcode;;;;;9203 RM;9201 XE;9201 TE;9203 AN;9202 LC;9203 ND;9204 JT;9204 LM;9205 DE;9205 BN;9212 PK;9222 NA;9223 LB;9217 RL;9218 PP;9216 WE;9221 TD;9204 WS;9219 VM;9215 VZ;9218 PA;9204 CM;9207 DD;9203 DH;9213 VP;9207 AB;9203 HH;9202 GV;9201 GT;9202 PD;9201 BW;9203 RM;9203 RM;9203 HH;9203 HH;9204 JT;9204 JT;9202 LC;9202 LC;9202 GV;9202 GV
;;8;Feenstra, D.R.M.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;9;Lokhorst, G.;122;3;8;4;2;0;11;13;7;4;4;1;4;0;0;3;1;0;5;0;0;1;6;6;3;3;9;0;0;5;0;1;2;2;0;0;6;6;0;1;0;1
;;10;Boersma, A.;65;1;2;1;4;1;6;5;1;3;2;7;0;0;0;0;0;0;1;1;0;0;3;3;1;1;4;2;2;1;2;1;0;4;0;1;1;1;1;0;0;2
;;11;Groen-Tamminga, D.;87;3;0;3;1;3;6;4;0;4;7;2;2;0;0;3;1;0;7;0;0;4;5;0;2;3;0;2;1;3;0;0;0;5;2;0;5;7;1;1;0;0
;;12;van der Kroef, J.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Meijerman, H.A.;16;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2;1;0;0;0;3;0;0;1;0;0;2;0;0
;;14;Mulder, L.;13;0;0;0;0;0;0;0;0;0;0;1;0;0;1;8;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Boer, D.C.;22;5;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;2;0;1;0;0;0;0;2;0;0;2;0;0;0;0
;;16;Burggraaff-Schipstra, T.;20;2;1;0;1;0;0;0;0;0;0;0;0;1;0;4;3;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;0;0;1;0;0;0;0;0
;;17;de Jong-Blonk, A.J.H.M.;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Jong, C.F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;19;Hobert, L.J.M.;19;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;1;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0
;;20;Kaper, A.H.;26;4;0;0;0;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;3;0;2;0;3;0;1;0;1
4;Partij van de Arbeid (P.v.d.A.);;;2839;136;108;61;80;74;135;147;69;93;87;73;61;53;11;102;48;93;67;13;22;20;72;111;52;48;67;65;100;57;21;55;91;123;20;44;95;137;22;26;28;52
;;1;Pieters, A.M.;1231;53;60;17;30;40;63;55;29;48;46;31;22;26;4;30;18;42;33;6;10;8;28;43;24;11;30;32;48;33;7;24;44;56;11;24;45;52;10;10;11;17
;;2;Mulder, B.D.;666;38;19;15;17;13;39;46;13;16;17;19;16;8;2;22;12;14;17;2;5;6;18;36;12;6;19;21;20;8;5;14;24;23;4;13;24;39;5;6;5;8
;;3;Al-Daraaj, Z.W.A.;359;19;10;13;14;5;13;15;16;10;10;13;7;2;4;3;4;16;13;2;2;2;12;9;4;27;8;3;12;3;1;4;14;15;0;2;10;19;5;4;3;11
;;4;Noordhoff, W.R.M.;19;1;2;0;0;0;1;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;0;2;0;0;0;2
;;5;Broers, M.;67;2;5;3;3;1;5;2;1;1;2;1;0;0;0;1;0;1;1;0;0;0;4;1;1;0;0;0;6;2;0;5;5;5;0;0;3;4;0;1;0;1
