Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Grand Salon Plein 7;Zorgcentrum 't Oude Landt;De Willemshoeve;Tennisvereniging VEP;Jan de Bakkerschool;Islamitisch Cultureel Centrum Woerden;Brediushonk;Thijs van der Polshal;Rehobothkerk Woerden;Kruiskerk;Sporthal Bulwijk;Johan Frisoschool;Maranathakerk;KBS de Franciscus;Gemeentehuis;Het Baken;Gymzaal Margrietschool;De Regenboogschool;Dorpshuis Harmelen;'Het Trefpunt', Centrum NH Kerk;MFC Dezibel;Recreatiecentrum H2O (zwembad);MFC Milandhof;RK Parochiecentrum De Kanis;MFC De Schulenburch;Grand Salon Plein 7 (maandag);Grand Salon Plein 7 (dinsdag);Gemeentehuis (maandag);Gemeentehuis (dinsdag);Sporthal Bulwijk (maandag);Sporthal Bulwijk (dinsdag);'Het Trefpunt', Centrum NH Kerk (maandag);'Het Trefpunt', Centrum NH Kerk (dinsdag);Het Baken (maandag);Het Baken (dinsdag);MFC De Schulenburch (maandag);MFC De Schulenburch (dinsdag);MFC Milandhof (maandag);MFC Milandhof (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
Postcode;;;;;3441 BG;3443 AH;3445 AS;3445 TH;3442 XH;3442 JE;3443 BG;3443 CT;3443 BZ;3443 CD;3448 CH;3448 DX;3448 DC;3448 TH;3447 GR;3446 GS;3446 BT;3446 JG;3481 GH;3481 XA;3481 VC;3481 WE;3474 KC;3471 GT;3471 EJ;3441 BG;3441 BG;3447 GR;3447 GR;3448 CH;3448 CH;3481 XA;3481 XA;3446 GS;3446 GS;3471 EJ;3471 EJ;3474 KC;3474 KC
;;3;Bos, F.J.D.;172;18;6;6;2;4;9;5;10;0;8;2;3;4;5;7;9;16;8;5;5;3;3;2;0;7;1;7;1;3;0;0;1;1;1;5;2;3;0;0
;;4;Tuit, J.H.;55;1;3;0;0;1;0;1;0;0;1;0;0;1;0;1;2;0;4;2;0;0;0;0;2;25;0;2;0;0;0;0;0;0;1;2;0;6;0;0
;;5;Stins, I.;69;4;2;3;2;4;0;2;3;0;1;4;3;2;4;1;3;6;8;1;0;1;4;1;1;3;1;0;3;0;0;0;0;0;0;1;0;1;0;0
;;6;Tuit, M.;75;5;1;7;0;3;1;3;0;1;6;0;0;4;2;0;5;4;9;2;0;1;1;1;3;5;0;4;1;0;0;1;0;0;1;2;0;2;0;0
;;7;Slager, S.;65;2;10;0;1;3;3;0;1;1;2;0;4;1;1;1;10;10;0;1;0;0;0;1;1;2;3;2;1;0;0;1;0;0;0;1;0;2;0;0
;;8;Kuppens, G.;9;0;0;1;0;1;0;0;0;0;0;0;2;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;9;Mulder, C.H.;154;3;0;1;0;0;0;0;0;0;0;0;2;1;6;0;3;2;2;40;21;27;18;3;1;0;0;1;2;0;0;1;9;11;0;0;0;0;0;0
;;10;Huisman, J.J.A.;13;1;2;1;0;0;0;0;0;0;0;1;0;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;11;van Dobben, A.Q.;29;1;0;3;0;0;0;2;0;0;0;0;0;0;3;0;1;1;1;1;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;1;7;1
;;12;Vlok, M.D.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Hanekroot, S.R.;26;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;4;6;3;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
;;14;Wesseling, J.M.A.;31;1;0;1;0;1;0;2;3;0;0;0;2;2;5;0;1;5;4;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0
;;15;van den Berg, A.A.O.;13;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;4;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Baars, N.;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Methorst, R.P.;4;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Zwinkels, B.A.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0
;;19;van Veen, N.;24;3;1;0;0;1;1;0;3;0;0;2;0;4;0;0;1;1;2;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;20;van Buuren, J.;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Hameren, S.;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Rooij, A.M.;9;0;0;0;0;0;1;0;3;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Konings, J.A.J.;15;0;1;1;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0
3;Progressief Woerden (PvdA/GROENLINKS);;;3266;216;60;191;122;113;91;122;98;47;98;94;145;165;128;74;118;134;131;104;70;73;37;29;40;121;82;89;30;46;40;69;32;39;50;97;19;30;9;13
;;1;Franken, J.G.;1606;81;27;111;63;49;42;71;41;25;45;47;70;90;63;40;62;64;74;38;29;29;10;17;23;63;40;44;17;23;27;32;10;9;37;47;9;22;7;8
;;2;Vierstra, J.J.;383;35;12;22;15;18;11;10;13;7;11;16;18;21;20;9;9;17;16;5;1;6;2;3;3;13;13;12;5;3;4;12;2;2;0;10;2;4;1;0
;;3;Boersma, M.B.Y.;268;11;4;12;6;4;2;2;2;2;4;0;5;7;8;1;5;7;5;39;23;27;18;3;6;16;2;2;2;4;1;1;14;17;0;2;0;2;1;1
;;4;Doorewaard, M.A.T.;232;29;5;7;10;14;9;11;12;2;8;5;15;13;8;4;8;12;4;6;0;0;2;1;4;8;5;8;0;4;1;5;0;5;2;5;0;0;0;0
;;5;Biber, L.G.;99;10;0;2;2;3;4;1;4;1;4;6;3;2;5;2;11;7;0;2;0;1;1;1;0;4;4;5;0;3;0;1;2;1;4;3;0;0;0;0
;;6;IJpma, J.;106;5;6;4;6;6;1;3;12;1;7;4;6;8;4;4;2;4;2;2;0;0;0;3;0;1;2;1;0;0;1;2;0;0;0;5;3;0;0;1
;;7;van Elzakker, F.L.A.;22;2;0;1;0;2;0;1;0;0;1;0;3;1;0;0;2;1;2;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;0;0
;;8;van Winden, J.F.;123;15;3;6;2;1;4;6;1;1;3;3;8;5;5;7;5;5;8;1;0;2;1;1;1;1;5;4;1;3;0;5;1;2;0;5;2;0;0;0
;;9;Smit, K.I.;53;3;0;3;1;2;0;3;1;0;3;0;0;1;1;0;0;1;5;5;8;3;3;0;2;0;0;3;0;0;0;0;0;2;0;1;0;2;0;0
;;10;Hendrikson, P.D.A.;14;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;2;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0
