Verkiezing;;Gemeenteraad Amersfoort 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Amersfoort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Brink;Sporthal De Dissel;Sporthal De Dissel;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Gemeentehuis;De Observant;Sporthal Icoon;Sporthal Icoon;ABC-school De Bron;Adventkerk;Apostolisch Genootschap;Boogkerk;Burgemeester Molendijkflat;Café De Plank;De Faam;De Schaapskooi;Feefa;Fluor poppodium;Gymzaal Ariaweg;Gymzaal Dopheide;Gymzaal Dopheide;Gymzaal Lyceum De Amersfoortse Berg;Gymzaal Lyceum De Amersfoortse Berg;IKEA Drive-In;Kerkgebouw Het Brandpunt;Kindcentrum Vlinderslag;Martuskerk;Nieuw-Apostolische Kerk;Orthodoxe Parochie;Overseldert;Parkschool;Mobiel Stembureau Het Pluspunt;Prins Willem III-flat;Schoolgebouw de Baander;Schoolgebouw De Dubbelster;Schoolgebouw De Gondelier;Kindcentrum de Kei;Schoolgebouw De Zonnewijzer;Schoolgebouw GSG Guido vmbo;Schoolgebouw GSG Guido vmbo;Seniorenflat Otto Scheltus;Sociëteitsruimte Seniorenflat;Sporthal Rustenburg;Sporthal Rustenburg;Sporthal Zielhorst;Sporthal Zielhorst;Sint Ansfriduskerk;Undineflat;Verenigingsgebouw Juliana en Bernhard;A.K.V. Trefpunt Bokkeduinen;Westerkerk;Wijkcentrum Het Klokhuis;Zon en Schild;Woon- en zorgcentrum De Koperhorst;Houtrust;Restaurant de Hebberd;Schoolgebouw De Malelande;De Eemgaarde;Meander Medisch Centrum;Emmauskerk;Emmauskerk;Theater De Flint (Cultuurhuis);Station NS Hoofdingang;Da Vinci Eemland;bijgebouw Mevlana moskee;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Mobiel stembureau 1;Mobiel stembureau 2;Mobiel stembureau 3
;;1;Bol, H.W.I.;2910;34;62;52;6;3;45;45;24;18;20;13;13;42;22;18;20;38;41;17;12;11;17;15;14;24;21;20;11;2;12;36;28;9;3;14;10;37;22;16;74;50;11;66;31;17;6;19;35;31;10;7;5;37;22;36;13;24;20;36;18;42;12;32;26;6;35;31;23;13;43;11;16;22;8;17;16;23;1;34;97;6;53;10;10;19;25;4;23;7;14;11;1;6;15;16;21;16;14;11;10;17;11;7;13;13;15;5;6;5;22;17;8;5;12;8;8;18;50;29;6;28;29;19;14;13;12;38;14;31;19;9;14;38;33;9;11;13;7;23;10;12;4
;;2;Mulder-van Maanen, A.J.;1742;31;36;26;7;3;21;28;17;7;21;7;8;19;7;5;13;33;31;6;4;7;15;13;12;9;16;7;4;7;10;25;20;6;8;11;12;29;8;4;33;18;8;33;10;6;8;7;34;17;8;3;0;37;10;30;8;9;5;22;21;23;10;27;32;7;16;23;8;5;13;1;4;7;5;24;13;6;1;20;58;6;12;1;7;21;7;10;20;21;14;15;9;5;6;9;7;5;9;6;3;12;5;5;5;8;6;4;2;10;12;10;4;2;7;3;4;12;16;13;10;10;7;17;18;15;16;8;6;11;13;6;7;17;12;2;4;15;9;11;2;1;9
;;3;Koning, G.M.;241;1;4;1;0;1;3;2;1;1;2;2;1;1;2;5;5;3;3;0;1;3;3;0;3;2;1;4;1;1;0;7;3;1;1;1;1;1;0;0;26;2;1;7;0;0;0;1;0;3;1;0;0;4;4;2;0;1;1;1;1;5;1;5;5;0;1;1;0;1;3;1;0;0;1;1;1;1;0;2;3;0;5;0;0;14;1;1;0;3;2;3;0;1;0;0;1;0;1;1;0;2;1;0;1;1;0;2;0;1;5;5;0;1;2;0;1;0;3;0;0;1;0;1;1;0;1;3;1;0;3;0;0;4;7;0;0;0;0;1;1;0;0
;;4;Eilander, J.S.;260;0;0;0;0;1;2;3;2;0;0;0;0;1;2;1;1;18;12;14;7;8;0;0;1;2;0;1;1;1;0;20;17;0;0;4;9;10;0;0;5;0;0;3;0;0;2;1;0;1;0;0;2;2;0;0;0;0;3;3;2;1;0;0;11;0;1;0;0;0;2;0;1;0;0;1;1;0;0;0;3;0;1;8;7;2;0;0;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;4;1;1;2;0;0;0;0;3;3;0;1;0;1;0;0;2;0;0;0;0;1;0;8;8;0;2;1;1;2;0;2;7;0;0;0
;;5;van Wendel de Joode, A.A.;357;2;7;6;6;1;5;6;6;1;8;5;5;8;1;3;2;7;6;1;1;2;3;3;2;2;2;2;2;1;3;4;3;3;2;2;1;4;1;0;11;2;3;8;3;2;3;2;4;5;1;1;0;4;2;5;4;1;0;3;0;5;0;3;7;0;1;10;2;0;9;0;1;0;0;3;3;0;0;1;10;1;8;0;1;4;3;0;1;2;7;6;3;2;1;1;1;3;0;0;0;4;1;0;1;0;0;1;2;0;2;2;1;0;0;0;0;2;4;4;1;0;2;0;3;0;1;3;0;2;4;1;5;5;6;0;0;2;2;2;0;1;1
;;6;Polinder, R.G.;119;2;8;0;0;0;1;1;1;0;2;4;1;1;1;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;2;1;5;0;3;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;8;0;0;0;0;2;1;0;1;0;0;0;1;3;0;2;0;0;0;0;3;0;0;2;1;8;0;3;2;0;1;4;0;0;0;0;0;0;2;0;1;4;1;0;0;0;0;2;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;3;0;0;0;0;1;0;2;2;0;0;1;2;1;0;2;0;0;1;0;0;0;0;0
;;7;Dijksterhuis, G.A.;95;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;4;9;4;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;1;0;2;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;2;0;0;4;2;0;1;0;0;2;0;2;2;2;0;0;0;0;1;0;0;0;0;0;0;0;1;3;0;2;1;0;0;0;4;1;0;1;0
;;8;Miedema, O.S.W.;72;0;1;2;0;1;2;3;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;2;0;0;0;1;0;0;1;0;2;0;0;0;3;2;0;1;2;0;5;0;0;0;2;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;6;2;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
;;9;Mebrahtu, H.;80;1;3;2;0;0;0;0;0;0;1;1;0;2;0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;3;0;1;0;1;0;0;0;3;1;1;0;0;3;0;2;0;1;0;0;0;0;1;2;0;0;0;3;1;4;0;0;0;0;0;0;1;3;5;0;1;0;4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;8;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;10;Boevink, E.J.M.;214;4;0;7;0;0;3;6;4;0;4;1;2;1;1;1;3;4;0;1;0;1;2;0;2;4;1;3;1;0;0;1;2;0;1;1;0;0;0;0;5;3;0;8;4;1;0;2;3;3;0;1;0;0;0;2;0;0;2;6;0;5;3;2;0;0;8;11;3;2;2;0;2;0;0;0;2;1;0;2;11;0;3;0;0;1;8;2;4;1;4;1;0;0;0;5;1;1;2;1;0;0;0;0;0;1;0;3;0;1;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;3;1;1;2;0;0;1;4;0;0;0;0;0
;;11;de Heer, C.;125;3;4;0;0;0;1;2;2;6;1;0;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;5;0;1;4;0;0;0;0;3;2;0;3;0;1;1;1;0;0;1;3;1;0;0;0;6;0;0;1;0;1;1;5;1;0;5;2;0;2;0;0;0;1;0;0;0;0;0;1;1;0;2;2;0;1;3;2;1;1;0;2;0;0;0;0;0;0;0;0;0;3;0;2;6;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;1;0;0;2;0;1;0;1;2;0;1;0;1;1;0;0;0;2;0;1;1;1;2;0;0;0
;;12;van Maanen, A.N.;93;1;4;3;0;0;1;2;2;1;1;3;0;0;1;0;3;1;0;0;1;2;1;0;1;3;1;1;0;0;4;0;1;1;0;0;1;2;1;0;1;2;1;1;4;1;0;0;1;0;1;0;0;2;3;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0;3;2;0;0;2;0;1;0;0;1;3;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;;13;Bouman, C.;13;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;14;van den Berg, G.;25;0;1;2;2;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Slagboom, A.;110;1;0;2;1;0;4;3;0;1;0;0;2;4;0;0;2;5;1;1;1;1;0;0;0;1;1;0;1;4;0;1;2;1;0;1;0;2;0;5;1;0;2;2;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;2;1;1;0;0;0;0;1;3;1;2;1;0;0;2;2;2;0;0;1;0;3;0;2;0;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;4;0;0;1;2;1;2;1;2;0;0;0;0;0;0;0;0
;;16;Zijlstra, A.;31;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hunink, J.H.;92;1;5;2;0;2;0;2;3;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;4;0;0;0;0;2;1;0;0;0;3;0;2;0;0;0;1;0;1;3;2;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;2;0;6;0;0;0;1;0;0;6;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0
;;18;Valk, H.J.;24;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kemperman-Córdova Quicaño, S.A.;50;0;0;0;0;2;0;3;1;4;0;0;0;1;3;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;3;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;6;0;0;0;0;1;0;1;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;20;Drost, G.J.;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;21;van der Schee, J.M.;71;0;3;0;4;0;2;2;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;3;0;5;2;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;3;0;0;0;1;0;2;0;0;1;0;0;0;0;0;3;1;0;1;0;0;0;0;0;3;4;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;22;van der Graaf, M.W.;12;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;de Groot, G.J.;12;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Oordt-Jonckheere, S.;77;0;0;4;0;0;4;0;1;0;2;0;0;1;2;0;1;0;1;0;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;4;0;0;0;1;0;0;2;0;0;2;0;0;0;2;1;1;2;1;1;0;3;0;0;1;0;3;2;1;0;0;0;3;0;0;3;0;0;0;0;2;0;0;0;2;0;3;0;0;1;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
;;25;Gerkema, F.;55;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;3;1;0;0;0;1;3;0;0;0;3;0;1;0;1;4;0;1;0;0;0;2;0;0;0;0;0;0;1;0;2;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;3;1;1;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Stoep, J.;22;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;27;Hogendoorn, M.J.;18;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Segers, G.M.;372;4;5;7;2;1;13;4;4;7;2;4;2;6;4;3;3;8;5;3;2;3;2;1;2;8;7;2;3;2;2;6;7;2;0;4;7;4;1;4;5;3;2;7;2;5;2;1;3;0;1;2;0;9;3;5;1;0;0;3;6;5;0;5;3;2;2;1;1;2;0;1;0;3;1;2;4;0;0;4;11;1;7;2;4;2;0;1;2;2;1;2;1;0;1;2;1;4;0;1;1;0;1;0;1;0;1;1;0;2;1;3;0;0;0;1;1;0;8;6;0;1;2;0;1;4;3;3;0;7;3;0;3;2;6;2;0;4;1;3;1;0;2
6;Amersfoort2014;;;6426;131;104;112;27;12;65;79;49;25;73;52;41;66;97;87;88;76;83;17;28;30;34;48;50;48;51;42;40;13;41;32;46;22;26;36;31;67;35;41;93;78;50;219;27;11;36;21;93;71;31;33;11;128;59;63;37;75;33;67;73;56;57;105;111;15;37;95;62;32;54;23;36;38;27;75;35;32;13;59;121;13;43;21;42;46;44;22;69;62;56;77;22;11;41;52;37;23;21;19;23;28;22;16;22;47;52;22;17;23;20;41;11;9;21;10;12;51;77;36;37;53;17;35;24;22;33;41;60;63;33;20;42;43;51;11;21;34;18;29;3;4;14
;;1;Fousert, M.W.;2982;70;40;55;10;8;29;39;28;13;34;27;19;28;38;42;37;38;44;9;17;9;13;18;22;18;20;15;23;7;24;16;23;11;16;16;12;28;22;18;45;45;15;86;15;4;22;11;38;34;15;16;6;50;21;39;20;38;14;34;27;28;20;41;30;8;11;38;32;17;32;11;21;16;14;34;16;17;6;33;65;10;25;11;22;16;18;9;31;31;25;38;18;6;23;26;21;12;13;8;14;15;11;4;6;17;21;11;7;10;8;17;6;7;10;5;6;29;25;21;17;29;7;19;11;6;22;20;26;24;10;7;20;21;25;4;10;22;10;12;0;3;3
;;2;Koet-Minis, E.M.H.;1341;24;16;28;5;2;16;17;7;4;12;14;17;17;14;9;16;19;17;2;3;5;7;14;11;11;9;7;8;2;9;2;7;4;5;11;7;21;9;13;17;20;11;36;5;2;6;7;19;10;9;10;2;25;17;16;8;17;6;15;19;13;6;32;21;4;10;34;13;9;14;5;7;6;8;19;7;7;2;11;25;3;9;3;6;10;2;3;14;17;10;14;3;2;6;9;11;6;4;3;3;8;3;2;8;7;6;6;5;7;7;10;0;1;4;2;2;14;16;7;5;15;3;6;5;10;6;8;7;5;8;4;8;11;13;2;3;3;2;11;0;0;2
;;3;van der Eerden, T.J.M.;196;0;19;2;1;0;1;3;1;1;4;0;0;7;0;0;0;0;1;0;1;0;0;0;1;1;2;0;0;0;0;1;0;0;1;1;1;0;0;1;2;1;1;3;0;0;1;0;2;1;0;2;0;4;1;1;2;3;0;0;0;1;21;3;2;0;1;0;1;1;2;0;3;2;0;1;1;1;0;0;5;0;1;1;0;2;2;0;3;1;3;0;0;0;1;11;1;0;0;0;1;0;0;2;2;1;0;1;0;0;0;1;0;0;1;1;2;0;18;1;2;2;1;1;1;0;0;7;0;0;1;0;2;0;1;0;0;0;1;1;0;0;0
;;4;Gerritsjans, J.M.J.M.;135;0;0;2;1;0;1;2;2;0;1;0;0;0;3;3;2;1;0;1;2;0;0;1;3;0;2;1;0;0;0;1;0;1;0;1;1;4;0;0;3;1;0;3;0;0;1;1;8;7;0;0;2;7;4;0;0;0;0;1;4;0;0;10;1;0;5;0;0;2;1;0;1;0;1;0;1;1;2;1;0;0;1;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;3;1;0;0;2;0;4;0;0;1;0;0;0;2;0;1;0;1;0;1
;;5;Bruijnes, C.;79;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;39;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;1;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0
;;6;Lorijn, M. A. F.;181;0;4;2;2;0;0;0;0;0;4;1;0;3;4;1;3;1;4;0;1;5;3;0;0;2;1;2;2;0;1;1;1;1;0;0;0;3;0;0;2;1;3;7;0;1;0;0;4;4;1;1;0;4;3;0;1;1;2;2;6;2;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;5;0;1;1;1;4;2;1;0;0;1;2;0;0;7;2;0;0;2;4;2;2;1;2;1;1;2;0;0;1;1;2;2;0;1;0;0;0;6;2;2;2;0;1;2;0;0;0;1;1;1;0;0;0;1;0;0;2;2;1;1;0;0
;;7;Varwijk, M.;605;13;17;13;5;0;10;5;6;2;11;4;4;8;2;4;3;5;4;1;1;5;4;6;9;6;7;4;5;4;4;4;6;2;1;5;6;5;3;7;5;5;5;12;2;0;5;0;15;9;3;0;1;16;5;3;2;9;4;9;11;6;1;10;6;1;4;13;12;1;3;4;2;4;0;8;4;1;2;11;8;0;1;2;1;8;14;2;11;6;9;13;0;1;1;3;3;3;2;1;1;1;2;1;1;2;2;1;0;2;2;2;0;0;2;0;1;4;3;2;4;1;2;3;2;1;3;2;1;1;5;1;7;4;6;4;3;2;1;4;0;0;5
;;8;de Leeuw, K.;112;0;1;0;0;0;0;0;0;1;0;0;1;0;12;6;8;0;1;1;0;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;26;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;1;0;0;2;0;0;0;0;0;0;0;1
