Verkiezing;;Gemeenteraad Beverwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beverwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Buurthuis Wijk aan Duin;Kennemer Theater;Immanuelkerk;Brandweerkazerne Beverwijk-Oost;Gymzaal de Dreef;OBS het Kompas;Beverwijkse Harmonie Kapel;Fysiotherapie Europa;Speeltuin Jeugd en Vreugd;TTV Rapidity;Nieuw Akerendam;Gymzaal Kuikensweg;Sporthal Waterwijk;Sporthal Waterwijk;De Moriaan;Stadhuis Bijzonder Stembureau;Vredevorstkerk;Mobiel Stembureau
;;2;Witte, H.A.M.;117;14;3;4;4;5;0;5;1;9;4;7;10;8;3;7;0;4;1;4;3;4;0;3;5;9;0
;;3;van der Eng, K.;55;3;0;0;0;3;1;1;0;3;7;3;2;0;2;0;3;0;8;1;2;9;0;1;1;5;0
;;4;Vierstraete, S.P.A.P.G.N.;30;2;2;0;0;1;0;0;0;4;1;0;2;4;1;1;0;0;0;3;3;2;0;1;3;0;0
;;5;Limmen, A.P.M.;137;12;4;5;0;12;3;7;0;10;18;4;12;3;8;5;0;0;2;1;6;16;3;0;1;5;0
;;6;Waijers, R.S.A.;156;4;4;3;0;13;5;1;0;10;11;1;13;8;3;7;4;5;11;2;8;21;13;2;4;3;0
;;7;van Rijswijk-Eelman, I.I.A.;78;3;0;1;8;1;2;3;8;1;10;3;6;4;0;0;0;0;2;0;0;2;0;23;0;1;0
;;8;Taskin, V.;123;2;2;3;0;5;1;5;1;2;0;9;10;8;3;7;5;7;5;5;10;9;4;2;4;14;0
;;9;Boele, J.L.;26;3;1;0;0;1;1;0;1;1;3;0;2;1;4;0;0;0;3;0;0;1;1;0;2;1;0
;;10;de Vries, T.W.;14;0;0;1;0;0;1;3;0;0;1;1;0;2;0;1;0;0;0;0;2;0;0;0;1;1;0
;;11;Verkooijen, D.A.;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0
;;12;Bakker-Criens, E.A.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;13;Bakker, W.B.;13;0;0;0;0;1;0;2;0;0;2;0;0;0;1;0;0;1;0;3;1;0;0;1;0;1;0
;;14;Koster, F.H.J.;55;1;0;2;2;1;0;1;1;0;3;3;4;5;1;3;1;2;9;7;0;0;1;2;2;4;0
8;Democraten Beverwijk;;;443;10;9;19;5;9;17;22;19;14;27;7;28;22;19;22;8;3;13;11;36;47;17;32;4;22;1
;;1;Hazeveld, K.L.M.;173;5;4;5;1;4;3;12;2;9;16;3;11;7;8;10;4;0;3;8;13;20;7;4;2;11;1
;;2;Fiseler, K.;53;0;0;6;0;1;1;2;1;3;2;2;6;3;2;3;1;0;2;1;8;1;1;1;1;5;0
;;3;Lubbers, J.F.;56;2;1;2;0;0;1;0;1;1;4;2;0;7;2;2;2;3;2;2;6;8;5;1;0;2;0
;;4;Hes, C.G.A.;23;0;1;0;0;0;3;0;0;0;0;0;4;1;4;2;0;0;1;0;0;4;0;1;0;2;0
;;5;van de Ven, M.;45;0;3;2;0;2;6;1;0;1;2;0;4;1;0;3;1;0;3;0;4;8;4;0;0;0;0
