Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bethelkerk;Bethelkerk;Buurthuis Centrum;School 7 Bibliotheek;De Jutter;Buurthuis de Viskom;Odensehuis;Buurtvereniging 't Kraaiennest;Triade;Hortus Overzee;Brede school de Poolster;Buurtvereniging Elto;Dorpshuis Huisduinen;ATV Texelstroom;M.F.C. 't Wijkhuis;'t Tuselantschool;Winnubst;M.F.C. de Boerderij;M.F.C. de Boerderij;Baptistenkerk Het Lichtbaken;Sporthal de Brug;Sporthal de Brug;RK Willibrordkerk;Gymzaal Vogelzand;Gymzaal Vogelzand;RK Basisschool De Hofstee;RK Basisschool De Hofstee;De Verbinding;De Verbinding;De Vredeskerk;De Vredeskerk;De Vredeskerk;De Kampanje/Stadshal;De Kampanje/Stadshal;De Kampanje/Stadshal;De Draaikolk;De Draaikolk;De Draaikolk;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;De Albatros
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
Postcode;;;;;1781 KA;1782 KA;1781 LC;1781 BB;1781 CC;1781 TR;1781 WS;1782 XA;1782 BG;1782 SM;1782 JD;1782 AS;1789 AH;1784 EA;1784 EA;1783 GK;1783 HX;1785 JP;1785 JP;1785 SB;1785 BC;1785 BC;1786 AC;1788 MJ;1788 MJ;1788 VA;1788 VA;1788 WS;1788 WS;1785 BA;1785 BA;1785 BA;1781 AS;1781 AS;1781 AS;1784 BJ;1784 BJ;1784 BJ;1788 ES;1788 ES;1788 ES;1781 ZZ
3;VVD;;;2074;42;34;19;50;16;29;43;41;57;120;27;23;80;34;61;51;55;24;17;35;29;39;83;82;54;55;41;66;89;49;69;82;19;40;22;58;55;38;61;90;84;11
;;1;Bais, P.T.;990;20;12;13;22;7;19;15;15;27;33;11;10;23;17;31;23;28;12;10;18;10;16;34;43;31;33;23;44;61;24;38;43;8;14;6;19;24;19;42;51;38;3
;;2;Visser, J.K.;169;1;1;0;3;3;3;3;4;4;6;4;1;9;1;7;2;7;4;0;1;3;2;5;13;2;8;7;9;6;6;8;9;3;4;0;4;3;0;2;8;3;0
;;3;Weerstand-Slot, H.;239;4;3;1;3;1;1;1;6;17;36;7;2;22;5;2;10;6;2;2;1;5;7;4;3;6;3;1;3;3;8;9;4;4;9;2;6;10;4;6;5;2;3
;;4;Bruin, R.N.;224;4;11;2;18;0;1;6;9;4;23;2;2;22;5;7;9;3;1;1;1;2;7;1;7;2;1;3;0;5;1;1;3;4;8;5;14;3;10;4;3;6;3
;;5;Jellema, C.M.;55;2;0;0;1;0;1;0;2;0;4;0;0;0;1;3;1;1;1;1;2;1;0;2;1;5;3;2;2;3;2;3;3;0;0;4;0;2;0;0;0;1;1
;;6;Dasbach, E.J.;39;2;0;0;0;0;0;0;0;0;2;0;1;1;2;1;1;1;0;0;2;0;0;3;4;5;0;1;2;0;0;0;2;0;0;0;3;0;2;1;0;3;0
;;7;Kraak, G.;121;3;4;0;2;4;3;15;2;3;7;2;3;2;3;2;1;1;2;2;0;3;5;3;0;1;1;0;3;2;5;4;9;0;2;1;5;9;3;0;3;1;0
;;8;Versteeg, M.;28;0;1;0;1;0;1;0;0;0;2;0;1;1;0;0;1;5;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;2;1;3;3;0;0;0;1;0
;;9;de Heer, P.T.;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;2;0;0;0;2;0;0;0;0;1;0
;;10;Lode, S.;5;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Boer, M.;19;2;0;0;0;0;0;1;1;1;6;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0
;;12;van Spijker, M.K.M.;16;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;0;1;0;0;0;0;0;0;0;0
;;13;Schooljan, H.S.;31;1;0;3;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;3;3;0;1;1;0;3;0;0;0;0;0;0;1;1;0;2;3;2;0
;;14;de Vries, S.;15;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0
;;15;Torck, B.;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;4;6;7;0
;;16;Dobbe-van Tongerlo, M.E.H.;81;1;0;0;0;1;0;0;0;0;1;1;0;0;0;3;0;2;0;1;3;0;1;20;7;1;2;3;2;3;0;1;3;0;0;0;0;0;0;0;9;15;1
