Verkiezing;;Gemeenteraad Alkmaar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alkmaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Waag;Stembureau Kapelkerk;Stembureau Doopsgezinde Gemeente;Stembureau Tent Parkeerterrein AH XL;Stembureau Kantine Sporthal Oosterhout;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Buurthuis Overdie Ontmoet;Stembureau Wijkcentrum Oud Overdie;Stembureau Murmellius Gymnasium;Stembureau Tent Labotheek NWZ;Stembureau Tent Stationsplein NS;Stembureau Sociëteit K.B.O.;Stembureau Drafcentrum Alkmaar;Stembureau De Vrijheidskerk;Stembureau Gymzaal G. Metsulaan;Stembureau De Open Hof;Stembureau De Alkenhorst;Stembureau Gasfabriek;Stembureau Gymzaal Beethovensingel;Stembureau Buurthuis de Wachter;Stembureau Tent Vroonermeer (1);Stembureau Tent Vroonermeer (2);Stembureau Speeltuin OKB;Stembureau Wijkcentrum De Oever (1);Stembureau Wijkcentrum De Oever (2);Stembureau Gymzaal Stempelmakerstraat;Stembureau Leger des Heils;Stembureau De Rekere 2.0;Stembureau Scouting Graaf Daron;Stembureau Wijkcentrum Wijkwaard;Stembureau Lukaskerk;Stembureau Sporthal Alkmaar Noord (1);Stembureau Sporthal Alkmaar Noord (2);Stembureau de Blije Mare (1);Stembureau De Blije Mare (2);Stembureau Gymzaal De Vlieger (1);Stembureau Gymzaal De Vlieger (2);Stembureau Clubhuis Celeritas;Stembureau Wijkcentrum Daalmeer;Stembureau Tent Basketbalveld;Stembureau De Hofstaete;Stembureau Gymzaal Saturnusstraat (1);Stembureau Gymzaal Saturnusstraat (2);Stembureau V.V. Kolping Boys;Stembureau De Rietschoot;Stembureau Brandweerkazerne Koedijk;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis De Hoeksteen;Stembureau De Woeste Hoeve;Stembureau 't Wavertje;Stembureau Cafe 't Torenerf;Stembureau Het Rijperhuis;Stembureau Sporthal Oosterven;Stembureau Dorpshuis Onder de Boom;Stembureau SV West-Graftdijk;Stembureau 't Trefpunt;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Mobiel Bijzonder stembureau (1);Stembureau Mobiel Bijzonder stembureau (2)
;;14;Dinkgreve, K.R.A.;27;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0
;;15;Naber, S.F.;72;13;0;1;0;4;0;8;2;0;0;0;8;1;2;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Vethman, S.J.;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;17;Heek, J.J.;19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;18;Heg, R.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Roobol, L.P.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;11;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Denneman, G.H.;6;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Buis, B.;30;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;2;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;22;Wilshaus, D.F.B.;7;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Verkerk, D.;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;5;6;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
;;24;Babaoglu, A.;17;0;1;2;0;1;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Jupijn, M.;21;2;0;1;0;0;0;1;0;0;2;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0
;;26;Nielen, C.P.M.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
;;27;Zelsmann, R.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Beers, R.N.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Koning, W.J.M.;37;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;de Vries, A.J.;5;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Gunst, J.;25;2;0;0;0;0;0;0;2;0;0;1;0;0;5;0;1;1;0;0;0;3;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;32;Heinis, N.D.;27;1;1;0;0;1;0;3;2;0;0;1;0;1;0;0;0;5;5;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;de Bruijn, P.;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;34;Tanger, H.J.F.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;35;Tiggeler, R.T.;25;3;2;0;0;1;0;1;0;0;0;1;1;2;0;0;2;1;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;36;Heerema, R.J.;52;4;1;1;1;2;1;1;3;0;0;1;2;1;2;1;1;0;0;1;0;2;1;1;4;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;2;0;0;1;0;2;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0
4;Partij van de Arbeid (P.v.d.A.);;;3917;83;30;34;41;77;23;52;54;42;22;47;47;71;52;31;89;22;13;62;14;125;35;22;16;61;60;53;45;54;63;42;82;36;12;12;51;39;27;30;21;90;26;37;35;26;23;24;35;33;34;20;35;27;147;147;64;115;24;64;44;34;31;70;28;56;25;58;51;12;12;3;56;67;39;38;35;63;24;93;47;71;39;30;11;10;59;11;2
;;1;Rubio Borrajo, D.;1116;22;8;9;16;31;8;19;16;5;8;16;21;16;18;12;17;4;5;16;4;42;17;7;5;12;13;19;18;23;24;20;27;7;6;3;23;14;8;9;5;38;5;20;13;5;8;8;13;3;11;2;7;3;6;7;6;8;3;26;17;18;9;21;4;17;7;18;21;5;4;1;2;22;13;13;8;27;6;30;17;29;15;10;3;2;2;9;1
;;2;Kerssens, C.G.;937;18;10;10;12;17;10;11;12;4;5;16;9;23;11;8;35;9;1;22;3;41;8;6;6;21;17;16;10;17;19;15;25;8;4;5;17;8;5;6;11;17;12;7;12;7;5;8;12;2;5;1;6;6;8;4;3;3;5;17;11;6;13;33;11;8;8;20;15;3;0;0;2;25;13;4;9;14;11;21;11;16;14;11;4;0;2;1;0
;;3;Van Iterson Scholten, G.M.;191;7;1;1;5;1;0;0;4;1;0;3;4;2;2;1;5;1;0;2;1;9;0;0;1;4;0;2;5;2;2;3;3;3;0;1;5;5;10;11;1;10;4;0;1;0;3;2;2;0;0;0;0;0;1;1;1;0;0;1;2;2;2;1;4;3;0;6;5;1;0;0;0;3;2;1;1;3;0;2;8;7;2;0;2;0;0;0;0
;;4;De Boer, M.;656;0;0;0;0;0;0;0;0;2;0;1;1;1;0;1;2;0;0;0;4;2;3;0;0;0;0;1;0;0;0;0;0;2;0;1;1;2;0;0;0;2;1;0;2;2;0;1;0;22;15;1;20;13;127;132;50;103;15;0;0;0;0;0;0;0;0;2;1;0;0;2;51;1;0;4;1;1;0;1;0;4;0;0;0;4;54;0;0
;;5;Wijnkoop, M.E.;190;12;2;4;2;4;0;1;1;1;1;2;6;4;2;4;12;1;0;4;0;8;0;1;0;3;3;2;5;1;3;1;2;2;0;0;1;1;1;1;2;2;1;3;1;1;0;1;1;0;1;0;1;3;1;3;1;0;0;5;1;2;1;4;4;5;1;6;3;3;3;0;0;5;3;1;4;8;1;2;1;3;2;2;0;0;0;0;0
;;6;Nabih, M.;333;8;5;1;0;10;1;8;13;21;4;0;0;12;5;1;7;1;4;11;0;8;3;6;1;9;24;12;0;8;6;1;9;2;1;1;2;3;2;3;0;11;1;2;6;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;1;5;10;3;1;2;0;0;0;0;2;1;7;4;5;4;24;4;2;3;0;0;1;1;0;0
;;7;Polder, L.;118;7;1;6;2;2;0;2;1;1;1;6;1;2;6;2;6;3;1;1;0;2;1;1;1;3;0;0;2;0;2;0;3;1;1;0;0;0;0;0;1;4;1;0;0;2;1;2;1;2;0;0;0;1;0;0;2;1;0;5;2;2;0;3;0;1;1;1;0;0;0;0;0;5;2;2;3;1;0;3;1;0;0;0;0;0;0;0;0
;;8;Hewitt, C.;37;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;16;0;0;3;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
;;9;De Water, P.M.;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
;;10;Dorbeck, D.A.T.;20;0;0;0;0;0;0;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;1
;;11;Brouwer - Lakeman, S.;27;0;1;0;0;1;0;2;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
;;12;Hageman - Beldman, M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0
;;13;Jansen, J.W.G.J.;18;1;0;1;0;0;1;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
;;14;Kaaij, L.M.;22;0;0;0;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;2;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0
;;15;Koelemij, D.F.;34;3;0;0;0;0;2;1;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0
;;16;Van Rossen, M.;61;1;0;1;1;4;0;1;0;0;0;0;0;1;3;0;2;1;1;1;0;6;1;0;0;2;0;0;0;1;3;0;2;2;0;0;0;0;1;0;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;0;1;0;1;0;0;1;0;4;1;1;0;1;1;3;1;0;0;0;0;0;0
;;17;Siecker, M.C.J.;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;18;Tolsma, R.E.;19;2;1;0;0;0;0;2;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
;;19;Verbruggen, P.G.M.;104;2;1;1;2;5;0;2;0;2;1;1;2;6;3;0;3;1;0;2;2;5;1;0;0;4;0;1;1;2;1;1;4;4;0;0;1;0;0;0;0;4;0;1;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0;4;1;0;3;2;0;3;1;1;2;0;0;0;0;2;2;0;1;0;0;2;2;2;1;3;1;0;0;0;0
5;D66;;;5272;209;83;101;51;163;40;86;50;21;37;108;114;128;133;93;130;39;44;82;20;174;65;82;69;82;66;56;79;76;77;46;67;39;29;33;48;56;33;40;20;96;55;64;51;74;97;33;56;22;72;25;33;22;42;67;51;27;31;95;49;20;29;58;35;55;44;45;55;24;17;6;13;161;59;39;56;77;53;97;52;73;55;42;21;16;34;4;1
;;1;Meijnen, S.J.;3580;125;60;71;34;104;32;49;28;14;24;63;77;81;97;66;97;22;30;57;14;118;44;59;51;57;41;29;56;48;59;27;45;28;21;24;33;33;21;26;15;61;34;34;33;50;58;26;38;13;48;20;25;17;32;46;41;18;24;77;36;13;16;38;27;44;33;25;41;18;13;5;8;115;40;25;33;52;33;68;39;51;38;33;15;13;29;3;1
;;2;Smit, S.H.;193;5;2;3;2;8;1;4;2;0;2;6;7;2;3;4;2;3;2;3;0;11;1;0;1;4;4;2;4;3;2;0;3;2;2;0;4;3;2;3;1;3;2;2;2;1;5;0;1;2;1;0;2;0;3;3;1;2;2;4;3;0;1;3;0;0;1;0;0;0;0;0;2;6;4;1;4;4;2;2;3;1;1;0;2;1;3;0;0
;;3;Schouten, C.C.;142;4;1;1;0;7;1;3;0;2;2;1;1;2;2;0;1;0;0;1;0;1;5;2;1;3;12;2;0;0;1;2;2;2;0;1;0;5;0;0;0;1;1;1;7;6;6;0;2;0;7;0;1;1;0;1;1;0;0;1;0;0;1;2;0;3;1;2;2;1;2;0;0;4;1;1;3;3;2;5;1;1;1;1;0;0;0;1;0
;;4;Konijn - Vermaas, E.C.;329;12;5;3;5;13;0;4;4;2;3;7;8;7;8;6;9;3;1;4;0;12;3;5;6;6;4;3;5;4;2;2;6;3;2;2;3;3;1;3;0;8;7;8;5;5;5;2;2;2;7;3;0;1;0;5;2;1;4;1;3;3;1;4;0;6;2;5;6;2;1;0;1;11;3;0;6;4;5;6;4;5;3;1;0;0;0;0;0
;;5;van Gorp, J.E.;139;8;2;4;3;2;2;0;1;0;0;5;2;4;2;5;5;2;0;1;0;1;0;2;1;0;1;4;0;2;3;3;1;0;0;1;2;1;3;0;1;7;0;3;0;1;1;0;2;0;2;0;1;1;1;1;0;1;0;2;4;0;1;5;2;0;3;4;0;0;0;0;1;6;0;2;0;1;1;4;0;6;1;0;0;0;1;0;0
;;6;de Jong - Koopman, A.M.P.A.;224;15;3;6;3;8;2;8;7;2;0;4;4;3;9;2;3;1;3;4;0;8;3;2;3;3;1;7;5;3;2;3;2;1;1;5;0;2;0;2;0;8;2;2;3;3;5;1;1;0;3;1;1;0;2;1;1;0;0;3;0;3;4;4;2;0;0;5;1;0;0;1;0;3;4;0;3;2;3;4;0;3;4;1;0;0;0;0;0
;;7;Stevens, H.E.G.;16;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0
;;8;El Ouni, C.D.;140;12;1;2;0;6;1;4;4;0;0;3;4;11;7;4;4;2;1;2;3;8;2;0;1;2;2;3;1;1;0;2;0;1;1;0;1;0;1;0;0;1;0;2;1;1;2;0;0;2;1;0;0;0;0;3;0;2;0;0;1;0;1;0;2;0;0;1;2;0;0;0;0;4;2;3;4;4;0;1;0;0;3;0;0;0;0;0;0
;;9;Wagensveld, M.J.;68;5;0;1;0;3;0;2;2;0;1;0;1;1;0;0;1;0;0;0;1;1;0;1;2;3;1;0;1;5;1;4;0;0;1;0;0;2;2;1;1;2;0;1;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;0;0;1;0;0;0;2;2;1;3;0;1;1;0;0;1;0;0
;;10;Evers, V.;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;11;Houtkooper, B.;44;0;0;0;0;0;0;6;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;2;0;1;0;0;1;0;3;0;1;0;0;0;2;0;1;1;0;1;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;2;2;2;0;0;1;0;0;1;0;0;0;1;0;0;0
;;12;Buongiovanni, A.M.R.;77;3;3;3;0;3;1;3;1;0;2;3;1;3;0;0;2;2;1;4;0;4;3;1;0;0;0;2;2;1;0;0;1;0;1;0;0;1;1;0;0;1;2;2;0;0;4;0;0;0;1;0;0;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;1;1;2;1;0;0;0;0;0;0
;;13;Visser, S.;31;4;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;4;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0
;;14;van Wolferen, J.;5;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Leek, A.J.;15;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Schultz, D.E.;33;0;0;1;1;1;0;0;0;0;0;2;0;0;1;1;0;1;0;2;0;0;2;2;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Stralen, C.A.;31;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;5;1;1;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;4;0;0;0;0
