Verkiezing;;Gemeenteraad Aalsmeer 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aalsmeer;;;;;;;;;;;;;;;;;;;;;
Nummer;;0358;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum 't Baken;NH Wijkcentrum 't Anker;Buurthuis Hornmeer;Clubgebouw VZOD;R.K. Antoniusschool;Raadhuis Aalsmeer;Proosdijhal;Buurthuis 't Middelpunt;Sporthal De Bloemhof 1;Wellantcollege MBO Aalsmeer;Bibliotheek;Atletiek Vereniging Aalsmeer;Sporthal De Bloemhof 2;Raadhuis Aalsmeer maandag;Proosdijhal maandag;Raadhuis Aalsmeer dinsdag;Proosdijhal dinsdag;Dorpshuis Kudelstaart 't Podium;Parochiehuis
Gebiednummer;;;;;4;6;8;11;14;15;17;18;19;20;22;23;25;28;29;30;31;35;36
Postcode;;;;;1431 JA;1432 AV;1431 WC;1433 HM;1433 WB;1431 EH;1433 KA;1432 GB;1432 GH;1431 JV;1431 BD;1431 HW;1432 GH;1431 EH;1433 KA;1431 EH;1433 KA;1433 GH;1431 SG
;;6;Rolleman, H.G.;29;0;0;7;0;0;6;0;3;2;1;1;1;0;3;0;3;0;1;1
;;7;van Hest, C.E.M.;32;1;2;0;0;1;1;0;10;7;2;0;1;3;1;0;0;0;1;2
;;8;Tuning, P.;43;3;0;6;0;2;5;4;1;2;0;4;1;2;6;0;4;1;1;1
6;Partij van de Arbeid (P.v.d.A.);;;833;30;25;90;48;36;65;58;83;45;14;50;10;41;55;29;54;42;26;32
;;1;Buisma, J.H.;310;13;7;27;32;22;17;24;24;20;5;23;3;9;13;16;15;16;14;10
;;2;Eveleens -  van Andel, L.;254;7;8;30;5;3;28;16;27;12;6;15;4;12;19;10;21;13;5;13
;;3;El Hri, O.;55;2;2;3;2;3;3;0;10;6;2;2;0;10;5;0;2;2;0;1
;;4;Nederveld, S.C.;41;0;3;3;5;3;1;2;8;0;0;4;1;1;5;0;3;1;0;1
;;5;Nisters, F.A.;18;1;0;3;0;0;2;0;3;1;0;3;0;0;2;0;0;2;0;1
;;6;Buisma - Tas, L.;23;3;2;1;0;0;1;6;2;0;0;0;0;0;1;1;1;1;4;0
;;7;Kok, J.W.G.;20;0;0;2;3;1;4;1;0;2;1;1;1;0;0;0;2;2;0;0
;;8;Oosterloo-Hartsuiker, J.;35;2;2;7;0;3;3;3;1;0;0;1;0;1;3;1;5;2;1;0
;;9;Ham, A.;24;1;1;5;0;0;0;1;3;2;0;0;0;6;1;0;3;0;1;0
;;10;Eveleens, E.;28;0;0;4;0;0;5;3;3;1;0;0;0;1;2;0;2;2;1;4
;;11;Knol, C.;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Bouwman, H.J.;3;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
;;13;Jonker, T.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;14;van Klink, J.M.;17;0;0;4;1;1;1;1;1;0;0;1;1;1;2;1;0;0;0;2
