Verkiezing;;Gemeenteraad Dronten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dronten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Meerpaal;De Meerpaal;Kantine Sportvereniging Reaal;Sportzaal De Beurs;Sportzaal De Beurs;Sportzaal De Beurs;Remise brandweerkazerne;Kerkcentrum De Ark;Ontmoetingskerk;Sportzaal De Landing;Sportzaal De Landing;Clubhuis Golfresidentie;Sportzaal De Stal;Sportzaal De Stal;Kerkcentrum De Voorhof;Kerkcentrum De Voorhof;Mimar Sinan Moskee;Dorpshuis De Steiger;Dorpshuis De Steiger;Kerkcentrum De Hoeksteen;De Meerpaal open op 14-03-2022;De Meerpaal open op 15-03-2022;Kerkcentrum De Voorhof open op 14-03-2022;Kerkcentrum De Voorhof open op 15-03-2022;Dorpshuis De Steiger open op 14-03-2022;Dorpshuis De Steiger open op 15-03-2022;Gemeentewerf Drive-in open op 14-03-2022;Gemeentewerf Drive-in open op 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;8251 EX;8251 EX;8253 BA;8253 EA;8253 EA;8253 EA;8251 KP;8251 CV;8251 LD;8251 TJ;8251 TJ;8251 NS;8252 GW;8252 GW;8256 BK;8256 BK;8256 BX;8255 DM;8255 DM;8255 AA;8251 EX;8251 EX;8256 BK;8256 BK;8255 DM;8255 DM;8253 PW;8253 PW
;;7;Hollander, S.J.;44;5;3;3;9;7;4;2;0;1;0;2;3;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;1
;;8;van den Berg, M.F.;29;0;0;0;0;0;1;0;0;0;0;1;0;0;0;6;8;4;0;0;0;0;0;6;3;0;0;0;0
;;9;den Boer-Schwagermann, Y.H.;67;2;1;2;3;4;9;8;3;0;1;4;4;8;8;0;0;0;0;1;0;2;5;1;0;0;0;0;1
;;10;Graver, L.J.D.;7;0;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;11;Heemskerk, J.J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Donatz, B.J.;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Essen, P.J.;16;0;0;2;2;1;0;0;1;0;2;0;1;2;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0
;;14;Stuurop, N.X.;13;0;0;3;2;1;1;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Weers, A.M.T.;10;0;0;1;0;0;3;0;0;2;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Tiggelman, R.H.;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Sweers, J.H.;8;1;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0
6;GROENLINKS;;;1165;60;49;86;66;58;49;80;37;56;62;71;50;51;66;23;27;29;18;24;28;35;66;16;24;9;7;9;9
