Verkiezing;;Gemeenteraad Oldebroek 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oldebroek;;;;;;;;;;;;;;;;;;;;;
Nummer;;0269;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Heerdt;Luctorgebouw;Grinthuus;Pauluskerk;Kruiskerk;Sporthal Kamphal;Vredeskerk;De Brinkhof;De Bouwakker;De Zwikmeule;Erica Terpstrahal;Immanuëlkerk;Mobiel stembureau;Drive-through Gemeentewerf;Gemeentehuis maandag;Gemeentehuis dinsdag;Sporthal Kamphal maandag;Sporthal Kamphal dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;10;11;12;13;14;15;51;52;53;54;55;56
Postcode;;;;;8096 CP;8097 SE;8096 BR;8095 PX;8091 CK;8091 GA;8091 RC;8091 GR;8091 XS;8094 AM;8096 BB;8091 XA;8096 BE;8096 AX;8091 XX;8096 CP;8096 CP;8091 RC;8091 RC
;;13;van Dijk - van Hattem, A.;21;1;1;1;0;1;4;1;2;1;2;0;3;0;0;0;3;0;0;1
;;14;Koornberg, H.;16;2;6;0;0;2;0;0;0;0;1;1;0;0;3;0;0;0;1;0
;;15;Klompmaker, R.;13;3;2;2;1;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0
;;16;Berends, G.;16;1;10;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0
;;17;Flier, B.;12;1;4;3;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0
;;18;Kuiper, G.M.;4;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0
;;19;van Oene, J.B.;5;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;20;de Groot, L.;9;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;3;1;0
5;VVD;;;632;44;40;34;28;40;27;46;48;54;75;47;23;11;9;18;14;22;35;17
;;1;Kemp, H.G.P.;374;35;29;24;20;20;16;28;28;30;27;28;9;7;8;10;8;20;17;10
;;2;van Oene, L.M.;72;1;3;1;1;3;3;2;5;7;35;2;4;0;0;1;0;0;2;2
;;3;Schouten, N.T.;52;0;2;1;1;7;3;5;9;8;0;1;4;0;0;2;0;0;6;3
;;4;Westerink, H.M.;21;1;0;2;0;4;0;1;0;0;1;4;3;0;1;1;0;1;2;0
;;5;Roelofsen, W.;24;2;4;3;2;1;1;0;0;2;1;3;0;2;0;0;1;1;1;0
;;6;Spakman, L.J.;9;1;0;0;0;0;2;3;0;0;0;0;0;0;0;2;0;0;0;1
;;7;van Hell, A.;4;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0
;;8;Spronk - van de Kamp, M.;76;4;2;3;4;5;2;6;6;7;10;7;3;2;0;2;5;0;7;1
6;D66;;;424;20;26;14;12;36;17;48;53;37;31;10;30;6;0;0;9;8;29;38
;;1;van 't Ende, F.;179;4;11;2;2;16;10;19;32;20;12;2;13;4;0;0;4;1;15;12
;;2;van Dorp, E.H.;184;16;12;11;8;15;3;19;12;9;15;8;14;2;0;0;2;7;11;20
;;3;Wimmers, P.J.;9;0;0;0;0;1;0;0;0;6;0;0;1;0;0;0;0;0;0;1
;;4;Leinenga, M.A.;42;0;1;1;1;4;4;9;5;2;4;0;2;0;0;0;1;0;3;5
;;5;van 't Ende, R.;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;6;Boerdam, P.F.H.;4;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;7;van der Gaag, E.J.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
7;Blanco (de Nooijer, J.T.);;;1425;186;273;163;97;49;46;37;69;61;33;77;21;73;29;15;45;97;17;37
;;1;de Nooijer, J.T.;1153;164;187;125;79;45;40;34;61;55;27;60;17;59;21;9;39;82;14;35
;;2;Vroombout, J.C.;43;4;9;2;3;0;2;2;0;1;0;5;0;5;0;1;1;7;1;0
;;3;van der Velde, B.;38;1;1;3;4;2;4;0;6;4;5;0;3;0;0;3;0;1;1;0
;;4;van Werven, G.J.;48;1;27;8;3;0;0;0;1;0;0;1;0;0;5;0;0;1;0;1
;;5;van de Put, K.;20;0;16;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;6;van Pijkeren, H.;13;3;0;4;0;0;0;0;0;0;1;3;0;1;0;0;1;0;0;0
;;7;Jansen, J.J.D.;24;2;2;5;3;1;0;0;1;0;0;2;0;0;0;2;4;2;0;0
;;8;van Loo, A.;11;1;2;2;1;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0
;;9;de Nooijer, E.;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;10;Hofmeijer, J.;41;6;26;4;1;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0
;;11;Jonker, J.;10;0;1;5;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;12;Brussen, J.S.;14;2;1;1;2;0;0;1;0;0;0;1;0;2;2;0;0;1;0;1
;;13;van Olst, L.;8;2;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
8;Duurzaam Oldebroek;;;728;55;32;25;34;45;60;73;76;110;55;12;29;1;7;10;10;20;22;52
;;1;Overkempe, G.J.;524;42;25;17;28;32;54;51;53;78;22;10;24;1;4;9;8;13;16;37
;;2;Overkempe, J.A.J.;35;3;1;2;1;4;3;7;4;5;0;0;2;0;0;0;0;1;0;2
;;3;Werner, M.B.M.;76;1;2;2;4;4;2;7;9;6;27;2;1;0;1;0;0;2;1;5
;;4;Post, D.J.P.;61;9;2;3;1;3;1;4;5;17;3;0;2;0;0;0;2;3;1;5
;;5;Tiemens, J.C.G.;32;0;2;1;0;2;0;4;5;4;3;0;0;0;2;1;0;1;4;3
