Verkiezing;;Gemeenteraad Voorst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorst;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0285;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Tennispark TC de Schaeck;Dorpshuis Voorst;Gymzaal Voorst 'De Wiekslag';Multifunctioneel Centrum 'De Pauw';Verenigingsgebouw Lawa Mena;Restaurant Bosgoed;Hof van Bussloo (Het Kleine Hof);Dorpshuis 'de Pompe';Voetbalvereniging Activia;Bibliotheek Twello;Gebouw PIGIKA;Dorpshuis 'op den Toega';Gymzaal Terwolde (ingang Schoolstraat);Dorpshuis 'de Arend';Stationskoffiehuis;Restaurant 'Korderijnk';Sportcafé Jachtlust;Trefpunt Duistervoorde;Dorpshuis Voorst;Dorpshuis Voorst;Gymzaal Terwolde (ingang Schoolstraat);Gymzaal Terwolde (ingang Schoolstraat);Sportcafé Jachtlust;Sportcafé Jachtlust
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;7391 TP;7383 CG;7383 XM;7382 CC;7391 KG;7384 DE;7383 RP;7384 BD;7391 JK;7391 DH;7391 AN;7395 PB;7396 NA;7397 NH;7391 EH;7391 EH;7391 BW;7391 AG;7383 CG;7383 CG;7396 NA;7396 NA;7391 BW;7391 BW
;;12;Oosterlaar, A.H.J.;10;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5
;;13;Wolff van Wulfing, M.L.A.;17;4;0;0;1;0;0;0;0;4;0;1;1;1;0;3;0;0;0;0;1;0;0;0;1
;;14;Pannekoek, A.M.;58;1;0;0;0;0;5;0;0;0;1;1;1;8;37;1;0;1;0;0;0;0;1;1;0
;;15;Haverkamp, J.A.;21;1;0;1;1;0;0;0;0;1;3;1;0;0;0;4;0;2;2;0;1;0;0;1;3
;;16;Busch, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Jonge, M.S.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0
;;18;Wilbrink, J.G.;52;0;13;20;3;0;0;1;3;0;0;0;0;0;0;0;1;0;0;5;6;0;0;0;0
;;19;van Aalen, L.J.J.C.;6;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;2
;;20;Achterberg, T.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;21;Uenk-Voskamp, L.J.;10;2;0;0;0;0;0;0;1;0;1;0;2;0;1;1;0;1;0;0;0;1;0;0;0
;;22;Koekkoek-Schipper, M.G.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0
;;23;Lankhorst, H.J.;8;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;24;Boerkamp-Leisink, J.B.H.;44;0;0;3;38;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Berends, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;26;Menkveld, A.;4;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Winterman-Vorselman, M.A.;11;0;1;0;2;1;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0
;;28;Gooiker, W.G.J.;7;1;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1812;106;70;70;84;63;22;38;93;106;140;75;49;123;34;81;110;96;90;39;39;22;40;94;128
;;1;Visser, L.;781;41;19;30;29;28;12;14;28;43;65;36;26;45;11;50;58;52;44;14;16;4;14;48;54
;;2;Grevinga, B.M.;308;15;23;21;19;10;2;6;10;21;23;12;7;8;7;11;17;11;8;12;11;4;6;20;24
;;3;Moleman, W.J.;163;3;1;3;6;1;2;0;6;10;4;4;7;51;8;3;9;3;5;2;2;10;14;4;5
;;4;Ulfman, B.E.;146;10;1;1;0;7;2;13;27;5;14;6;4;2;0;4;9;4;11;2;0;2;1;6;15
;;5;Boon, E.;122;12;1;2;1;11;1;0;3;8;16;9;0;2;1;6;9;10;5;1;0;1;0;8;15
;;6;van Kleef-Driessen, G.M.J.;53;1;12;3;2;0;1;2;3;0;0;4;1;0;3;3;1;3;4;1;2;0;0;3;4
;;7;van Hoof, J.A.J;15;0;0;0;0;0;0;0;0;1;0;1;1;6;0;0;0;2;0;0;0;0;4;0;0
;;8;van Muijden, J.N.;36;1;4;6;15;0;0;0;1;0;1;0;0;0;0;0;0;0;2;3;3;0;0;0;0
;;9;Roos, F.J.;24;0;5;3;1;1;0;1;0;0;0;1;0;0;0;1;0;0;3;3;4;0;0;0;1
;;10;van Kessel, A.A.L.;33;14;1;0;0;0;0;0;0;4;6;0;0;0;1;0;2;0;0;0;0;0;0;2;3
;;11;van der Vegte, F.W.;8;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;12;Pragt, R.M.;6;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;13;Holstein, E.M.;24;1;1;0;0;2;0;0;1;1;1;0;0;5;2;2;1;1;3;0;0;1;1;0;1
;;14;Hulsegge-Siebelink, B.;7;0;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;1
;;15;Ebbelaar, J.C.M.;5;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Schaaf, S.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Dollenkamp, H.J.T.;12;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;5;2;0;0;0;0;0;0
;;18;Vos-Leferink, A.G.M.;16;3;0;0;0;0;0;0;0;0;1;1;0;2;0;1;3;3;2;0;0;0;0;0;0
;;19;Kooi, E.W.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
;;20;van Geleuken, J.H.M.;10;1;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Schermerhorn, J.E.;14;0;1;0;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;22;Vos, H.;5;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
