Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Stad;Mehmet Akif Moskee;Unitas;Centrum 'De Zin';Ontmoetingstuin 'De Rietmeen';Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Kerkelijk Centrum 'De Regenboog';Drive-In op parkeerplaats P2;Station Harderwijk;Drive-in Stadsbedrijf;Huis van de Stad;Mehmet Akif Moskee;Unitas;Centrum 'De Zin';Ontmoetingstuin 'De Rietmeen';Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Kerkelijk Centrum 'De Regenboog';Drive-In op parkeerplaats P2;Station Harderwijk;Drive-in Stadsbedrijf;Huis van de Stad;CBS 'Dok 19';Sociaal Centrum 'De Kiekmure';Mehmet Akif Moskee;Leonardo Harderwijk;Gebouw Stedelijke Harmonie;CBS 'Willem-Alexander';Unitas;Centrum 'De Zin';CBS 'Het Baken';Ontmoetingstuin 'De Rietmeen';Dorpskerk' Hierden;Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Sporthal Drielanden (1);Sporthal Drielanden (2);Sporthal Drielanden (3);Kerkelijk Centrum 'De Regenboog' (1);Kerkelijk Centrum 'De Regenboog' (2);Drive-In op parkeerplaats P2;Mobiel Stembureau;Station Harderwijk;Drive-in Stadsbedrijf
Gebiednummer;;;;;101;106;111;112;115;117;119;127;128;131;132;201;206;211;212;215;217;219;227;228;231;232;1;2;4;6;8;9;10;11;12;14;15;16;17;19;20;21;22;24;27;28;30;31;32
Postcode;;;;;3841 AA;3842 GV;3844 AC;3841 DA;3844 HW;3849 BL;3848 DE;3845 KA;;3844 KR;3843 AK;3841 AA;3842 GV;3844 AC;3841 DA;3844 HW;3849 BL;3848 DE;3845 KA;;3844 KR;3843 AK;3841 AA;3841 KK;3842 GA;3842 GV;3844 EL;3842 GD;3843 BG;3844 AC;3841 DA;3844 NC;3844 HW;3849 AD;3849 BL;3848 DE;3845 GC;3845 GC;3845 GC;3845 KA;3845 KA;;;3844 KR;3843 AK
;;1;Doppenberg, M.;1162;44;3;14;35;21;6;16;22;13;6;6;34;6;15;15;11;10;24;41;21;3;6;71;16;82;15;11;47;32;24;33;26;39;44;22;47;43;50;43;28;34;49;4;9;21
;;2;Lammerts van Bueren, N.;412;13;3;2;3;4;5;1;13;1;1;1;9;2;2;11;6;1;3;17;7;2;6;26;2;18;3;2;11;15;13;19;7;10;13;15;16;22;25;38;15;12;10;0;1;6
;;3;van Panhuis, M;255;3;2;0;1;1;1;0;3;0;0;3;15;3;1;6;2;4;3;8;4;2;6;29;3;11;7;0;5;17;6;15;7;4;6;6;15;7;12;9;4;10;9;0;0;5
;;4;Polman, E.S.;73;1;0;2;2;1;0;1;0;0;0;0;4;1;0;1;2;0;2;0;1;0;1;4;0;8;2;1;3;1;2;1;6;1;0;2;5;1;5;2;1;0;4;0;5;0
;;5;van Dantzig, M.M.;143;3;1;1;1;1;1;1;4;1;0;1;3;1;0;1;5;4;3;3;1;0;0;12;4;10;4;2;6;1;2;2;8;3;8;2;8;5;6;3;3;2;12;1;1;2
;;6;Korver, D.A.;15;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0
;;7;Petersen, W.E.;34;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;4;0;0;8;0;0;1;2;2;0;4;1;1;0;0;0;0
;;8;Lubbersen, S.A.;32;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;5;0;1;3;0;3;1;0;1;0;0;6;3;1;1;0;0;0;0;1;0
;;9;van Marle, H.J.;16;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;2;4;2;0;0;0;0;0;0
;;10;Kamphuis, L.H.;46;2;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;7;0;0;0;9;0;2;1;0;1;0;1;4;0;0;0;0;2;1;3;0;2;1;4;0;1;0
;;11;'t Jong, A.;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;2;1;0;0;0;1;0;2;0;0;0;0;0;0
;;12;Wagemaker, A.S.;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;13;Beelen, G.;44;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;3;2;4;1;0;1;1;0;0;0;2;6;12;2;1;1;0;0;0;0;0;0;0
;;14;Snel-van Daalen, F.H.K.;12;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;4;1;0;0;0
;;15;Prophitius, G.J.;28;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0;0;0;0;0;3;0;10;0;2;0;0;1;1;0;0;0;2;0
;;16;van der Wal, J.;16;3;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0
;;17;Koning, O.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4;0;0;0;0;1;0;0;0;0
;;18;Jansen, G.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Zeggelink, H.J.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Petersen, M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;1;0;2;0;0;0;0;0;1;1;0;1;0;1;0;1;0
;;21;Zegers, R.N.;12;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;22;Klaassen, J.G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
;;23;Leerkes, M.R.C.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
;;24;Mekenkamp, E.;23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;1;1;0;0;1;0;0;2;0;1;1;0;7;0;0;0;0;0;2;0;0;0
;;25;Rijkmans, W.R.H.;12;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;2;0;0;0
;;26;uit de Bosch, K.H.;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
;;27;Daamen, R.T.J.;23;0;0;0;1;2;2;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;3;0;0;1;3;1;1;0;1;0;0;0;0
;;28;van Bijsteren, B.J.;17;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;1;2;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0
3;ChristenUnie;;;2975;56;19;27;49;44;10;60;93;8;11;12;78;32;52;39;74;18;91;100;30;8;20;107;58;203;28;47;147;133;69;52;144;138;151;42;221;98;105;88;73;56;28;11;22;23
;;1;Driest-Wijnholds, M.A.;1468;23;11;15;29;25;5;33;50;5;3;4;38;14;25;19;39;8;45;48;15;3;14;52;24;85;12;26;70;68;29;22;68;66;95;26;120;37;58;41;37;29;14;3;7;8
;;2;Heldoorn, M.;289;8;4;4;0;4;0;2;14;0;0;0;7;4;4;2;11;0;7;21;1;1;3;12;7;20;5;1;17;13;11;5;4;15;9;2;16;11;4;11;7;12;1;3;5;1
;;3;Fredrikze-Roetman, F.A.H.;150;5;0;1;4;3;0;2;10;0;1;0;4;3;1;3;2;1;5;6;0;0;0;2;1;7;0;1;4;7;2;3;10;7;7;2;5;7;9;8;10;1;4;1;1;0
