Verkiezing;;Gemeenteraad Buren 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Buren;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0214;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis  Erichem;Dorpshuis  't Ecksternest;Dorpshuis De Hoekenburg Rijswijk;Dorpshuis De Rozenhoek Ravenswaaij;Dorpshuis Kerk-Avezaath;Dorpshuis de Oude School Zoelen;Dorpshuis 't Zoetzand  Beusichem;Gemeentehuis Maurik;Kerk Zoelmond;Het Gildehuis;Meentschool Ommeren;O.b.s. Prins Willem-Alexander;Dorpshuis Asch;"Dorpshuis ""In de Gaard"" Ingen";Zaal Torenzicht Lienden;Dorpshuis 't Klokhuis Maurik;De Prinsenhof Buren;Gemeentehuis Maurik (14 maart);Gemeentehuis Maurik (15 maart);Zaal Torenzicht Lienden (14 maart);Zaal Torenzicht Lienden (15 maart);De Prinsenhof Buren (14 maart);De Prinsenhof Buren (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Postcode;;;;;4117 GJ;4024 HM;4023 AV;4119 LW;4012 BC;4011 EM;4112 JL;4021 VZ;4111 KV;4033 GP;4032 NA;4112 JT;4115 RT;4031 MB;4033 EC;4021 VC;4116 GG;4021 VZ;4021 VZ;4033 EC;4033 EC;4116 GG;4116 GG
;;10;Oskam, W.J.H.;73;2;0;0;13;1;0;29;0;12;0;0;10;0;0;1;0;3;0;0;2;0;0;0
7;D66;;;883;39;68;22;30;68;48;105;62;53;16;17;37;17;45;24;20;93;14;24;4;31;26;20
;;1;van Zijl - Hoek, A.;457;20;35;8;18;44;25;45;33;40;6;13;17;10;19;14;14;32;9;11;2;19;11;12
;;2;Schlösser, E.A.;101;2;11;13;5;6;7;8;11;2;3;0;2;2;4;2;2;7;2;4;0;5;3;0
;;3;van den Berg, J.E.D.A.;24;2;1;1;0;0;1;0;2;0;5;2;0;0;2;3;0;1;0;2;0;2;0;0
;;4;Obdeijn, E.G.A.A.;23;2;0;0;2;3;0;3;0;1;1;0;0;2;0;0;0;6;0;0;1;0;1;1
;;5;van Charldorp, T.C.;98;12;4;0;2;9;6;4;8;5;0;0;1;1;4;4;0;22;2;3;0;2;5;4
;;6;van Kats, J.J.;68;0;1;0;0;1;2;44;1;2;0;0;15;0;0;0;0;0;0;0;0;1;1;0
;;7;Nugteren, J.;15;0;0;0;0;1;2;1;0;3;0;0;2;2;0;0;0;1;0;0;0;0;3;0
;;8;Vellinga, P.;33;0;11;0;1;0;0;0;5;0;0;1;0;0;2;1;2;4;1;3;1;1;0;0
;;9;Wesseling, R.M.;29;1;0;0;2;3;0;0;1;0;0;0;0;0;0;0;0;19;0;0;0;0;0;3
;;10;Blijsie, D.;35;0;5;0;0;1;5;0;1;0;1;1;0;0;14;0;2;1;0;1;0;1;2;0
8;Beter Buren;;;371;6;21;9;7;20;12;16;41;8;30;27;11;13;19;19;17;44;14;9;9;9;2;8
;;1;IJkelenstam, A.M.;206;5;16;7;5;13;4;15;30;8;11;13;4;4;13;9;9;17;9;4;4;3;1;2
;;2;Veenis, F.C.;60;1;2;1;1;7;6;1;2;0;1;0;3;7;1;0;2;14;4;0;1;0;1;5
;;3;Geraerts, G.M.;20;0;2;0;0;0;1;0;7;0;0;0;0;0;1;1;2;3;0;3;0;0;0;0
