Verkiezing;;Gemeenteraad Doetinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Doetinchem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Gymzaal Terborgseweg;OC De Daele;Het Trommelslag;OBS Hogenkamp;Speeltuin Schoneveld;OC De Achterhoek;MFA De Zonneboom;Bs te IJzevoorde;Gymzaal Ottawastraat;OBS Hagen;IKC Het Noorderlicht;OR Gereformeerde Gemeente;Sporthal De Pol A;Sporthal De Pol B;OBS Wis en Wierig;BS OCTA;OBS De Huet;Waterschapsgebouw;Sporthal De Bongerd A;Sporthal De Bongerd B;IKC Plattenburg;KC De Wingerd;Stadsmuseum en Borghuis;vv VIOD;App Waterrijk;Het Raadhuis;VG Ons Huis;DA De Horst;SO Isselborgh;Brandweer Wehl;BS Dichterbij;Stadhuis ma;Waterschapsgebouw ma;Het Raadhuis ma;Sporthal De Pol ma;OR Gereformeerde Gemeente ma;MFA De Zonneboom ma;KC De Wingerd ma;vv VIOD ma;Stadhuis di;Waterschapsgebouw di;Het Raadhuis di;Sporthal De Pol di;OR Gereformeerde Gemeente;MFA De Zonneboom di;KC De Wingerd di;vv VIOD di
;;4;Winters, G.J.M.;353;34;2;8;1;2;17;1;30;3;10;14;3;2;7;9;1;4;5;16;12;1;12;7;12;14;21;3;0;2;10;1;11;15;3;2;0;1;2;4;2;21;7;1;1;1;3;8;7
;;5;van Pul, C.F.P.M.;230;6;0;2;2;1;2;1;0;2;2;0;2;1;3;0;0;0;1;2;2;1;2;4;3;9;2;49;37;19;0;25;1;3;0;22;1;1;0;0;1;1;1;14;0;0;1;4;0
;;6;Boerman, F.J.O.;22;3;0;0;0;0;1;0;1;0;3;0;0;1;0;0;0;0;1;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;3;0;0;0;0;1;0;0
;;7;Eversen, B.;21;0;0;0;0;0;0;0;2;0;0;1;2;0;0;1;0;1;0;1;2;0;1;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1
;;8;de Haan, M.L.;143;9;2;5;0;1;3;1;8;3;2;9;2;3;2;6;1;0;3;5;11;1;4;1;2;6;3;3;1;1;3;0;4;7;3;1;0;0;2;5;0;5;3;1;0;1;3;4;3
;;9;van Ingen, J.J.M.;9;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Verhoeven, A.J.;120;8;0;1;0;1;2;0;1;24;0;0;0;1;13;23;8;0;0;2;1;0;0;0;5;3;3;4;0;0;2;0;1;0;0;0;2;0;0;1;0;0;0;0;9;0;2;1;2
;;11;Botteram, A.B.J.M.;49;4;0;0;3;0;3;0;2;0;3;3;0;0;0;2;0;1;0;7;2;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;3;0;0;0;1;1;1
;;12;Nieboer, R.A.;42;6;0;0;0;0;0;0;0;0;1;1;1;2;1;1;0;0;0;5;0;0;3;0;5;0;1;0;0;2;2;0;1;0;3;0;1;0;0;0;0;1;1;0;0;1;2;0;1
4;SP (Socialistische Partij);;;1901;124;15;96;62;56;125;9;52;9;44;56;43;33;54;40;9;26;46;49;71;35;65;66;33;39;59;36;51;23;15;5;33;55;11;10;24;4;9;63;18;62;26;11;33;18;16;47;15
