Verkiezing;;Gemeenteraad Tiel 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0281;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Verenigingsgebouw AVGN;Stembureau Verenigingsgebouw KTVM;Stembureau Centrum Oosthonk;Stembureau De Vier Gravinnen;Stembureau Clubhuis Tiel;Stembureau Betuwe Sporthal;Stembureau Activiteitengebouw kerk Wadenoijen;Stembureau Drumptse Hof;Stembureau Wielersportcentrum de Betuwe;Stembureau Centrum Westroyen;Stembureau Clubhuis Theole;Stembureau Schoolwoningen Passewaaij;Stembureau Voetbalclub RKTVC;Stembureau Hondensportvereniging Tiel;Stembureau Kantoor BSR;Stembureau Mobiel stembureau verzorgingshuizen;Stembureau Mobiel stembureau in touringcar
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4001 WJ;4001 HZ;4005 VR;4001 RZ;4005 BC;4006 AJ;4014 MB;4003 GA;4006 MC;4003 AL;4002 AH;4007 HD;4006 AW;4006 PD;4001 CE;4001 MV;4001 MV
;;15;Gradisen, C.J.;73;3;2;2;2;0;0;7;1;6;2;1;1;2;5;8;0;4;5;3;3;6;3;2;4;0;1
5;CDA;;;1046;33;8;20;49;42;11;23;43;49;62;24;32;30;11;55;78;115;49;39;51;63;27;63;41;7;21
;;1;Son - Stolk, I.C.M.;663;21;7;13;30;25;9;18;28;35;27;16;28;20;4;38;35;90;34;18;36;43;19;30;19;4;16
;;2;van Eijnatten, T.A.M.;54;1;1;1;14;2;0;0;2;2;0;0;0;0;0;3;4;0;4;0;0;3;2;11;2;2;0
;;3;Vroege - Gerth, H.L.;52;2;0;0;0;2;0;0;1;0;24;0;1;2;0;1;2;4;2;4;1;1;0;5;0;0;0
;;4;Sijpkes, A.D.;55;2;0;2;1;3;0;1;3;4;4;1;0;3;0;0;3;12;1;2;1;2;3;1;3;0;3
;;5;van Doesburg, M.;33;1;0;2;1;0;0;0;0;2;2;4;0;0;1;1;0;0;1;4;3;2;0;6;3;0;0
;;6;Rengers, H.N.;45;3;0;0;0;4;0;1;2;3;2;1;0;1;0;0;0;3;0;2;8;1;0;4;10;0;0
;;7;Gorter - Vermeulen, A.N.;11;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;2;1;0;2;0;0;0;0;0;0
;;8;van der Munnik, H.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
;;9;Vermeulen, G.J.;62;0;0;2;0;0;0;0;0;1;1;0;0;1;4;4;31;0;1;4;0;6;0;2;2;1;2
;;10;Termeer - Koopmans, H.J.;19;2;0;0;0;0;0;0;1;0;0;0;2;1;1;5;0;1;0;0;0;2;3;1;0;0;0
;;11;van IJzendoorn, H.W.M.;14;0;0;0;0;1;1;0;0;1;2;0;1;0;0;1;0;1;5;0;0;0;0;0;1;0;0
;;12;Buijk, J.G.;4;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Dijk, J.H.;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Driessen, H.A.;27;1;0;0;1;2;1;2;3;0;0;1;0;1;0;1;2;2;0;4;0;3;0;2;1;0;0
6;GROENLINKS;;;1438;40;15;23;24;56;35;24;70;118;62;58;76;79;21;125;57;91;62;75;43;82;47;73;55;2;25
;;1;Klijn, M.T.;734;26;6;15;14;30;13;15;49;57;33;36;19;18;4;40;43;63;36;31;26;38;28;44;32;1;17
;;2;Sözen, Ü.;158;5;0;2;1;8;3;3;3;8;4;11;4;20;11;12;4;5;5;12;3;8;9;10;7;0;0
;;3;Aspeling, L.;56;2;1;2;1;2;2;0;5;5;1;2;2;1;0;4;1;4;1;0;2;6;3;4;1;0;4
;;4;Manuhutu, R.;59;0;0;0;1;4;7;3;2;4;5;1;7;1;0;3;1;5;0;5;1;4;0;1;4;0;0
;;5;Lageweg, V.;129;4;0;1;2;4;1;2;5;23;10;5;6;5;2;3;6;6;6;6;6;11;1;7;6;0;1
;;6;Sprij, R.J.A.;24;0;0;0;3;1;0;0;2;2;0;0;0;1;0;2;2;2;0;0;2;3;0;0;2;0;2
;;7;Kerkmeester, R.A.J.;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;8;van Hal, J.G.J.;7;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;0
;;9;Sprij, J.;15;0;0;0;0;0;1;0;0;5;0;0;0;1;0;3;0;1;1;0;0;1;0;2;0;0;0
;;10;Aoulad Hadj, M.;235;3;8;3;1;5;8;1;2;13;9;1;37;29;4;58;0;0;11;19;3;10;5;3;2;0;0
;;11;van Wijk, P.G.;18;0;0;0;1;1;0;0;1;0;0;2;1;0;0;0;0;4;2;2;0;1;0;2;0;0;1
7;ProTiel;;;615;24;8;14;14;23;10;26;16;38;16;33;23;24;17;41;11;40;29;28;36;51;19;39;30;1;4
;;1;Elferink, P.J.J.;268;10;4;4;6;12;6;12;9;19;9;13;11;12;6;12;5;21;11;7;14;22;8;22;10;0;3
;;2;van Tongeren, M.C.;38;1;0;1;3;0;0;3;1;4;0;1;3;2;2;2;0;1;3;1;1;3;1;3;2;0;0
;;3;van der Lugt, P.;43;0;0;1;0;3;1;0;3;2;3;0;2;0;2;11;2;3;3;1;0;3;2;0;1;0;0
;;4;Verduin, T.F.;63;6;1;1;2;0;0;5;0;4;1;8;2;3;2;4;0;1;2;6;5;1;0;4;5;0;0
;;5;Stultiens, A.M.C.;13;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;2;0;1;5;0;0;1;0;0
;;6;Lankhorst, A.J.;14;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2;0;2;0;0;0;5;0;1;1;0;0
;;7;Schiltmans, A.M.;20;1;1;0;0;1;0;1;2;0;0;1;1;1;0;1;2;2;2;1;1;0;1;1;0;0;0
;;8;van Setten, L.M.;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;9;van de Riet, F.P.J.;64;2;0;0;1;2;1;2;0;2;0;2;3;2;2;4;1;5;4;6;4;10;3;4;3;0;1
;;10;de Jong, R.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;11;Broers, M.M.L.;16;1;0;2;0;2;0;0;0;0;0;0;1;0;0;1;1;2;0;2;1;0;3;0;0;0;0
;;12;van Zwam, H.J.E.W.B.G.;22;0;1;2;0;0;0;0;0;2;2;0;0;2;1;0;0;1;1;0;5;0;0;2;2;1;0
;;13;Groenhuijzen - Brus, J.J.;18;1;0;0;1;1;2;0;0;4;0;3;0;0;1;2;0;1;0;0;0;0;1;1;0;0;0
;;14;de Wild, J.H.;29;0;0;3;1;1;0;3;0;0;1;3;0;2;0;0;0;1;1;4;4;2;0;0;3;0;0
