Verkiezing;;Gemeenteraad Apeldoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Apeldoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau ACEC;Stembureau Parochiecentrum Emmaüshuis;Stembureau Nieuw-Apostolische Kerk Apeldoorn;Stembureau De Grote Kerk;Stembureau Kerk de Koningshof;Stembureau Gereformeerde Gemeente Apeldoorn;Stembureau Scheidsrechtersvereniging;Stembureau Gymzaal Buys-Ballotstraat;Stembureau Wijkcentrum De Groene Hoven;Stembureau Orpheus;Stembureau Gymzaal Burglaan;Stembureau Scouting SWIII/LBP;Stembureau ALTV Daisy;Stembureau Gymzaal Jupiterlaan;Stembureau Sporthal Sprengeloo 1;Stembureau Sporthal Sprengeloo 2;Stembureau Duivensportcentrum;Stembureau Goede Herderkerk;Stembureau Victorkerk;Stembureau Gymzaal Germanenlaan;Stembureau Wijkcentrum Orca;Stembureau 't Buurtpalet (kindervreugd);Stembureau Wijkcentrum Vrijzicht;Stembureau Postduivenvereniging Holthuizen;Stembureau a.v.v. Columbia;Stembureau Denksportcentrum Apeldoorn;Stembureau Buurthuis Maasstraat;Stembureau DokZuid;Stembureau Sporthal Zuiderpark 1;Stembureau Sporthal Zuiderpark 2;Stembureau De Hofstad;Stembureau Buurthuis 't Vogelnest;Stembureau Gymzaal Groenlingweg;Stembureau ROC Aventus;Stembureau Gymzaal Glazeniershorst;Stembureau Gymzaal Eekschillersdreef;Stembureau Gymzaal Voldersdreef;Stembureau Gymzaal Burgersveld;Stembureau Gymzaal Edelenveld;Stembureau Gymzaal Matenpark;Stembureau Gymzaal Rederijkershoeve;Stembureau s.v. Groen Wit '62;Stembureau Gymzaal Valkeniersdonk;Stembureau Gymzaal Steenhouwersdonk;Stembureau Gymzaal Warenargaarde;Stembureau Omnisport 1;Stembureau Omnisport 2;Stembureau Het Bolwerk;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Gymzaal Fortlaan;Stembureau Gymzaal Keerkring;Stembureau Gymzaal Aristotelesstraat;Stembureau CGK Andreaskerk;Stembureau Gymzaal Citroenvlinder;Stembureau Sporthal Zuidbroek 1;Stembureau Sporthal Zuidbroek 2;Stembureau Jeu de Boules Vereniging 't Zwijntje;Stembureau Gymzaal Gentiaanstraat;Stembureau Kruispunt 1;Stembureau Kruispunt 2;Stembureau Gymzaal Tormentilstraat;Stembureau Sporthal Welgelegen 1;Stembureau Sporthal Welgelegen 2;Stembureau Buurthuis Ons Huus;Stembureau Voetbalvereniging WWNA;Stembureau Kapel Hoog Soeren;Stembureau Sporthal De Schier 1;Stembureau Sporthal de Schier 2;Stembureau De Bronkerk;Stembureau Ugchelens Belang;Stembureau Gymzaal Klingelbeek;Stembureau 't Dorpshuus;Stembureau De Hoge Weye;Stembureau V.V. Beekbergen;Stembureau Het Trefpunt (PKN);Stembureau Dorpscentrum De Brink;Stembureau Gymzaal De Kempe;Stembureau Kerk Klarenbeek;Stembureau School De Bundel;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen;Stembureau Groot Schuylenburg;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen
;;24;Trapman, J.C.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Knipping, J.G.M.;25;0;0;0;1;1;4;0;0;0;2;0;0;0;0;0;0;0;1;0;4;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;26;Lensvelt-Ruijs, Q.E.;55;3;1;1;0;0;0;0;0;1;2;0;3;1;1;1;0;0;0;1;2;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;3;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;2;3;0;0
5;ChristenUnie;;;5753;95;28;62;25;144;100;46;20;57;181;32;19;28;29;47;11;8;59;98;101;22;70;13;60;71;42;44;65;45;5;26;109;20;44;45;85;75;70;63;46;50;123;51;66;104;56;42;37;43;91;48;63;49;166;122;8;14;28;105;68;46;27;59;32;47;52;10;66;53;106;109;68;33;85;25;73;30;29;24;65;9;55;99;53;28;29;55;47;116;12;24;4;5;72;123;74;30;36;96;60;95;27;21
;;1;Bloem, B.G.;2710;30;12;24;12;69;47;24;12;22;87;10;8;8;17;27;6;3;32;48;50;9;46;6;26;38;16;23;41;23;1;11;55;10;15;14;30;34;27;25;24;18;49;26;27;57;21;20;14;23;47;23;37;24;82;54;2;3;13;32;25;21;11;22;16;18;34;4;54;34;48;58;28;15;42;7;35;14;18;14;40;2;26;50;30;16;7;31;25;56;7;12;4;5;31;51;38;11;18;41;36;40;14;7
;;2;van der Zande, J.M.;225;6;1;3;0;3;3;2;0;2;12;5;5;3;3;2;1;0;0;6;8;0;2;1;1;3;3;0;0;0;0;0;5;2;3;8;0;2;1;0;1;0;3;0;3;3;2;1;3;2;6;1;2;2;10;7;0;0;0;6;5;1;1;1;0;0;0;0;3;3;3;3;3;0;3;1;4;2;0;0;0;1;1;1;1;4;1;1;3;1;0;0;0;0;5;5;2;1;1;8;3;5;0;0
;;3;de Jager-Meindertsma, W.;1029;19;6;13;3;27;19;7;3;8;24;8;3;5;8;8;1;2;10;23;21;6;7;1;10;9;11;5;5;3;2;5;24;2;11;10;22;13;18;13;13;12;34;15;12;17;11;4;5;8;15;10;9;6;14;23;3;7;4;20;20;8;5;11;8;15;4;4;7;6;28;18;17;4;7;3;5;2;6;3;12;0;13;16;7;2;5;9;8;20;2;1;0;0;16;21;14;6;9;18;11;11;5;5
;;4;Kranenburg, K.J.P.;107;4;0;2;1;2;3;0;0;1;3;0;0;0;0;2;0;0;2;2;1;1;4;0;1;1;3;4;1;0;0;0;0;0;1;0;4;0;1;2;0;0;4;0;0;4;4;0;0;0;4;1;0;0;2;2;0;0;1;5;4;0;0;0;0;2;0;0;0;0;2;2;5;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;2;2;0;0;0;0;0;2;2;1;0;0;1;3;1;0
;;5;Aalbers, D.W.J.;65;0;0;0;0;2;1;1;0;4;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;2;1;0;3;0;0;0;1;1;1;0;0;1;1;0;0;1;0;3;7;2;3;0;1;8;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;6;van de Kamp, L.;38;1;0;0;0;3;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;5;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;1
;;7;Werkman, J.J.;24;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2
;;8;Prinsen, H.;19;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
;;9;van Veen, A.;40;2;1;0;0;0;1;1;0;1;4;1;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;0;0;0;0;0;2;0;1;0;1;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;10;van Olst- van Rijn, E.;141;2;1;5;3;3;0;1;0;3;4;1;1;5;1;0;0;0;2;2;1;0;1;2;2;1;1;0;0;1;0;0;1;0;0;0;8;3;1;1;1;0;3;1;1;3;1;2;0;0;1;3;3;0;4;6;0;1;0;6;2;2;1;6;3;1;0;1;0;0;1;5;1;1;2;0;0;0;3;1;1;0;2;0;1;1;2;0;0;1;1;0;0;0;0;1;0;1;0;2;0;5;0;0
;;11;Groen, R.A.L.;15;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;12;Lammers, J.R.;73;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;2;22;2;19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;1;0;0;0;1;0;0;0;3
;;13;Wuarbanaran, M.B.;50;7;1;3;0;0;1;0;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;5;1;1;1;0;1;0;1;2;0;0;1;0;1;0;2;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0
;;14;van der Weerd-Pelamonia, M.M.;115;3;0;1;1;4;0;0;0;0;3;1;1;0;0;0;0;1;2;2;0;2;0;1;3;2;1;2;1;0;2;1;4;0;3;1;4;3;2;1;0;5;4;2;3;3;4;3;3;0;0;0;0;1;2;1;0;0;1;5;1;3;1;3;0;0;1;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0
;;15;Hupkens, M.G.;39;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;1;2;1;0;0;0;0;0;0;0;2;1;2;1;0;0;2;1;0;0;0;1;0;1;0;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;2;2;0;0;1;0;0;0;0;0
;;16;van der Linden, J.;56;0;0;0;0;1;6;3;0;0;0;0;0;1;0;1;1;0;4;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;2;0;1;3;0;0;1;7;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;2;0;0;0;1;0;0
;;17;Speksnijder, R.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;18;Eggermont, B.;7;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Zeeders, D.J.C.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;ten Klooster, F.H.;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;21;Witzier, B.A.T.;22;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;2;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
;;22;Kleijer, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Sikkema, W.;58;0;0;0;0;3;1;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;4;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;3;3;0;0;0;1;2;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;1;4;0;0;0;0;1;1;1;2;0;3;0;2;0;0
;;24;Groen, A.M.;21;0;0;0;0;1;0;0;0;3;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;25;Sollie, H.;15;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;26;van Bruggen, M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Zoeteman, N.J.;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;den Dekker, B.J.;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0;0;0
;;29;Blokhuis, P.;800;16;5;8;4;20;12;7;4;9;32;4;1;1;0;6;1;2;4;8;17;4;9;0;11;10;4;7;8;13;0;7;9;4;5;6;0;15;9;11;5;13;16;1;12;11;9;7;5;6;7;7;9;8;24;12;0;3;4;0;5;6;7;11;3;7;7;0;1;5;18;10;5;7;6;7;9;8;2;1;10;5;9;22;13;3;8;10;6;25;2;1;0;0;6;30;12;5;6;14;4;25;4;3
6;GROENLINKS;;;5893;141;59;81;47;142;67;38;27;43;118;62;60;62;38;74;29;24;110;110;118;28;79;24;94;97;44;45;71;45;14;36;67;17;62;71;72;55;78;64;70;59;108;49;55;73;62;48;22;51;88;63;87;37;108;120;20;15;35;52;54;36;47;67;53;15;49;28;12;8;131;80;77;47;58;31;37;74;43;24;66;1;86;94;80;31;40;38;50;83;15;11;3;2;92;105;70;42;22;80;65;67;18;26
;;1;Huizer, D.S.;1795;37;19;20;19;35;22;15;6;16;43;15;16;17;13;26;5;8;28;26;29;9;30;5;29;36;14;16;33;10;2;16;23;5;18;21;26;12;18;11;19;15;35;13;20;21;20;14;7;11;31;26;19;15;34;27;2;9;9;9;16;17;12;21;11;5;17;9;5;3;39;20;23;19;23;13;18;33;17;8;18;0;25;23;21;14;7;16;20;20;3;3;2;1;30;20;26;12;9;23;22;26;10;10
;;2;Soorsma, E.;2036;46;16;29;12;59;23;10;8;11;43;28;20;23;8;19;13;8;44;43;43;6;22;13;35;35;16;14;24;21;7;12;23;6;28;24;31;26;30;17;23;20;39;15;17;24;22;14;3;23;24;20;34;7;45;41;8;0;10;14;17;8;17;28;20;3;21;6;4;3;21;24;21;17;16;10;15;20;17;9;31;1;27;40;30;9;12;8;18;27;11;7;0;1;36;45;23;13;6;33;29;20;3;10
;;3;Baart, P.C.;94;1;3;1;0;3;2;0;2;1;3;0;4;0;2;2;0;1;5;4;5;0;2;1;2;0;1;0;0;0;0;0;1;0;0;1;9;0;3;0;0;2;0;2;0;1;0;0;0;2;0;0;0;0;4;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;3;1;1;0;0;1;1;2;0;0;0;0;0;2;2;0;1;0;0;0;0;0
;;4;de Boer, D.S.;630;23;3;16;1;15;10;7;7;2;10;9;4;5;7;14;6;0;6;11;15;4;7;3;11;9;2;6;1;3;2;2;5;3;3;7;0;4;14;23;10;8;10;6;7;14;6;8;4;5;10;4;10;3;10;18;4;5;6;8;10;2;4;3;4;1;1;3;3;0;10;3;7;2;4;1;0;6;4;2;1;0;11;8;8;4;6;3;5;12;1;0;0;0;13;15;6;4;0;14;4;6;1;2
;;5;Veneman, H.;65;0;0;0;0;3;1;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;3;0;3;2;1;0;0;2;0;0;5;4;3;0;0;1;0;1;2;3;0;1;3;2;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;1;0;0;0;0;0;0;1;2;1;0;0;1;0;1;0;0
;;6;van der Weijden, A.;330;8;2;2;3;4;1;3;0;3;2;3;2;1;0;1;0;3;4;4;4;1;3;0;2;6;3;5;4;4;0;1;1;0;3;3;1;2;3;1;2;3;4;2;3;2;2;2;0;0;6;3;6;1;1;9;3;0;4;4;2;2;1;1;4;1;3;6;0;0;40;20;16;5;4;3;2;6;3;1;2;0;7;3;3;2;6;4;0;4;0;0;0;0;0;3;3;7;2;4;2;4;1;3
;;7;te Koppele, E.B.;28;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;8;Siebelink, E.V.;243;7;7;3;3;11;2;1;1;4;5;1;1;3;4;3;1;0;4;0;4;1;5;0;4;5;2;1;2;2;1;1;3;1;1;5;3;1;2;2;3;3;3;0;2;4;3;2;2;5;7;6;2;4;1;8;2;1;0;3;2;0;4;3;6;0;0;0;0;1;4;0;2;0;4;1;1;1;0;2;2;0;2;7;4;0;3;2;2;0;0;0;0;0;4;8;2;3;0;2;2;1;0;0
;;9;Heinen, A.J.;23;0;0;0;0;0;2;0;0;0;2;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;10;Hanekamp, K.R.;64;0;1;0;0;4;1;0;1;0;2;2;0;1;0;1;2;0;0;1;1;0;2;0;0;2;3;1;1;0;0;2;1;0;0;2;0;0;2;1;0;0;2;0;0;0;0;1;1;1;2;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;1;0;0;0;0;0;2;1;1;0;2;1;2;1;0;0
;;11;de Wit, B.;20;2;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;12;Zijlstra, F.;135;3;1;2;1;1;2;1;1;2;2;1;1;3;0;1;1;0;2;1;6;0;2;0;2;0;0;1;2;0;0;0;0;2;1;0;0;1;1;1;3;2;0;2;0;1;3;2;1;0;1;1;1;1;3;2;1;0;0;4;2;3;1;4;2;4;1;1;0;0;2;2;2;0;1;0;0;1;1;0;3;0;1;3;2;1;2;1;0;9;0;1;0;0;2;3;1;1;0;0;3;1;1;0
;;13;Wijering, G.J.;19;2;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0
;;14;Klein Velderman, L.H.G.;91;2;2;3;1;0;0;0;1;1;0;0;0;2;0;2;0;3;5;2;1;2;0;2;4;2;0;0;0;0;0;1;1;0;0;0;1;2;0;2;5;0;1;0;1;3;4;0;0;0;1;0;4;0;1;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;0;5;2;0;0;0;1;0;0;1;0;1;1;4;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0
;;15;van Burg, A.;36;0;0;0;0;2;0;0;0;0;0;0;3;2;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1
;;16;van der Bruggen, J.P.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Gasper-Rothengatter, R.;67;5;1;0;1;2;0;0;0;0;0;1;0;1;1;1;0;1;0;5;0;1;0;0;1;1;0;1;1;1;2;0;1;0;0;3;0;0;2;0;1;2;5;1;1;1;0;0;1;1;1;0;0;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;3;0;0;1;1;3;0;0
