Verkiezing;;Gemeenteraad Ede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Raadhuis, Hoofdingang;Stembureau Bethanië, Ingang kerkzaal;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Vilente Sint Barbara;Stembureau De Doelen;Stembureau Petrakerk;Stembureau Cultura;Stembureau de Proosdijkerk (aan de rotonde);Stembureau Buurtcentrum De Kolk;Stembureau Speeltuin De Korenbloem;Stembureau Verzorgingshuis Het Maanderzand;Stembureau De Gelderhorst;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Vilente De Pleinen;Stembureau De Ark;Stembureau Wijkcentrum De Velder;Stembureau De Open Hof;Stembureau Het Kernhuis;Stembureau Bethelkerk;Stembureau Koepelschool;Stembureau Dulon College/ROC-A12;Stembureau 't Kerkheem;Stembureau Walraven;Stembureau De Brink;Stembureau Sporthal Soetendaal;Stembureau Tennisvereniging Keltenwoud;Stembureau de School met de Bijbel;Stembureau De Honskamp;Stembureau Westhoffhuis;Stembureau Buurtcentrum De Schakel;Stembureau Tennis Club Lunteren;Stembureau Nederwoudschool;Stembureau Basisschool De Valk;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;"Stembureau 's Heeren Loo ""Het Hart""";Stembureau Dorpshuis De Aanloop;Stembureau NS-station Ede-Wageningen;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Sporthal Kernhem;Stembureau Pathé;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Gymzaal Enka;Stembureau Dulon College/ROC-A12;Stembureau Ericakerk;Stembureau Sportzaal Koning Davidschool;Stembureau Zaal Sint-Antonius van Paduakerk;Stembureau Luthers Gemeentecentrum;Stembureau Schaapskooi de Maanderbuurt;Stembureau Dependance CNS De Vuursteen (gymzaal);Stembureau Sporthal Kernhem;"Stembureau ""Eigen Gebouw""";Stembureau Gymzaal Bettekamp;Stembureau Beatrixkerk;Stembureau Pathé Ede;Stembureau Gymzaal Blijdestein;Stembureau Ontmoetingskerk;Stembureau De Stek;Stembureau Gymzaal Essenburg;Stembureau Gymzaal Enka;Stembureau Gymzaal Verlengde Parkweg;Stembureau Cami & Moskee;Stembureau Sportzaal Maandereng;Stembureau Sionskerk;Stembureau Gymzaal Platanenlaan;Stembureau Boerderij Hoekelum, locatie de Barg;Stembureau De Broek-Akker;Stembureau Sportzaal Kerkhoflaan;Stembureau Maranathakerk;Stembureau Stichting Ana-Upa;Stembureau Voetbalvereniging Advendo '57;Stembureau Hervormd Centrum Het Anker;Stembureau De Waldhoorn
;;22;Mackay, E.;21;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;6;0;0;4;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6;GROENLINKS;;;4245;86;2;121;7;60;26;134;55;52;48;5;5;65;1;88;64;74;78;135;30;50;220;12;78;89;50;21;1;57;14;8;5;4;12;5;18;3;25;36;52;46;74;51;33;84;18;4;4;3;7;80;70;102;45;47;147;38;16;6;7;8;42;51;43;107;50;23;71;64;16;47;31;37;26;42;89;74;57;14;47;11;88;47;27;75;77;97;58;19;3;10;5;1;7;3
;;1;Out, E.T.M;2593;49;2;79;7;29;19;73;26;34;37;3;3;41;1;55;40;39;49;80;19;25;149;7;47;56;43;11;1;42;10;8;5;3;4;1;13;1;14;11;33;35;44;36;19;61;16;0;4;0;6;41;53;52;33;31;97;31;12;5;6;3;27;24;23;50;25;14;46;40;8;28;20;22;20;26;50;45;37;4;27;4;48;26;16;29;57;68;26;13;3;8;1;0;2;2
;;2;Bongers-Karmaoui, R.A;188;5;0;7;0;3;0;5;1;1;2;0;0;7;0;2;1;6;2;6;1;1;12;0;3;6;1;1;0;0;1;0;0;0;0;3;0;0;1;1;2;0;3;3;1;1;1;0;0;0;0;3;0;9;1;1;3;0;0;0;0;0;2;3;6;5;0;1;6;5;2;1;0;4;0;1;5;3;4;1;2;1;6;5;1;2;4;4;3;1;0;1;0;0;2;0
;;3;Klostermann, J.E.M;409;8;0;12;0;2;1;11;4;3;4;0;1;6;0;6;4;9;8;13;0;9;23;1;11;11;2;3;0;6;0;0;0;1;2;0;5;0;9;4;11;4;8;2;4;8;0;2;0;2;1;13;5;9;1;2;24;1;3;0;0;1;3;5;4;10;7;0;5;3;1;1;1;3;0;2;12;4;4;0;5;0;11;4;3;16;3;7;10;1;0;0;2;1;1;0
;;4;Beiboer, S;350;5;0;9;0;11;1;10;13;2;3;0;0;3;0;8;3;1;4;15;4;7;13;2;7;4;1;5;0;2;0;0;0;0;4;0;0;0;0;7;3;1;6;3;0;3;0;0;0;0;0;8;6;10;4;4;6;3;0;0;0;2;2;7;2;18;5;7;4;5;1;5;7;1;6;1;10;8;4;3;2;1;14;6;1;10;8;4;4;1;0;0;0;0;0;0
;;5;van Twillert, R;27;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;1;0;4;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;6;van Vliet, A.J;226;5;0;3;0;8;1;9;0;6;1;0;0;4;0;5;2;6;6;11;4;2;9;0;4;5;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;2;1;5;3;0;1;0;1;0;4;1;6;1;3;3;2;1;1;1;1;1;3;4;6;6;1;2;6;3;7;1;2;0;5;3;5;2;1;1;2;4;4;1;4;2;5;8;1;0;1;1;0;2;0
;;7;van den Berg, P.G;35;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;1;0;2;1;0;0;0;0;0;0;0;0;2;0;2;3;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1
;;8;van Dijk, J.P;19;1;0;3;0;0;0;1;2;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;9;van Harten, J.W;27;0;0;0;0;0;1;4;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;3;2;0;0;1;0;1;0;0;0;0;0;0;0;0
;;10;Bos, R;21;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;11;van Soelen, X.D.F.H;51;3;0;0;0;0;1;4;2;0;1;0;0;1;0;4;7;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;2;0;1;2;2;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
;;12;Imthorn, P.A;43;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;1;1;1;1;0;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;1;2;1;0;1;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;13;Ras, P;13;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;14;Heijdel, J;54;2;0;1;0;0;0;2;1;0;0;0;0;2;0;0;0;2;1;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;1;2;3;0;0;1;0;0;0;0;0;0;3;1;1;0;0;0;1;0;2;0;0;0;1;1;0;1;3;4;0;0;0;1;1;0;2;3;0;0;0;0;0;0;0
;;15;van Veen, S.B;9;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;16;Smits, P.L;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hartsuiker-Daelmans, S.G.A;28;1;0;0;0;1;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;1;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0
;;18;Moons, J.E.M.C;16;1;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Antoniazzo, H.A;23;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;van Lenthe, T.A;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;21;Bansema, J.H;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van der Veen, J.F.A;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Amenchar, E.B;20;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;24;Pruiksma, S;14;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;25;van Leusden, P.P;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;;26;Hoogteijling, E.J;45;1;0;1;0;0;0;2;2;2;0;1;1;0;0;0;1;4;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;2;0;1;1;1;2;0;0;0;0;0;0;1;0;2;0;0;3;2;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;27;Eleveld, J.H;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
7;D66;;;5206;95;2;184;4;76;24;152;66;68;52;6;1;72;4;122;70;55;92;118;41;45;237;11;133;107;70;14;0;85;21;17;3;8;20;16;14;2;29;17;85;73;77;49;35;142;29;3;1;7;9;101;94;118;66;51;174;44;10;4;4;9;67;66;97;104;47;43;90;72;15;75;68;56;59;53;101;92;45;10;51;6;114;52;35;94;125;96;64;36;5;18;1;0;7;4
;;1;Neijenhuis, S. J.;2378;55;2;84;3;27;12;71;38;34;30;6;0;33;2;57;40;28;50;70;25;20;61;2;43;33;21;7;0;47;9;8;1;3;10;8;9;2;24;10;40;39;31;27;21;44;11;1;0;3;8;61;56;57;44;24;50;22;7;0;3;7;30;35;57;44;25;22;44;37;4;43;31;22;37;32;44;45;18;5;23;3;47;27;17;44;45;23;16;6;2;4;0;0;3;2
;;2;Koopmans, R.L.;985;6;0;25;0;11;5;19;3;5;5;0;0;13;0;22;3;6;11;17;3;5;87;8;39;49;26;2;0;9;2;1;1;1;3;2;1;0;1;3;16;7;17;5;3;66;5;1;0;1;0;10;17;18;7;10;74;4;1;0;1;1;5;6;12;16;4;4;7;8;2;3;9;9;8;4;22;9;3;0;12;0;23;5;3;19;45;39;26;18;1;2;0;0;2;1
;;3;Elfvering, S.;164;0;0;4;0;2;1;6;3;6;1;0;0;2;1;4;0;3;6;2;3;3;1;1;4;4;3;0;0;1;0;0;0;1;1;0;0;0;0;0;6;0;0;3;2;0;2;0;0;0;0;3;1;3;2;3;3;0;0;0;0;0;5;3;2;6;2;4;1;4;1;2;5;3;1;3;3;8;5;1;0;1;0;4;1;4;0;3;0;0;0;1;0;0;0;0
;;4;Koekoek, F.J.;155;5;0;6;0;0;0;5;2;3;1;0;0;1;0;2;1;4;3;2;0;1;27;0;11;2;3;1;0;0;2;0;0;0;0;0;0;0;0;0;1;2;2;1;1;8;0;0;0;0;0;1;0;2;0;2;9;1;0;0;0;0;0;1;0;2;0;0;0;3;1;3;2;2;0;2;0;0;0;0;2;0;3;0;0;0;11;4;3;3;0;1;0;0;0;0
;;5;Kohsiek, H.W.;34;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;3;1;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2;1;5;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;6;Harbers, M.C;846;17;0;35;1;22;4;25;8;9;7;0;1;16;1;25;12;7;9;19;4;11;49;0;27;15;12;3;0;11;1;3;0;2;5;4;4;0;4;2;9;8;15;10;6;19;4;1;0;1;0;6;9;21;5;6;30;10;1;3;0;0;15;15;13;20;7;5;19;12;0;12;9;9;7;3;17;14;5;2;8;0;23;6;4;13;18;21;11;9;0;8;0;0;1;1
;;7;Steinmeier, F.E;56;1;0;4;0;0;1;1;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;2;0;1;1;0;3;3;1;1;0;3;1;0;0;0;0;0;0;1;0;0;1;4;0;0;0;0;1;2;0;4;6;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0
;;8;Meijer, D;255;5;0;13;0;8;1;11;8;3;5;0;0;3;0;6;8;4;7;2;1;2;1;0;1;0;3;0;0;3;0;1;0;0;0;1;0;0;0;0;4;3;5;1;1;1;0;0;0;0;1;9;3;7;2;2;0;2;0;1;0;0;7;4;6;9;5;3;4;3;0;6;7;4;2;6;3;0;6;1;3;1;11;7;6;7;1;0;2;0;0;1;1;0;0;0
;;9;Hermans, H.A.J.;7;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Hoogland, R.;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Eekhout, A.G;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Kronenburg - Edelaar, J.G.M.;67;0;0;3;0;2;0;4;0;1;1;0;0;1;0;1;1;1;0;1;2;1;4;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;1;2;0;0;0;0;1;3;1;1;1;1;0;0;0;0;0;0;1;3;2;0;2;0;3;0;2;0;1;0;2;2;0;0;1;2;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0
;;13;van Soolingen, M.P;30;0;0;2;0;0;0;2;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0
;;14;de Vries, J.W;33;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;2;0;2;0;0;1;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;van den Broek, I.M.;30;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;3;1;1;0;1;0;1;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Reijtenbagh, H.H;29;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0
;;17;Flos, M.G.M.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;18;van 't Hart, R.H.;5;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Klerk, T.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0
;;20;Paauwe, C.M.;32;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;21;van de Rijt, T.J.;13;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;Steen, R.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;de Vries, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Mekkes, G.D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Weesie, A.J.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Weijland, J.;20;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;2;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
8;Burgerbelangen;;;4801;76;0;98;11;56;58;120;111;79;72;6;4;84;10;102;94;90;85;143;74;62;107;9;82;77;57;35;1;133;61;23;22;28;54;61;50;1;42;11;64;29;92;72;34;41;36;10;7;4;8;93;51;148;81;39;59;45;14;8;8;16;67;83;88;26;54;23;34;60;8;48;40;79;37;82;84;108;49;13;80;10;38;61;22;103;27;78;40;13;14;31;6;10;31;6
