Verkiezing;;Gemeenteraad Westland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Naaldwijk Gemeentehuis Verdilaan 1;Naaldwijk Gemeentehuis Verdilaan 2;Naaldwijk Gemeentekantoor Ln vd Glazen Stad;Naaldwijk Basisschool de Regenboog;Naaldwijk Bernadetteschool;Naaldwijk Brandweerkazerne;Naaldwijk De Oude Kerk;Naaldwijk Fusica voormalige dansschool;Naaldwijk Gymzaal de Boemerang;Naaldwijk Gymzaal Wollegras;Naaldwijk Ontmoetingskerk;Naaldwijk Partycentrum De Binnenhof;Naaldwijk Theaterloods;Naaldwijk Wijkcentrum Hooge Hasta;Honselersdijk Basisschool De Hoeksteen;Honselersdijk De Hunselaer;Honselersdijk SV Sosefhal;Honselersdijk Zalencentrum Hemelsblauw;Maasdijk Dorpskerk;Maasdijk Wijkcentrum Prinsenhof;'s-Gravenzande Bibliotheek;'s-Gravenzande ISW Gasthuislaan;'s-Gravenzande Noorderkerk;'s-Gravenzande Prins Willem-Alexanderschool;'s-Gravenzande Sportlokaal Oudeland;'s-Gravenzande voormalig Gemeentekantoor;'s-Gravenzande Westlandhal;'s-Gravenzande Wijkcentrum Larix;'s-Gravenzande Zalencentrum De Brug;'s-Gravenzande Zalencentrum De Kiem;'s-Gravenzande Zwembad Maesemunde;Heenweg CBS De Kameleon;Monster Ontmoetingscentrum de Haven;Monster de Noviteit;Monster Fata Morgana;Monster Sporthal de Wielepet;Monster Sportpark Polanen;Monster Verenigingsgebouw De Hoeksteen;Monster Het Westerhonk;Ter Heijde Dorpshuis Het Vrondel;Poeldijk Basisschool  De Nieuwe Weg;Poeldijk Basisschool Verburch-hof;Poeldijk de Veiling;Poeldijk Vrienden Partycentrum;Wateringen Hofboerderij;Wateringen Ontmoetingsplek Joop;Wateringen Ontmoetingsruimte De Vang;Wateringen Parochiezaal De Kolenkit;Wateringen Sportvereniging VELO;Wateringen St. Jozefbasisschool;Wateringen 't Knooppunt Scouting;Wateringen Wijkcentrum Terra Nova;Kwintsheul Basisschool Andreashof;Kwintsheul Dorpshuis Kastanjehof;De Lier Basisschool Prins Willem-Alexander;De Lier Bibliotheek / De Viermaster;De Lier De Achtsprong (ingang Berkenlaan);De Lier Partycentrum 't Centrum 1;De Lier Partycentrum 't Centrum 2;De Lier Scouting;De Lier Sportcentrum Vreeloo 1;De Lier Sportcentrum Vreeloo 2;De Lier Wijkcentrum 't Anker;Mobiel Bijzonder Stembureau Careyn;Mobiel Bijzonder Stembureau Pieter van Foreest;Naaldwijk Gemeentehuis Verdilaan 1 MA;Naaldwijk Gemeentehuis Verdilaan 1 DI;Honselersdijk Zalencentrum Hemelsblauw MA;Honselersdijk Zalencentrum Hemelsblauw DI;Maasdijk Dorpskerk MA;Maasdijk Dorpskerk DI;'s-Gravenzande Zalencentrum De Kiem MA;'s-Gravenzande Zalencentrum De Kiem DI;Heenweg CBS De Kameleon MA;Heenweg CBS De Kameleon DI;Monster Ontmoetingscentrum de Haven MA;Monster Ontmoetingscentrum de Haven DI;Ter Heijde Dorpshuis Het Vrondel MA;Ter Heijde Dorpshuis Het Vrondel DI;Poeldijk Vrienden Partycentrum MA;Poeldijk Vrienden Partycentrum DI;Wateringen Wijkcentrum Terra Nova MA;Wateringen Wijkcentrum Terra Nova DI;Kwintsheul Dorpshuis Kastanjehof MA;Kwintsheul Dorpshuis Kastanjehof DI;De Lier Partycentrum 't Centrum 1 MA;De Lier Partycentrum 't Centrum 1 DI
;;49;Gardien- Reinders, J.A.;151;6;0;3;0;2;2;0;0;3;5;4;2;1;0;1;0;0;0;40;22;2;0;0;0;0;1;0;1;1;2;0;1;0;0;2;0;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;2;0;1;2;1;0;0;3;1;0;2;6;10;2;1;0;0;0;0;0;0;0;2;0;0;1;0;3;1
;;50;van der Meer, D.;70;6;4;5;3;2;3;1;0;0;3;8;1;2;0;0;0;0;2;3;4;1;0;1;0;0;1;0;0;1;1;1;0;3;0;0;1;0;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;GemeenteBelang Westland (GBW);;;9461;104;108;99;206;262;145;52;11;70;158;73;146;47;50;88;120;41;257;66;58;210;127;40;198;47;124;109;106;176;164;77;54;218;86;108;224;201;171;59;74;132;165;100;123;75;189;129;139;186;134;21;219;104;164;106;119;92;115;100;90;134;143;27;3;1;111;231;65;93;19;30;119;165;8;18;92;137;32;40;57;96;127;173;45;71;66;122
;;1;Keizer, R.K.;4135;53;50;45;73;127;86;18;7;41;61;47;79;24;24;37;43;18;95;35;24;118;61;21;88;20;71;49;64;90;75;37;26;111;42;53;113;116;97;20;36;32;37;35;36;26;52;61;54;58;36;11;81;33;69;36;52;34;53;43;40;56;49;12;2;1;54;98;23;44;11;12;56;94;5;9;47;71;18;18;24;18;47;64;17;23;37;51
;;2;van der Stelt, M.D.;1000;18;19;14;41;42;14;18;2;12;39;5;20;8;7;22;49;8;79;7;6;11;9;5;11;4;11;9;5;14;7;6;5;9;1;7;11;16;5;8;6;9;19;12;11;4;12;8;9;14;9;2;21;12;12;9;4;2;6;5;4;10;16;1;0;0;13;49;21;22;1;2;9;8;2;3;3;8;0;7;0;10;12;9;4;4;2;10
;;3;Voois, G.B.;262;1;2;0;5;0;3;0;0;1;1;0;2;3;1;0;0;0;5;0;0;3;4;0;4;0;0;2;2;3;0;6;0;23;19;9;38;18;18;1;7;2;0;1;0;1;3;1;4;1;2;0;4;1;2;0;0;0;3;2;0;4;1;0;0;0;0;0;0;2;0;0;3;0;0;0;15;16;2;5;0;2;0;3;0;1;0;0
;;4;van den Berg, A.J.;636;1;2;2;8;6;3;1;1;3;1;4;8;0;4;3;1;0;5;1;0;2;0;0;2;0;0;0;2;2;0;0;1;4;2;3;2;2;1;2;1;0;2;2;1;17;80;26;42;62;50;1;69;11;10;0;2;3;1;4;2;3;2;0;0;0;5;8;1;3;0;0;2;2;0;1;0;3;0;0;2;0;48;67;10;12;1;1
;;5;van Veen, J.;436;2;6;0;5;10;1;0;0;2;9;3;1;1;3;3;1;2;10;0;0;4;0;0;4;0;1;0;2;3;0;1;0;0;1;3;0;3;2;2;0;67;74;36;56;2;4;2;0;3;3;0;3;1;3;3;0;1;1;0;2;1;2;0;0;0;2;4;2;1;0;0;1;0;0;0;0;2;4;0;21;47;0;1;1;1;0;0
;;6;Lelieveld, R.G.A.;148;1;2;1;3;2;1;2;0;0;0;3;0;0;0;0;2;2;3;0;5;1;2;1;14;3;5;5;2;10;6;1;4;2;0;2;0;1;1;0;0;1;0;0;0;3;1;0;0;0;0;0;2;1;9;0;0;0;0;0;0;0;2;0;0;0;3;5;1;0;2;1;9;10;0;0;2;2;0;0;0;1;0;1;1;3;1;0
;;7;Jansen-van Voorthuizen, K;133;1;3;1;0;3;1;0;0;1;2;0;2;0;0;0;0;0;2;0;2;2;1;0;0;0;0;0;1;2;1;2;1;7;5;2;11;5;14;2;3;1;4;0;3;0;4;1;4;4;1;0;2;0;0;1;0;0;1;0;1;1;3;0;0;0;1;3;1;0;0;0;0;1;0;1;3;4;2;5;1;1;0;0;0;0;1;1
;;8;Kester, S.A.M.;172;4;0;11;13;14;3;3;0;2;11;6;5;1;1;7;2;2;10;5;2;0;0;3;2;1;3;2;0;1;2;1;2;0;2;0;0;2;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;2;1;0;1;6;0;0;2;2;1;0;0;0;6;13;2;1;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0
;;9;Kester, B.A.J.;147;2;3;0;4;4;0;0;0;2;3;0;3;0;1;0;0;0;1;0;0;1;1;0;0;3;1;0;1;2;0;2;0;0;2;0;2;0;1;0;0;2;1;0;1;2;0;3;0;2;3;0;2;19;25;4;0;2;0;0;0;1;0;0;0;0;2;3;0;1;0;0;0;4;0;0;0;1;0;0;0;0;3;1;9;15;2;0
;;10;Kras, D.J.P.;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;20;11;7;9;8;10;11;8;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13
;;11;Rijneveen, R.M.;150;0;1;1;0;1;1;0;0;1;3;0;2;0;2;3;3;0;6;1;2;0;1;0;0;0;1;2;2;0;2;0;1;1;2;1;1;2;3;0;1;2;0;2;0;2;7;10;1;7;4;0;8;14;13;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;5;1;0;0;4;1;0;0;1;1;3;1;3;2;0;1
;;12;Nunes Farinha Bessa-Pronk, E.;55;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;1;2;0;4;1;0;7;3;3;1;1;0;1;1;1;1;2;0;2;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;2;1;0;0;0;0;0;0;0;1;0;0
;;13;van der Steen, R.;91;1;0;0;1;0;2;1;0;0;0;0;4;0;2;0;0;0;2;0;0;5;5;1;0;4;0;6;2;7;8;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;1;0;2;0;0;1;1;0;0;0;3;0;0;0;1;0;0;11;0;0;0;0;0;0;0;0;0;3;0;1;0;0
;;14;Voskamp, P.C.;107;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;9;8;8;6;12;11;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;14
;;15;Voois, J.M.P.;42;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;1;1;0;0;0;0;4;0;0;2;1;1;1;10;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;2;1;0;0;0;0;0;0;0;0
;;16;van Tol, T.J.;64;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;4;0;0;2;0;7;15;0;1;2;0;3;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;3;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;17;Verkade, M.D.P.A.;54;3;2;0;0;1;1;0;0;1;0;1;0;1;0;0;3;4;2;0;0;2;0;0;0;1;1;0;0;0;0;0;0;2;0;0;2;2;1;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;4;1;1;0;0;0;1;0;0;0;2;0;0;0;4;0;0;0;0;0;0
;;18;Berendse, H.J.;50;0;1;3;7;1;1;1;0;0;3;0;3;0;0;1;2;0;3;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;3;1;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kerkhof, J.;47;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;4;2;0;0;1;0;1;4;2;9;0;0;2;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Nunes Farinha Bessa, K.C.;90;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2;0;2;4;3;2;6;0;0;6;2;2;17;7;8;0;0;0;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;4;1;1;0;0;2;0;0;1;0;0;1;0;0;0;1;0
;;21;Dekkers, P.;83;3;1;2;6;18;2;0;0;0;3;1;2;1;0;2;0;1;2;0;0;0;0;0;0;2;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;1;0;3;0;0;2;0;1;3;3;3;1;0;0;0;1;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;22;van den Berg, G.J.;63;2;0;2;2;2;2;0;0;0;0;0;0;0;0;1;3;3;11;0;0;0;0;0;0;0;2;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;1;2;0;0;0;1;1;3;5;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2
;;23;Franken, G.E.P.M.;60;3;0;3;4;7;4;1;0;2;5;2;3;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;6;0;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;Meinderts, J.A.M.;25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;1;0;3;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;25;Smit, W.;32;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;26;van Leeuwen, J.N.M.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
;;27;van der Steen, J.W.;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;3;2;0;9;1;7;4;4;0;0;0;0;0;0;0;0;0;0;13;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;28;de Brabander, J.J.B.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;3;0;0;0;1;1;1;0;0;0;0;0;1;0;3;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;29;van Nierop, M.H.;129;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;3;1;1;0;2;0;0;1;2;8;12;7;8;18;12;1;18;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;6;10;0;1;0;0
;;30;Blom, J.;49;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;1;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;5;5;0;2;2;4;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4
;;31;van der Arend, A.J.M.;16;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0
;;32;van Adrichem, F.W.;160;0;2;0;1;2;2;3;0;0;1;0;0;0;0;0;2;1;2;0;2;3;0;0;3;0;2;2;0;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;9;15;9;20;12;6;11;17;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14
;;33;van Geest, C.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;4;1;2;1;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Koeze, E.;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;1;0;0
;;35;Patijn, J.A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;36;Palm-de Winkel, R.H.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van der Pot, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Zijden, C.J.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Mostert, M.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Arkesteijn, N.G.J.;55;1;0;1;25;5;1;2;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;2;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0
;;41;van den Berg, M.J.;14;1;0;0;2;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Boeters, J.A.M.;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2;0;2;1;2;10;5;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0
;;43;van Spronsen, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Treffers-Bouwman, J.;54;2;0;1;0;1;3;0;0;0;3;0;0;0;0;4;1;0;11;1;0;2;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;0;1;3;1;4;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
;;45;Tameling, L.;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van der Helm, B.C.;107;0;3;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;18;4;3;5;5;10;6;8;5;8;4;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;1;2;2;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;47;Hoogerbrugge, P.N.;102;1;2;6;0;2;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;7;8;7;3;7;3;10;12;4;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8
;;48;Haaring, W.;30;0;1;1;1;0;0;0;0;0;2;0;1;0;1;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;49;Ferwerda, M.R.;197;2;2;1;0;3;1;0;0;0;2;0;1;3;1;3;0;0;2;1;0;3;31;1;48;0;6;2;1;5;13;0;1;1;0;3;2;1;0;0;0;2;2;1;4;0;0;2;0;2;0;0;0;0;0;0;0;1;0;1;0;1;4;0;0;0;2;1;0;0;0;0;8;9;0;1;0;0;0;2;5;3;0;4;0;0;1;1
;;50;Rijneveen, F.C.;128;1;1;0;1;0;2;1;0;1;2;0;2;1;0;1;0;0;0;0;0;8;0;0;0;0;3;0;0;1;2;1;2;19;3;2;9;7;6;6;2;2;0;0;0;2;0;1;1;2;1;0;0;3;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;1;0;8;11;2;1;0;0;1;0;0;0;0;0
5;VVD;;;3814;67;37;52;107;104;59;16;8;17;61;42;65;35;22;34;44;19;91;70;45;79;52;22;76;21;61;21;26;89;81;45;21;77;31;39;89;53;44;42;12;27;49;37;41;50;57;40;55;111;63;8;91;56;90;27;32;25;47;46;41;40;31;4;2;3;55;89;25;36;25;24;48;93;1;9;30;57;13;6;21;24;38;61;19;20;24;47
;;1;Varekamp, P.;1839;42;22;25;59;53;33;5;5;15;36;31;41;21;10;18;19;11;55;20;11;38;19;13;34;7;31;9;13;50;50;21;7;28;17;13;16;21;15;6;7;14;21;17;12;19;23;22;25;45;24;3;42;20;28;17;14;12;29;31;20;27;22;2;1;3;35;43;16;20;13;10;29;52;0;5;10;19;8;1;15;13;16;29;12;9;18;26
;;2;Bakker, G.M.;138;2;1;3;3;1;1;0;0;0;4;2;3;2;1;0;1;0;1;0;1;1;0;1;1;0;1;0;0;2;0;4;1;1;2;2;11;6;4;17;1;1;0;5;1;1;0;1;3;2;4;0;1;1;3;1;1;1;1;0;2;0;0;0;0;0;1;4;0;1;1;0;3;0;0;1;5;8;0;0;0;0;0;2;0;0;0;2
;;3;van Erven, S.;440;5;3;6;14;14;10;3;0;0;7;3;9;4;3;2;7;1;13;6;1;8;4;1;4;2;3;4;3;1;12;5;3;17;6;1;22;8;11;8;1;7;6;5;4;2;13;5;6;11;11;2;7;2;7;3;4;6;3;3;5;1;6;1;1;0;9;14;2;4;3;2;3;10;1;0;3;9;0;1;1;1;4;8;1;1;3;4
;;4;van Dijk, B.A.;189;1;3;3;3;2;1;0;1;1;1;0;2;2;3;2;0;0;1;1;0;14;5;3;4;2;7;0;1;3;2;3;3;14;0;9;12;5;1;4;2;0;5;0;4;4;0;0;3;4;3;0;2;1;4;0;0;0;2;2;2;3;0;0;0;0;1;2;1;0;0;0;0;8;0;0;6;3;2;4;0;1;0;1;0;0;0;0
;;5;Batelaan, R.;302;6;1;3;4;9;2;3;1;0;5;1;2;2;3;3;2;0;4;36;29;5;9;1;8;3;3;0;1;2;2;2;0;6;3;8;18;6;11;2;1;1;6;4;3;4;1;2;1;4;0;0;1;2;1;0;1;2;0;2;0;1;0;1;0;0;5;3;0;4;6;8;4;5;0;2;0;10;2;0;0;6;0;0;0;1;0;2
;;6;Zuidhoek, C.;55;1;1;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2;0;1;0;2;1;1;0;2;8;10;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;3;2;0;1
;;7;van der Geest, D.W.;41;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;7;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0
