Verkiezing;;Gemeenteraad Voorschoten 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorschoten;;;;;;;;;;;;;;;;;;;;;
Nummer;;0626;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kerk Het Kruispunt (A);Stembureau Kerk Het Kruispunt (B);Stembureau Voorhuis Dorpskerk;Stembureau Alettahof (A);Stembureau Alettahof (B);Stembureau Intratuin;Stembureau De Boschbloem (A);Stembureau De Boschbloem (B);Stembureau Bondsgebouw (A);Stembureau Bondsgebouw (B);Stembureau Sporthal De Vliethorst;Stembureau Hotel De Gouden Leeuw;Stembureau BplusC (A);Stembureau BplusC (B);Stembureau Cultureel Centrum;Stembureau De Boschbloem (ma);Stembureau Bondsgebouw (ma);Stembureau De Boschbloem (di);Stembureau Bondsgebouw (di)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;2251 BH;2251 BH;2251 BS;2253 RP;2253 RP;2253 JP;2252 EA;2252 EA;2251 LG;2251 LG;2251 CT;2252 AG;2253 CE;2253 CE;2252 HH;2252 EA;2251 LG;2252 EA;2251 LG
6;Partij van de Arbeid (P.v.d.A.);;;898;33;37;58;56;60;58;33;42;42;31;56;28;26;34;75;48;74;44;63
;;1;Posthuma, A.L.R.;377;12;17;19;27;28;30;16;16;12;14;26;12;12;13;36;19;22;21;25
;;2;de Graaf, A.B.;93;4;4;9;9;4;4;4;3;6;1;8;4;2;1;5;3;13;3;6
;;3;van Hellemondt, R.E.;243;9;11;19;12;19;16;12;11;14;11;10;7;8;8;15;14;25;7;15
;;4;Overbosch, H.;25;1;0;0;0;1;0;0;1;1;2;4;0;0;0;5;2;4;3;1
;;5;de Pater, J.K.;6;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2
;;6;Vlug, J.C.W.;36;1;2;2;1;1;1;0;4;2;2;0;2;0;1;4;7;2;1;3
;;7;Vianen, D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;Schoenmakers, R.W.A.;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Geltink, M.J.;10;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;5
;;10;van der Krogt, D.J.G.M.;30;2;1;2;0;0;1;1;3;3;0;5;0;0;0;1;2;2;4;3
;;11;Driessen, M.J.;15;1;0;0;1;4;0;0;0;0;0;0;0;3;1;3;0;1;0;1
;;12;Spendel, J.M.;14;1;1;2;0;1;1;0;0;0;0;3;1;0;0;1;0;1;2;0
;;13;Nieuwenhuijsen, H.R.;5;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;14;Roelfsema, J.H.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;van Oers, M.C.;3;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;16;Haaksman, D.W.;7;0;0;0;1;0;1;0;2;0;0;0;0;1;0;1;1;0;0;0
