Verkiezing;;Gemeenteraad Nieuwkoop 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nieuwkoop;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0569;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kaleidoskoop De Verbinding;Stembureau De Rank;Stembureau Ipse de Bruggen;Stembureau Kaleidoskoop theaterzaal;Stembureau De Rietzanger;Stembureau De Schutse;Stembureau IKC de Vaart;Stembureau Parola;Stembureau Koeleman Potplanten B.V.;Stembureau Gemeentekantoor Ter Aar;Stembureau De Ringkant;Stembureau Gemeentehuis Nieuwveen;Stembureau Party-Centrum 't Trefpunt;Stembureau Mobiel stembureau;Stembureau Kaleidoskoop Nieuwkoop;Stembureau Kaleidoskoop Nieuwkoop;Stembureau Gemeentekantoor Ter Aar;Stembureau Gemeentekantoor Ter Aar;Stembureau Gemeentehuis Nieuwveen;Stembureau Gemeentehuis Nieuwveen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;13;14;16;21;114;115;214;215;314;315
Postcode;;;;;2421 EX;2421 BE;2441 CP;2421 EX;2431 AD;3652 LH;2461 BT;2461 CE;2461 TZ;2461 CC;2441 AD;2441 LE;2435 XP;;2421 EX;2421 EX;2461 CC;2421 CC;2441 LE;2441 LE
;;13;van der Voort, A.W.G.;20;0;1;2;0;0;0;0;6;2;2;1;1;0;2;0;0;2;1;0;0
;;14;Meertens, J.W.C.;13;8;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;15;Kooistra, K.C.;15;5;0;2;3;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0
;;16;Rolf, L.V.J.M.;15;0;0;0;0;0;0;0;0;0;0;0;6;3;2;2;0;0;0;0;2
;;17;Wijfjes, A.H.M.;10;0;0;0;2;0;0;5;0;0;1;1;0;0;0;0;1;0;0;0;0
;;18;Roos, J.;3;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Spoorendonk, M.;13;0;0;0;3;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Post, A.H.;8;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;van der Meulen, H.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
;;22;van Bunnik, A.;8;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van der Vlugt-Langerak, A.C.;10;1;0;0;0;0;0;2;3;0;0;0;0;0;2;0;0;0;2;0;0
;;24;van der Zwet, G.M.;10;0;0;0;0;8;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;25;van Dalen, F.J.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Bunnik-Block, I.;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Schreuder, P.P.;3;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;28;van den Belt, A.M.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;;29;de Raay, C.J.M.;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Aartman, J.A.G.;4;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0
;;31;van Diemen-Schrama, T.N.;20;1;0;1;2;1;0;0;0;0;0;5;2;2;0;3;1;0;0;1;1
;;32;Tersteeg, J.L.M.;5;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;33;van Kessel, M.J.J.;12;0;0;0;0;0;0;0;0;0;0;0;1;3;8;0;0;0;0;0;0
