Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sint Jorisparochie;Gymzaal P.C. Hooftstraat;Gasterij de Ontmoeting;Sporthal De Wissel;Kerk de Levensbron;Trefpunt Oost;Wilhelminakerk;WVC Slikkerveer;Muziekvereniging Harmonie Slikkerveer;Boezemkerk;WVC Bolnes;De Klinker;Kerk PG Bolnes;De Korenbloem;Opstandingskerk Rijsoord;Kerk Rijsoord;Sporthal Drievliet;Sionskerk;Clubgebouw Rowdies;Verpleeghuis Salem;'t Ronde Sant;Gymzaal naast OBS de Piramide;Christus is Koningkerk;Ichthuskerk;Goede Herderkerk;Gemeentehuis MAANDAG;Wilhelminakerk MAANDAG;Opstandingskerk Rijsoord MAANDAG;Clubgebouw Rowdies MAANDAG;Gemeentehuis DINSDAG;Wilhelminakerk DINSDAG;Opstandingskerk Rijsoord DINSDAG;Clubgebouw Rowdies DINSDAG
Gebiednummer;;;;;1;2;3;4;5;6;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;101;109;118;122;201;209;218;222
Postcode;;;;;2981 EA;2982 PE;2985 BK;2982 BD;2982 CM;2985 BV;2985 CG;2983 SH;2983 AT;2983 CL;2987 AK;2987 CR;2987 AV;2987 AK;2989 AW;2988 BB;2988 BA;2986 GK;2984 BW;2986 AE;2986 AZ;2984 GK;2981 AX;2983 HK;2986 GH;2982 BT;2981 EA;2983 SH;2988 BB;2986 AE;2981 EA;2983 SH;2988 BB;2986 AE
5;CDA;;;1356;64;17;13;69;21;93;70;42;33;59;17;88;30;44;14;56;23;21;11;14;8;65;22;79;119;43;40;27;28;19;40;15;31;21
;;1;Overheid, T.;737;21;5;6;45;16;56;39;16;13;29;8;53;16;22;7;37;18;11;6;8;3;37;10;45;66;20;18;13;20;12;14;8;22;17
;;2;Mijnders, N.V.;114;10;4;0;2;0;11;4;2;6;13;1;4;2;1;1;2;3;1;0;2;0;8;1;6;15;3;3;2;0;1;4;0;1;1
;;3;van der Heijde-Keijzer, M.;126;2;3;3;4;2;5;3;6;5;9;0;12;5;4;1;6;1;0;3;2;2;4;0;10;9;2;7;2;3;0;3;4;3;1
;;4;Belo, N.A.;6;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0
;;5;Hulhoven, J.F.;18;0;3;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;7;1;0;0;1;1;0;0;0
;;6;de Klerk, P.;50;0;0;0;1;1;5;4;1;0;1;0;2;1;1;3;3;0;1;0;2;1;3;2;3;6;0;1;1;1;1;2;2;0;1
;;7;Bilik, V.;74;24;2;0;2;0;0;7;0;0;0;2;1;0;0;1;0;0;3;0;0;0;3;6;0;7;3;0;1;0;0;12;0;0;0
;;8;Bontenbal, W.;8;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;9;Kleiker, M.;18;2;0;0;0;0;4;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;1;0;0;1;1
;;10;Verhaar, J.J.;15;0;0;1;0;0;0;2;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0
