Verkiezing;;Gemeenteraad Teylingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Teylingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Julianakerk;Gemeentekantoor Teylingen;Het Onderdak;De Coy (Stichting Oud Sassenheim);Sportcentrum De Wasbeek;De Molen van Sassenheim;Sassembourg;Bibliotheek Bollenstreek Sassenheim;"Soc. Cultureel Centrum ""Het Trefpunt 1""";"Soc. Cultureel Centrum ""Het Trefpunt 2""";Bestuurscentrum Voorhout 1;Sportcafe De Eijck;Bestuurscentrum Voorhout 2;De Roef (bij St. Bartholomeuskerk);"Jeugdcentrum ""De Spelewey""";Jongerencentrum @hok;Historische Kring Voorhout;"Cluster ""Hoogh Teylingen""";TH. Sport & Fitness;Bestuurscentrum 1 14 mrt;Bestuurscentrum 1 15 mrt;Bestuurscentrum 2 14 maart;Bestuurscentrum 2 15 maart;Trefpunt 1 14 maart;Trefpunt 1 15 maart;Gemeentekantoor Teylingen 14 maart;Gemeentekantoor Teylingen 15 maart;Mobiel stembureau Warmond Buiten/BC
5;GROENLINKS;;;1521;73;63;71;71;75;74;36;30;118;87;71;53;63;60;62;38;60;78;15;28;38;23;47;43;52;34;50;8
;;1;Verhoeff, D.;479;39;29;28;32;40;45;13;12;24;14;20;14;14;12;15;13;13;15;1;7;10;6;12;2;7;15;25;2
;;2;Gonzalez, L.N.;646;30;27;28;29;25;23;16;13;18;17;41;29;38;35;37;18;30;49;9;17;20;13;27;9;14;13;19;2
;;3;Blom, L.N.M.;55;0;0;1;0;3;0;1;1;17;11;1;0;1;0;1;0;0;3;0;2;0;1;1;5;6;0;0;0
;;4;Schrage, A.J.G.;178;3;2;7;4;4;2;4;0;44;32;0;1;3;6;1;1;4;1;1;0;6;0;2;22;22;0;2;4
;;5;Bakker, W.H.L.;26;0;2;2;3;0;0;0;1;0;0;0;0;0;2;5;3;2;2;0;0;2;0;1;0;0;1;0;0
;;6;van Epen, D.;13;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;5;1;3;0;0;1;1;0;0;0;0;0
;;7;Noordermeer, E.;16;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;0;2;0;1;0;0;2;0;1;1;1;0
;;8;Herrendorf, T.B.;12;0;0;0;0;1;0;1;0;0;0;3;0;1;0;0;0;3;1;0;0;0;1;0;0;0;0;1;0
;;9;Veldhuizen, J.;23;0;1;0;1;0;2;0;2;4;5;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;2;2;0
;;10;van Hees, S.T.F.;43;1;2;4;2;2;1;0;0;10;7;1;3;0;1;1;1;1;0;1;0;0;0;1;1;1;2;0;0
;;11;Salman, W.E.N.;9;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0
;;12;Hoogink, J.L.;21;0;0;1;0;0;0;0;1;0;0;4;4;3;1;1;0;1;3;0;1;0;1;0;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.);;;1231;71;42;47;66;73;63;42;28;42;37;48;34;46;65;72;19;54;36;14;37;26;26;29;33;50;50;80;1
