Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau de Agnietenkapel;Stembureau Gymzaal Herpstraat;Stembureau de Speelwinkel;Stembureau Sociëteit Concordia;Stembureau Gereformeerde gemeente Gouda;Stembureau Gereformeerde gemeente Gouda;Stembureau Gereformeerde gemeente Gouda;Stembureau Cultuurhuis Garenspinnerij;Stembureau de Westerkerk;Stembureau Gymzaal G. Leeustraat;Stembureau Ontmoetingscentrum De Walvis;Stembureau Gymzaal Columbuslaan;Stembureau Gymzaal Coniferensingel;Stembureau Huis van de Stad (R);Stembureau De Dick van Dijk Hal;Stembureau Huis van de Stad (L);Stembureau Huis van de Stad (R);Stembureau Huis van de Stad (R);Stembureau De Dick van Dijk Hal;Stembureau De Dick van Dijk Hal;Stembureau Sportcentrum de Mammoet (L);Stembureau Sportcentrum de Mammoet (R);Stembureau De Veste;Stembureau Vaste Burcht;Stembureau Gymzaal Brittenburg;Stembureau Sportcentrum de Mammoet (L);Stembureau Sportcentrum de Mammoet (L);Stembureau Buurthuis De Buhne;Stembureau Hervormd centrum De Brug;Stembureau Party- & Zalencentrum Le Patapouf;Stembureau Wijkvereniging Achterwillens;Stembureau Chocoladefabriek;Stembureau De Zuidrandflat;Stembureau Nelson Mandela Centrum;Stembureau Buurthuis De Kade;Stembureau Gymzaal J. den Haenstraat;Stembureau CVV de Jodan Boys;Stembureau De Molenkap;Stembureau De Oostpoort;Stembureau Sporthal de Zebra;Stembureau Gymzaal Middenmolenlaan;Stembureau Sporthal de Zebra;Stembureau Sporthal de Zebra;Stembureau Kindcentrum De Ontdekkingsreizigers
Gebiednummer;;;;;101;102;105;106;108;115;116;201;205;206;207;302;304;305;311;312;315;316;325;326;401;402;404;407;409;415;416;501;505;506;507;602;603;605;607;608;700;702;703;706;707;715;716;901
Postcode;;;;;2801 GR;2801 CR;2801 VM;2801 PJ;2801 SB;2801 SB;2801 SB;2802 BC;2802 LD;2802 RZ;2802 SB;2803 ET;2803 JH;2803 PG;2803 WH;2803 PG;2803 PG;2803 PG;2803 WH;2803 WH;2804 RT;2804 RT;2804 RS;2804 XG;2804 ZZ;2804 RT;2804 RT;2805 VC;2805 BP;2805 CG;2805 DZ;2806 CA;2806 DC;2806 JM;2806 PD;2806 DK;2806 HC;2807 EC;2807 KL;2807 DZ;2807 EC;2807 DZ;2807 DZ;2809 RB
;;5;Schaddelee - van Bodegraven, A.S.;61;2;0;1;2;4;0;2;1;1;3;0;2;0;3;2;5;1;0;0;1;0;1;3;3;1;1;1;2;2;1;3;4;1;0;0;0;1;1;2;2;0;1;1;0
;;6;Steenbergen, D.F.;54;1;1;1;1;0;0;0;0;4;0;2;2;3;1;3;2;2;2;0;0;0;0;1;5;3;0;0;0;2;2;1;4;0;1;3;2;0;1;1;1;0;0;0;2
;;7;Wanders, A.R.;24;2;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;2;2;2;0;0;0;0;0;0;3;2;0;3;2;0;0;0;1;0;0;0;1
;;8;Jacobs, J.J.L.;14;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;2;0;1;0;0;3;0;0;0;0;0;0
;;9;Baas, J.R.;30;0;2;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;7;0;0;5;1;1;2;0;0;1;0;1
;;10;Sneep, E.;67;1;0;0;0;2;0;0;0;1;5;0;1;1;2;0;2;1;3;1;0;1;1;3;3;1;2;1;1;0;0;1;0;0;0;2;3;0;3;4;2;5;6;7;1
;;11;Zuurmond - Geelhoed, R.;31;1;0;2;0;1;1;0;1;2;2;0;1;1;0;2;1;0;0;0;2;0;0;0;0;1;1;0;1;2;2;2;0;0;0;1;0;0;0;2;0;0;0;1;1
;;12;de Haan - de Jong, M.E.;129;2;0;4;3;0;0;0;1;1;0;0;4;2;1;4;3;1;1;0;1;3;0;7;2;0;1;4;7;8;3;4;2;3;2;0;8;5;2;11;10;10;4;4;1
;;13;Hamm - van Bodegraven, P.C.;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;3;0;0;0;1;1;0;0;1;0;1;0;0;0
;;14;de Vries, M.J.;34;0;1;0;0;0;0;0;0;2;0;0;1;0;3;0;3;4;4;0;0;0;0;0;4;2;0;0;2;1;3;0;0;0;0;2;1;0;0;0;1;0;0;0;0
;;15;Klein Haneveld, I.;79;1;3;1;1;0;1;0;0;2;1;8;3;2;1;1;1;1;4;0;2;0;1;5;8;5;0;2;5;1;1;0;1;2;4;1;1;0;0;1;3;3;1;0;1
;;16;Riet, A.M.;18;0;0;0;0;1;0;1;0;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;3;1;0;0;1;1;0;0
;;17;Oosterom, T.P.;63;1;3;0;0;4;0;0;4;5;0;2;1;3;0;0;1;0;1;1;0;0;2;0;1;2;1;2;1;1;1;1;1;5;1;2;1;1;7;4;2;1;0;0;0
;;18;Eilander, T.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;3;0;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;19;Domen - Kooijman, S.E.;32;2;0;0;1;0;0;2;0;2;0;0;1;1;0;0;2;0;0;0;0;2;1;2;0;3;0;1;4;0;1;0;0;1;0;1;3;0;1;0;0;0;0;0;1
;;20;Boegheim - Odushola, F.E.A.;34;0;1;1;0;0;0;0;0;0;1;1;4;0;0;1;3;0;1;0;0;1;0;1;1;2;2;0;2;0;1;1;0;0;0;2;3;0;0;1;2;0;0;2;0
;;21;Kolkman, W.H.;6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;de Ridder - Sneep, N.A.;34;0;0;1;0;1;0;0;0;2;0;0;2;0;1;1;1;1;1;0;0;0;0;0;2;0;0;0;6;2;0;0;1;3;2;1;2;0;1;2;0;0;0;1;0
;;23;Voogt, A.;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;2;1;0;2;0;0;0;0;1;1;2;0;0;1;0;1;1;0;0;0;0;0;0;0
;;24;van Beijnum, C.C.;47;0;3;4;2;0;0;0;1;0;1;0;3;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;3;0;2;1;3;1;2;0;9;0;2;3;0;2;0;0;0
;;25;van den Berg - de Hek, M.Z.;24;0;0;1;0;0;0;0;0;1;0;1;6;2;0;1;2;1;1;0;1;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1
;;26;van Dolder, G.;15;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;2;2;0;1;0;0;0;0;0;0;0;0
;;27;Radder, T.A.;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0
;;28;Liefaart - Scheele, L.;13;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;3;1;0;0;0;0;0;1;0;2;0;0;0;0
