Verkiezing;;Gemeenteraad Papendrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Papendrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0590;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Mobiel stembureau Marktplein;Morgensterkerk;Kindcentrum Oranje Nassau;RK-Parochie;Bethlehemkerk;Sionskerk;De Viermaster;De Spil;De Lage Waard;Mobiel stembureau parkeerplaats Wilgendonk;Samenwerkingsverband Drechtsteden;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Prins Florisschool;Mobiel stembureau Marktplein;Mobiel stembureau Marktplein;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau Dienstencentrum;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Mobiel stembureau parkeerplaats PKC
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;3351 PB;3351 PB;3353 VD;3353 AT;3353 VJ;3351 HA;3351 JT;3351 GZ;3352 BM;3352 VH;3355 BM;3355 RP;3354 BR;3356 BG;3356 LC;3356 DA;3351 PB;3351 PB;3355 BM;3355 BM;3354 BR;3354 BR;3356 BG;3356 BG;3356 LC;3356 LC
;;9;de Keizer, S.M.;21;0;1;2;1;0;0;1;1;0;1;0;1;0;0;1;1;2;0;2;1;2;1;1;0;0;2
;;10;Sonneveld, G.C.;16;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;5;0;0;0;1;2;2
4;ChristenUnie;;;1294;58;86;61;37;58;65;104;36;80;63;51;32;19;20;17;50;88;65;36;57;27;42;21;42;35;44
;;1;van Erk, J.L.;676;21;43;37;21;25;30;52;14;45;40;28;17;17;8;10;15;50;33;23;32;12;24;17;25;18;19
;;2;Bezemer, H.G.;82;2;6;2;3;7;2;9;1;2;6;2;0;1;2;1;2;8;6;2;1;4;2;1;4;4;2
;;3;den Dekker, A.P.J.;100;3;12;6;2;5;3;11;4;1;3;3;3;0;2;2;12;5;2;3;5;1;2;1;5;0;4
;;4;Stigter, A.A.S.;171;9;12;9;3;9;8;11;3;15;6;4;5;1;4;0;10;13;9;2;11;3;8;1;2;3;10
;;5;den Boef, D.H.;35;5;0;1;2;0;7;8;3;0;0;3;1;0;0;0;0;0;1;0;1;0;0;0;0;2;1
;;6;Rietveld, T.W.;56;1;4;0;3;2;2;7;3;4;3;1;4;0;0;0;5;6;2;0;2;2;0;0;0;1;4
;;7;de Vos-Kleine, M.;25;5;1;2;0;2;0;2;0;0;4;4;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0
;;8;Klein, M.D.;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
;;9;Meerkerk, P.J.;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Barlag-Los, P.G.;18;0;0;0;1;2;4;0;1;2;0;1;0;0;0;1;0;1;0;0;0;0;1;0;3;0;1
;;11;Lindhout, W.;17;2;1;0;0;2;2;0;0;0;0;0;1;0;2;0;0;1;2;0;1;0;2;0;0;1;0
;;12;Verheij, E.G.;7;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
;;13;Rietveld, A.;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;14;Lindhout-Dijkshoorn, M.E.;9;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;0
;;15;Koutstaal, P.W.;13;2;0;0;0;0;0;0;0;2;0;0;1;0;1;0;3;1;2;0;1;0;0;0;0;0;0
;;16;Kool-Pille, J.B.J.;5;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;Verhoeven, M.;6;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;18;Kooijman-van Dijk, R.J.A.;29;2;2;2;0;1;2;2;1;2;1;1;0;0;0;2;0;0;2;4;2;1;0;0;0;1;1
;;19;Scheurwater, W.C.;8;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0
;;20;Huijzer, M.W.;25;2;0;1;1;1;1;1;2;4;0;3;0;0;1;0;2;1;0;1;0;2;0;0;0;1;1
5;Onafhankelijk Papendrecht;;;1876;103;103;75;33;130;58;67;85;95;77;69;64;32;14;23;92;121;121;76;113;41;93;19;43;55;74
;;1;Lammers, R.;981;63;57;43;18;58;31;36;39;41;39;49;29;22;7;10;40;71;53;47;43;27;56;13;23;26;40
;;2;Spitsbaard, P.C.;260;14;20;10;3;23;5;11;13;10;14;2;13;4;0;2;10;21;22;6;19;0;13;0;3;9;13
;;3;Hardam, M.G.C.H.;39;1;1;2;1;2;5;2;2;4;0;2;0;0;1;0;3;2;3;0;2;0;1;1;1;2;1
;;4;Hoekstra, H.C.T.J.;131;8;11;6;2;8;2;3;10;10;2;7;2;0;2;3;3;9;7;5;11;1;5;0;9;5;0
;;5;de Boom, S.;121;1;3;5;3;6;5;6;7;9;5;5;3;0;0;1;9;6;8;7;12;2;7;0;2;4;5
;;6;den Dunnen, D.H.;41;2;0;1;0;2;3;3;4;0;0;0;6;0;0;0;4;0;2;0;1;2;2;0;3;4;2
;;7;Verschuren, S.R.;83;3;3;4;1;7;0;0;1;7;2;0;4;2;0;0;7;3;11;4;7;2;2;1;0;3;9
;;8;Acharki, S.;26;0;0;2;0;12;0;0;4;0;0;0;0;0;0;0;1;1;2;1;1;1;0;0;0;1;0
;;9;Haj Hussein, A.;43;5;2;0;0;5;0;1;0;6;0;1;1;2;1;4;1;2;0;3;3;3;0;1;1;0;1
;;10;Brands, I.;35;1;0;1;1;1;3;0;1;2;1;1;2;0;0;2;5;0;1;0;9;0;2;0;0;0;2
;;11;van Zandbeek, R.J.A.;9;1;3;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;12;van Duren, B.;21;0;2;1;0;3;1;1;1;0;0;1;0;0;0;0;2;1;7;0;1;0;0;0;0;0;0
;;13;Vermeulen, A.;33;0;0;0;0;1;0;2;0;0;7;1;1;0;1;0;7;2;2;0;2;0;2;3;1;1;0
;;14;Sigterman, M.C.G.;25;2;1;0;1;0;2;2;1;1;5;0;2;1;1;0;0;1;1;0;0;3;0;0;0;0;1
;;15;van Tuijl, G.J.W.;28;2;0;0;2;2;1;0;2;5;2;0;0;1;0;1;0;2;2;1;2;0;3;0;0;0;0
6;D66;;;1046;65;64;22;13;38;35;39;47;66;39;40;27;13;10;27;52;58;53;55;92;24;40;6;38;39;44
;;1;van Es, T.C.;663;37;44;8;9;25;22;29;27;41;23;26;21;7;9;15;37;40;27;42;52;16;24;3;24;26;29
;;2;van Heteren, N.;120;9;10;3;3;1;4;2;5;9;8;2;4;0;0;4;3;4;8;6;15;3;3;0;6;6;2
;;3;Snaathorst, D.;50;3;4;7;0;1;0;2;1;3;2;2;1;0;0;5;2;3;2;0;3;1;4;0;3;1;0
;;4;Stoop, I.R.;73;4;2;0;0;8;3;3;4;4;3;4;1;2;0;2;6;0;7;2;10;0;2;0;0;2;4
;;5;Hardenbol-Kroek, Y.W.;19;0;0;1;1;2;0;1;1;0;1;2;0;1;0;0;0;4;1;2;1;0;0;1;0;0;0
;;6;Suijker, S.;28;3;1;3;0;0;0;1;5;4;0;0;0;0;0;0;2;1;0;1;1;0;1;0;0;4;1
;;7;Hardenbol-Kroek, W.M.;42;3;1;0;0;0;4;1;4;1;1;1;0;2;1;1;2;0;4;1;5;0;4;0;4;0;2
;;8;Rietveld, G.;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;van der Linden, J.;10;2;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
;;10;van Hal, L.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;1;0;0;2
;;11;Reuwer-Verheij, J.R.;31;4;1;0;0;0;2;0;0;3;1;0;0;0;0;0;0;5;2;1;4;4;0;1;0;0;3
7;Staatkundig Gereformeerde Partij (SGP);;;927;64;47;48;15;42;58;90;38;20;24;35;11;15;15;13;35;66;45;38;45;15;34;22;47;17;28
;;1;Kosten, A.J.;617;37;35;37;11;27;35;59;22;15;19;30;7;9;12;9;21;37;32;27;33;10;22;12;30;9;20
;;2;Boersma, A.;93;11;8;2;1;3;4;10;3;3;0;3;0;0;3;0;2;11;2;3;3;0;5;4;6;2;4
;;3;Goudriaan, W.;79;5;4;7;1;5;2;7;4;0;1;2;0;0;0;2;7;7;4;1;2;5;4;3;3;3;0
;;4;Leenhouts, C.M.;13;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;2;2;1;0;0;0;0;2;0
;;5;Hoogland, M.C.;22;2;0;0;0;2;0;2;1;0;1;0;0;4;0;1;2;1;0;0;2;0;2;1;0;0;1
;;6;Stam, G.;5;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;7;van Dam, W.;6;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;8;Voorwinden, A.;16;1;0;0;0;1;2;5;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0
;;9;de Waard, J.;7;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
;;10;van der Welle, J.P.;11;0;0;0;0;0;5;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0
;;11;Voogt, A.H.;25;2;0;0;0;0;3;0;4;0;0;0;2;0;0;0;0;2;4;1;1;0;0;0;4;1;1
;;12;Voogt, W.;7;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;13;Vlot, A.;12;3;0;0;0;1;1;2;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0
;;14;de Vries, M.J.;14;1;0;2;0;0;0;0;1;1;1;0;0;2;0;0;1;1;0;0;2;0;0;0;2;0;0
8;Partij van de Arbeid (P.v.d.A.);;;816;34;76;39;13;37;31;47;27;45;34;27;25;15;6;22;31;54;56;44;38;21;33;8;19;8;26
;;1;Yildiz - Karso, D.;463;23;47;20;7;22;16;22;18;27;19;14;12;8;4;13;18;29;35;27;17;12;17;3;13;4;16
;;2;Geurs, M.A.;60;2;6;5;0;4;2;3;4;1;5;3;0;3;0;0;2;8;3;0;1;1;5;0;0;0;2
;;3;van der Duijn Schouten - van Hofwegen, A.A.;124;5;10;8;3;8;6;7;2;6;1;5;6;1;2;1;7;8;7;8;4;4;3;1;1;3;7
;;4;Ouwehand - van der Harst, G.;69;0;5;2;1;2;1;2;1;6;8;2;1;0;0;6;0;4;2;8;6;3;3;2;2;1;1
;;5;van Halm, L.;10;1;2;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;6;de Jong - den Hartog, M.;8;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;7;Kalishoek, M.;44;2;1;2;0;0;5;6;0;1;0;2;4;1;0;0;1;2;4;0;4;0;5;2;2;0;0
;;8;Ligthart, A.M.;7;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
;;9;Wolters, T.;20;1;1;2;0;0;0;3;0;0;0;0;0;1;0;2;2;3;3;0;2;0;0;0;0;0;0
;;10;Hulswit, J.G.;11;0;1;0;2;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0
9;GROENLINKS;;;795;49;35;27;19;39;29;47;30;62;36;25;16;12;7;18;34;35;28;51;44;17;41;18;14;31;31
;;1;Grimmius, P.C.;333;22;17;7;5;21;7;17;6;27;13;8;4;8;2;11;13;11;9;27;19;8;20;8;8;19;16
;;2;Grimmius, B.H.;30;2;1;1;1;2;3;1;0;4;1;0;1;0;0;1;1;0;2;2;1;0;2;0;0;2;2
;;3;Quist, L.B.;20;1;0;2;2;0;0;1;0;1;2;3;1;0;0;0;0;1;0;0;3;0;2;0;0;1;0
;;4;van Engelen, R.V.;93;0;4;3;2;3;8;12;11;11;1;2;2;1;2;1;1;7;4;4;4;1;2;0;1;4;2
;;5;van den Boogaart, J.C.;34;8;0;1;0;1;1;0;2;3;0;3;4;0;0;0;1;0;1;6;1;0;1;0;1;0;0
;;6;Stijl, C.;217;10;11;7;8;10;7;14;9;13;15;4;1;1;3;5;16;13;9;12;9;7;11;6;3;5;8
;;7;de Jong, B.;29;3;1;0;0;2;0;1;0;1;2;2;2;2;0;0;0;1;1;0;4;1;2;1;1;0;2
;;8;Prins, A.;6;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Baartse, A.;23;2;0;4;1;0;0;1;2;1;1;1;1;0;0;0;1;2;1;0;2;0;0;3;0;0;0
;;10;Zijlmans, W.C.J.;10;0;0;1;0;0;2;0;0;0;1;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1
