Verkiezing;;Gemeenteraad Zwijndrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zwijndrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Spektakel Zwijndrecht;Verenigingsgebouw 'P.V. Steeds Sneller';Kerkgebouw de Hoeksteen;Wijkgebouw 't Klankbord;Gymzaal Welhorst;Capital Sports 'Rob Sterkenzaal';Develhal;NS Station Zwijndrecht;Wijkcentrum Xiejezo;De Nederburgh / Lunenburg;Gymzaal Hart van Meerdervoort;Dorpshuis Heerjansdam;Sporthal Den Dam;Wijkcentrum Kubiek;Kerkgebouw Develhof;Gymzaal Lunenburg;Kerkgebouw de Hoeksteen 2;Gemeentehuis 2;Spektakel Zwijndrecht 2;Wijkcentrum Xiejezo 2;Gymzaal Hart van Meerdervoort 2;Wijkcentrum Kubiek 2;Wijkgebouw 't Klankbord 2;"Locatie ""Nebo""";"Locatie ""Swinhove/Ambachtstaete""";Gemeentehuis maandag;Spektakel Zwijndrecht maandag;Develhal maandag;Sporthal Den Dam maandag;Gemeentehuis dinsdag;Spektakel Zwijndrecht dinsdag;Develhal dinsdag;Sporthal Den Dam dinsdag
;;2;van der Graaf, N.J.C.;65;4;3;2;1;3;3;0;3;3;1;0;1;0;0;1;0;2;2;2;0;3;1;2;10;0;0;2;3;2;0;3;6;2;0
;;3;Trijsburg, F.J.;32;1;1;2;2;0;5;3;0;0;1;1;0;0;1;0;0;0;1;0;3;1;0;0;2;0;0;2;1;0;0;2;2;1;0
;;4;Gooijer-Vreugdenhil, D.M.;80;3;0;2;2;4;4;3;5;2;3;4;1;0;3;0;5;4;4;6;2;0;1;2;3;0;0;2;2;4;0;1;4;3;1
;;5;van Pelt, W.J.C.;58;3;1;3;3;7;2;4;1;3;0;1;0;0;0;0;5;0;0;2;0;1;0;1;2;0;0;2;0;0;13;0;3;1;0
;;6;van der Graaf, J.L.A.;3;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Meij, R.;73;1;2;0;3;3;0;0;0;2;0;0;1;11;24;0;1;1;0;0;0;0;0;0;2;0;0;0;2;0;5;0;0;0;15
6;Zwijndrechtse Plus Partij;;;1119;37;30;27;28;76;19;58;48;53;25;63;21;21;38;46;34;19;25;32;29;24;30;44;84;0;8;34;20;20;7;41;34;36;8
;;1;Hartmeijer, G.G.F.;446;14;13;11;12;27;10;24;16;19;7;21;5;14;13;15;13;7;15;14;14;14;20;19;25;0;3;15;11;7;5;21;8;9;5
;;2;van der Linden, E.;299;10;7;5;9;25;2;12;16;12;10;19;5;3;12;9;11;7;4;6;5;4;2;8;38;0;1;8;4;9;0;9;10;14;3
;;3;Struijs, J.P.;121;2;3;5;1;8;0;15;7;3;2;12;7;2;3;9;2;4;0;1;1;0;3;9;0;0;0;0;2;4;0;3;5;8;0
;;4;Tuijl, A.J.;39;0;2;0;2;9;0;1;2;4;1;0;0;1;1;2;2;0;3;0;0;0;0;0;7;0;0;0;0;0;0;0;1;1;0
;;5;Tameris, F.;72;8;1;6;1;0;1;1;1;5;3;2;1;0;1;3;1;0;1;7;1;2;3;2;1;0;1;6;1;0;1;5;5;1;0
;;6;Terlingen, A.C.;86;3;4;0;0;5;1;5;2;6;2;6;1;1;5;6;3;0;2;2;5;2;2;0;13;0;0;3;0;0;0;2;5;0;0
;;7;Oosterbaan, R.W.;56;0;0;0;3;2;5;0;4;4;0;3;2;0;3;2;2;1;0;2;3;2;0;6;0;0;3;2;2;0;1;1;0;3;0
7;Partij van de Arbeid (P.v.d.A.);;;1043;36;38;26;28;43;17;54;39;46;20;48;30;20;28;36;31;8;46;23;27;34;31;41;47;0;9;36;39;21;10;35;42;41;13
;;1;Slotema, G.;586;17;15;12;15;22;11;39;23;12;9;30;14;17;16;22;21;5;21;15;14;12;18;30;35;0;8;18;15;10;9;15;29;30;7
;;2;Rijnaard, M.H.;202;10;6;10;6;9;2;9;7;10;2;8;5;3;8;5;6;2;11;5;5;10;2;4;5;0;0;10;9;4;1;9;8;7;4
;;3;Negash, A.M.;107;4;11;3;0;5;1;0;2;10;2;2;8;0;1;5;0;0;8;1;6;6;7;3;2;0;0;0;7;4;0;5;3;1;0
