Verkiezing;;Gemeenteraad Zoetermeer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zoetermeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat-1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnastieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 -  Oosterheem;Stembureau Castellum Palensteyn;Stembureau PKN Gemeente De Oase;Stembureau RK Genesarethkerk;Stembureau RK Kerk De Doortocht;Stembureau De Kerk van Jezus Christus;Stembureau Gebouw 't SegheWaert;Stembureau PKN Ichthuskerk;Stembureau RK Kerk Tabor;Stembureau Parochie de Kapelaan;Stembureau Wijkpost Rokkeveen;Stembureau Kerkelijk Centrum De Regenboog;Stembureau RK Kerk De Wijngaard;Stembureau Buurtcentrum De Vlieger;Stembureau CKC & Partners;Stembureau Sporthal De Veur;Stembureau Sporthal De Veur - 2;Stembureau Gymnastieklokaal Steeneikzoom 3;Stembureau Gymnastieklokaal Steeneikzoom 3-2;Stembureau Sportzaal Groen-Blauwlaan 121-2;Stembureau Gymnastieklokaal Kadelaan 206;Stembureau Gymnastieklokaal Nesciohove 115;Stembureau Sportzaal den Brabanderhove 20;Stembureau Sportzaal Lijnbaan 311-2;Stembureau Gymnastieklokaal Irisvaart 10;Stembureau Gymnastieklokaal Velddreef 330-2;Stembureau Sportzaal Forelsloot 5 -2;Stembureau Gymnastieklokaal Fivelingo 88;Stembureau Gymnastieklokaal Spitsbergen 1;Stembureau Gymnastieklokaal Spitsbergen 1-2;Stembureau Gymnastieklokaal Kruiswater 197;Stembureau Gymnastieklokaal Schansbos 7;Stembureau Sportzaal Driesprong;Stembureau Sportzaal Willem Alexanderplantsoen 6b - 2;Stembureau Pop-up stembureau Eesterwaard - Meerzicht;Stembureau Pop-up 5 Meistraat - Dorp;Stembureau Wijkgebouw 't Span;Stembureau Pop-up Sumatra- 1 Oosterheem;Stembureau Pop-up Sumatra- 2 Oosterheem;Stembureau Pop-up Nieuwlandstraat-2 - Oosterheem;Stembureau Pop-up Sartrezijde - De Leyens
;;7;Dijns- van der Hoek, M.;36;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;2;0;1;0;0;0;2;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;1;0;7;0;0;0;0;0;1;0;3;0;1;1;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0
;;8;Hawezy, H.;16;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;9;Verhoeven, A.R.;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;10;van Oudheusden, E.;21;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Pronk-Yigit, M.;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Elfferich-Rodenburg, I.D.M.;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Moerman, C.;15;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1
;;14;Harwig, J.R.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;Alsalhawi, E.;28;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;2;6;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;1;0
;;16;Bos, M.C.;33;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;1;0;0;8;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
;;17;Pronk, C.N.J.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Burg, P.;17;0;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Liqui Lung, G.F.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0;1;0;0;4;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Roerig, A.H.;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0
;;21;von Meijenfeldt, F.H.;25;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;2;0;0;5;2;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;22;de Jong, K.J.W.;32;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;2;0;1;0;0;0;0;1;0;1;0;5;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0
6;PVV (Partij voor de Vrijheid);;;3184;53;23;71;27;71;22;50;40;18;24;28;24;32;27;67;38;65;27;47;28;25;37;27;24;70;58;84;74;55;30;27;46;69;39;32;40;68;37;44;73;26;18;67;78;14;76;47;53;30;22;31;44;0;72;45;25;28;52;54;47;30;0;71;22;17;62;29;40;39;66;47;28;36;18;36;73
;;1;Mooiman, J.;2427;49;20;59;22;55;18;40;25;13;23;22;19;27;22;53;28;38;21;37;22;22;27;16;16;52;47;56;61;43;22;23;34;50;31;21;30;48;32;29;56;15;14;50;54;12;59;31;47;18;17;19;26;0;51;34;19;23;43;44;39;21;0;60;17;12;49;25;30;34;53;41;20;30;14;25;52
;;2;Smitskam, P.;140;0;1;4;0;3;2;1;2;0;0;0;3;1;0;0;4;3;0;4;0;0;0;3;3;3;0;5;3;1;2;0;2;2;2;2;0;3;1;3;2;1;1;9;4;0;2;5;3;4;2;2;1;0;7;0;0;2;0;1;3;2;0;2;1;1;1;2;0;1;3;2;3;3;2;2;3
;;3;Smits, S.;125;1;0;2;1;1;0;0;4;1;0;0;1;0;0;7;0;4;1;1;0;1;4;1;1;4;2;9;2;2;0;0;1;3;0;4;2;7;0;1;4;3;1;0;4;0;3;1;0;2;0;1;0;0;5;3;3;1;1;3;2;2;0;1;0;0;0;1;3;1;4;0;1;2;1;0;4
;;4;de Vogel, C.M.;69;2;1;1;0;3;0;1;1;1;0;1;0;0;0;1;4;3;2;2;3;0;0;1;2;1;0;0;1;0;0;0;2;3;1;1;0;1;1;2;0;1;0;1;1;0;2;0;0;1;0;0;1;0;2;1;0;1;3;0;0;1;0;1;0;0;0;0;2;1;2;0;1;0;0;0;5
;;5;Stoop, A.C.A.;42;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;3;0;1;0;0;0;2;1;0;2;0;1;0;0;1;2;0;0;0;5;0;0;1;0;1;0;0;6;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0
;;6;Scharleman, T.;47;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;2;2;3;0;1;0;0;0;2;0;0;1;3;0;1;0;6;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;2;0;0;2;1;3;0;0;0;0;0;0;1;0
;;7;da Cruz Verissimo, C.M.R.;334;1;1;4;4;9;2;7;7;3;1;4;0;4;5;4;2;15;2;3;2;0;6;6;2;5;7;10;7;8;6;2;6;9;3;4;6;6;3;7;9;0;2;6;10;0;10;8;3;4;3;9;10;0;5;7;2;1;4;0;3;4;0;5;4;2;10;0;0;2;4;3;2;1;1;8;9
7;SP (Socialistische Partij);;;2797;57;42;40;23;55;28;43;29;23;22;24;10;39;36;57;27;59;28;31;29;17;38;22;24;85;41;64;68;36;31;35;43;53;20;25;27;80;36;52;64;28;37;68;41;20;72;45;47;23;26;20;18;0;35;41;31;54;62;36;39;22;0;59;4;10;51;38;30;26;66;44;25;24;12;28;52
;;1;Velner, J.A.L.;1192;23;19;16;13;18;16;19;13;11;6;16;7;21;14;27;16;27;11;16;11;6;16;9;10;36;15;27;26;14;8;12;22;19;3;9;8;29;22;25;26;5;16;32;19;7;35;27;17;14;11;10;5;0;14;11;16;24;50;15;21;6;0;18;1;5;22;15;15;5;28;11;12;8;5;10;20
;;2;van Damme, M.N.;809;21;12;12;8;16;7;17;10;9;7;4;2;8;9;15;9;16;9;7;9;8;13;9;4;26;17;14;25;11;7;4;8;14;11;9;12;16;9;11;21;8;9;20;14;7;19;13;12;8;7;5;5;0;9;17;6;13;4;10;10;9;0;10;2;4;19;13;4;6;15;25;7;8;7;8;20
;;3;Boin, J.W.H.;49;1;0;1;0;2;0;0;0;0;1;0;0;1;0;1;0;3;0;2;2;0;1;0;2;2;0;1;2;1;0;1;1;2;0;0;0;0;1;2;1;0;3;2;2;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0
;;4;Kamphuis-Roes, J.M.H.;124;3;0;3;1;3;1;2;0;1;0;0;0;1;3;4;0;1;2;2;1;0;2;0;2;4;2;4;2;0;0;3;1;1;2;0;0;5;1;2;3;3;3;1;3;1;5;2;1;0;1;4;0;0;4;2;1;2;3;0;3;1;0;2;0;0;1;3;0;4;3;2;4;0;0;1;2
;;5;van Riel, J.;132;4;5;0;0;3;1;0;1;2;3;4;0;3;1;4;1;5;1;0;0;0;0;2;0;3;3;1;1;4;3;3;1;2;1;3;2;3;1;3;5;2;0;6;1;0;3;1;0;1;2;0;2;0;0;3;3;2;0;2;1;1;0;8;0;0;6;0;1;2;2;1;1;1;0;1;0
;;6;Westhoek, W.D.;83;1;2;1;0;1;2;0;0;0;1;0;1;2;1;2;1;1;2;1;3;1;3;1;0;3;1;1;1;0;2;0;3;3;0;0;1;6;0;2;1;0;1;1;0;3;1;0;2;0;2;0;2;0;1;2;0;0;1;1;0;1;0;4;0;0;0;1;3;1;2;0;0;0;0;1;2
;;7;El Moubarik, M.;106;2;0;4;0;3;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;0;0;3;5;0;8;3;1;7;4;2;3;1;1;1;8;0;1;0;1;1;1;1;0;1;0;5;0;1;0;1;0;2;5;1;2;1;1;0;1;0;0;0;0;0;2;2;2;6;1;0;2;0;3;1
;;8;van de Ham, H.J.;13;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;9;van der Hoeven, T.B.A.;11;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;10;Berendse, M.J.M.;60;1;2;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;1;3;0;0;1;3;1;0;1;0;3;0;2;1;2;0;1;1;2;1;0;0;0;1;0;1;0;1;0;1;0;2;0;1;3;0;2;0;0;0;8;0;0;0;0;2;1;1;0;1;0;0;2;0
;;11;van Niel, E.;13;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Sanders, E.;10;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;13;de Haan, E.S.;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;14;van Leeuwen, P.N.G.;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0
;;15;Broekhuisen, R.W.H.;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;16;Brinkel, P.G.;6;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Scipio, E.H.;35;0;0;1;0;0;0;2;0;0;1;0;0;2;0;1;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;2;1;0;0;0;0;6;0;1;0;1;1;1;1;0;0;0;0;0;2
;;18;Raadschelders, J.M.M.;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Duivenvoorden, H.M.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Stikvoort, P.T.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;21;Jaarsveld, J.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van der Bol-Haarlem, M.A.;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;23;Ketting-Elsen, E.P.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0
;;24;van Driel, C.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;25;den Dulk, P.L.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;26;Kamphuis, E.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Nieuwenhuizen - Louwers, J.;36;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;1;0;0;0;1;1;0;5;0;0;1;2;0;1;1;0;3;0;2;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;3;0;0;1
;;28;Beij, I.F.A.;18;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
8;Partij van de Arbeid (P.v.d.A.);;;3408;50;31;62;34;44;30;53;33;34;35;35;28;61;39;89;34;67;37;61;39;40;30;28;24;98;44;77;73;40;31;30;33;57;42;35;34;57;26;63;70;27;36;73;59;22;88;44;64;24;44;56;37;0;71;51;51;66;66;51;38;30;0;79;20;24;51;40;24;32;63;29;37;50;21;48;64
;;1;Kraneveldt - van der Veen, M.;1961;39;22;39;23;28;22;37;20;19;25;21;18;26;19;41;21;43;24;40;17;22;23;23;11;52;16;44;41;20;16;12;12;28;22;17;14;26;13;39;49;11;26;50;34;17;46;33;44;18;21;27;17;0;47;33;35;40;38;26;23;20;0;46;11;11;34;26;17;15;29;15;23;20;6;19;39
;;2;Bout, S.N.;232;2;3;1;1;1;1;3;5;1;3;1;2;5;7;11;1;4;4;1;5;2;1;1;0;6;1;6;3;3;3;3;3;8;1;1;4;4;4;3;5;4;1;4;5;0;8;5;5;0;2;6;2;0;5;1;4;1;4;4;6;1;0;6;0;3;6;3;0;1;6;4;1;4;0;2;4
;;3;Louw, S.;219;1;2;9;1;6;0;3;1;2;1;3;2;1;0;9;2;5;3;3;2;4;1;2;4;1;0;5;4;0;5;1;1;4;7;3;5;0;4;4;1;3;2;3;4;0;13;3;2;0;3;11;5;0;3;3;2;5;0;4;1;0;0;6;3;2;0;1;0;0;3;2;5;2;3;12;1
;;4;Nikerk, Y.;111;1;0;0;0;1;1;1;0;5;0;1;0;2;2;0;0;2;0;2;2;1;2;0;0;4;1;3;2;3;2;1;3;2;0;2;0;2;2;1;1;2;0;3;3;2;0;0;1;0;6;1;2;0;0;4;1;0;5;0;5;0;0;2;0;3;3;2;0;3;2;5;0;1;0;1;2
;;5;Sagir, N.;164;2;0;2;0;1;0;1;3;2;0;1;1;3;3;10;1;1;0;2;1;0;2;0;2;11;6;2;2;6;0;0;3;0;3;6;3;6;0;3;0;2;1;1;1;0;4;0;1;3;1;2;1;0;8;0;1;6;1;1;1;0;0;1;2;2;5;1;1;4;0;1;0;10;0;5;8
;;6;Madhar, S.K.;157;0;1;2;1;0;0;0;0;0;1;2;2;6;3;7;4;2;1;1;1;0;0;0;1;8;3;9;6;1;0;4;1;3;3;1;5;5;1;4;2;2;0;0;0;0;4;1;2;0;5;1;2;0;0;0;2;7;1;5;0;1;0;3;0;1;0;4;2;6;8;0;0;3;0;3;3
;;7;van den Berg, C.;52;1;0;3;0;2;0;1;0;0;1;0;1;0;1;3;1;1;1;1;0;3;0;0;1;2;1;1;0;1;4;0;0;2;1;0;0;1;1;0;0;0;0;0;2;0;3;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;1;0;2;0;1;1;0;0;0
;;8;Welschen, L.A.M.;30;0;0;0;0;0;1;0;0;0;0;0;2;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;8;0;0
;;9;Disco, D.P.W.;65;0;0;0;0;2;3;0;0;0;0;3;0;4;1;0;0;1;0;0;0;2;0;0;2;1;0;0;2;0;0;0;3;4;1;2;0;1;0;2;1;0;2;2;0;0;0;0;1;0;1;0;2;0;3;1;0;4;1;0;0;3;0;1;0;0;0;1;1;0;2;1;0;2;0;0;2
;;10;Al Moukhaibar, R.;37;0;0;0;0;0;0;1;4;0;0;0;0;1;0;0;0;0;1;1;3;0;0;2;0;3;2;0;0;0;1;0;0;2;0;0;0;3;0;2;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
;;11;Beckhuis, H.;17;0;1;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;3;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;12;Rida, W.H.;27;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;1;0;1;2;0;1;0;0;0;2;0;0;1;4;1;0
;;13;Ouwerkerk, J.;23;2;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;1;0;1;1;0;2;0;2;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Severina, R.R.;23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;2;0;1;0;0;0;1;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;2
;;15;Walther, C.;28;0;0;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;1;0;1;2;1;0;2;0;1;0
