Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;OBS Nicolaas Beets;Amicitia;Wijkcentrum Het Oude Raadhuis;Wijkcentrum Oud Rijswijk;Sportcentrum De Schilp;Woonzorgcentrum Vredenburch;speeltuinvereniging Inter Amicos;Amateurspalet;Stadhuis;Belvédère Rijswijk;De Rijswijkse Schouwburg;Nieuwe Kerk;Informatiecentrum in de Bogaard;Sportcentrum De Schilp;Centrum voor Jeugd en gezin;Basisschool Steenvoorde (gymzaal);Basisschool Wethouder Brederode;Petrusschool;Basisschool Het Kristal;Stervoorde;Gemeenschappelijke ruimte  t Hoekje;CBS Melodie;Buurthuis De Drassige Driehoek;Kunstgebouw;Bibliotheek Rijswijk;Rijswijks Lyceum;Best Western;Groepswonen voor Ouderen;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Montessorischool Parkrijk;Informatiecentrum RijswijkBuiten
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;22;24;25;26;28;30;32;43;44;50;51;52;54;60;61;62;64;65
Postcode;;;;;2281 TH;2281 GA;2282 AL;2282 RZ;2285 SP;2282 SK;2282 KV;2282 HM;2284 DP;2283 XM;2283 GM;2284 EH;2284 DE;2285 SP;2285 XM;2285 VD;2286 MV;2286 RL;2286 GE;2286 BA;2286 GA;2287 BS;2288 CN;2289 BE;2288 AG;2284 GA;;2287 EE;2286 KC;2281 GA;2284 DP;2285 SP;2286 KC;2281 GA;2284 DP;2285 SP;2288 HR;2286 KC
;;3;Ezinga, M.A.J.;77;20;4;1;5;1;0;0;2;3;0;0;4;1;2;0;0;0;2;1;1;1;4;1;3;2;1;0;0;2;5;0;0;0;5;3;0;1;2
;;4;Loof, J.;61;0;4;3;2;0;0;0;1;14;4;1;3;5;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;6;1;5;0;0;1;5;0;1;0
;;5;van Damme, W.J.M.;100;0;8;3;8;0;0;39;5;1;1;1;1;0;2;1;0;0;1;0;8;0;0;0;12;0;0;0;0;2;0;0;0;0;5;0;2;0;0
;;6;Huisman, M.R.;57;0;2;0;1;1;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0;1;1;1;3;0;0;0;0;21;3;1;1;4;1;1;1;4;5
;;7;Gerritsen, A.;15;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;4;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0
;;8;Sterk-Hermans, T.A.M.;274;8;32;13;26;5;0;6;3;8;5;13;7;1;11;5;2;6;1;3;8;4;4;0;7;5;5;1;5;13;7;8;3;2;14;11;7;7;8
;;9;Strating, R.;73;1;7;2;1;1;0;1;1;2;1;7;3;0;4;0;0;0;1;1;2;0;0;0;5;3;2;1;0;12;2;3;4;1;1;0;2;1;1
;;10;Beuker, R.;9;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
;;11;Keizer, N.J.;32;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;1;1;3;0;1;0;0;0;3;3;0;0;0;1;0;0;0;2;2;0;3;2;3
;;12;Zonneveld, M.;38;3;2;2;3;0;0;1;0;1;2;1;3;0;4;0;0;0;1;0;3;0;0;0;3;0;0;0;0;1;0;0;1;1;1;2;0;2;1
;;13;Dijkstra, M.G.;27;2;0;1;0;0;0;0;0;2;0;0;3;0;0;0;0;1;0;3;0;1;0;2;1;2;0;2;0;2;0;2;0;0;0;1;0;2;0
;;14;Kersten-van Dijk, M.B.;20;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;1;1;0
;;15;van der Pol, J.J.;5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;van Hemert, R.;63;1;2;0;1;1;0;1;4;2;1;0;2;1;2;0;2;10;5;1;1;0;1;2;1;3;0;1;2;6;1;1;1;1;1;1;2;1;1
4;D66;;;2514;116;215;100;207;81;2;125;64;67;63;89;63;17;86;29;31;43;39;43;62;32;22;32;104;61;29;25;25;153;58;51;46;29;99;45;57;66;38
;;1;Woudstra, E.;1566;73;135;63;121;50;1;74;42;44;46;57;39;12;45;21;20;26;26;30;36;21;14;26;58;39;18;18;11;91;29;37;26;20;65;31;37;39;25
;;2;Dolmans, C.P.I.M.;67;4;5;3;6;0;0;7;1;4;6;1;0;0;1;0;0;0;0;0;4;0;0;0;4;6;0;1;1;3;1;1;1;0;3;3;1;0;0
;;3;van der Weij, W.;177;5;9;6;15;17;0;6;3;2;0;2;3;0;17;2;8;1;4;1;4;2;5;1;6;1;3;3;2;13;3;1;8;2;2;3;7;7;3
;;4;Veerman, Q.L.A.;26;1;2;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;1;0;0;0;1;1;0;0;0;2;0;1;2;0
;;5;Dresscher, M.;25;3;1;1;5;0;0;1;2;1;0;2;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;2;0
;;6;Kleinjan, M.A.;16;0;1;1;2;0;0;0;0;1;0;3;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
;;7;Boldewijn, M.X.O.;28;1;2;3;1;1;1;4;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;3;1;1;0;1;2;2;0;0;0;0;0;0;0;0
;;8;Verbrugh, H.A.;32;1;4;1;5;1;0;1;1;0;2;3;1;1;1;0;0;1;0;0;0;1;0;0;2;0;0;0;0;1;3;0;0;0;2;0;0;0;0
;;9;Fransen, J.M.;120;10;12;8;11;5;0;2;3;1;1;3;4;1;2;1;0;1;2;0;4;1;2;0;5;4;0;0;1;15;4;1;0;0;5;1;3;4;3
;;10;Ekelschot, S.;45;3;1;0;10;0;0;3;3;1;0;2;3;0;2;0;0;2;1;0;0;1;0;1;2;0;0;0;0;2;0;2;2;1;0;2;0;0;1
;;11;Koopmans, J.M.;16;1;5;2;0;1;0;2;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Stallenberg, M.U.;17;1;1;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;1;0;1;0;0;0;1;0;0;0
;;13;van de Laar, A.F.M.;77;1;4;2;6;0;0;9;1;1;2;7;3;0;4;0;0;2;1;1;1;1;0;1;2;4;1;1;0;4;1;5;6;1;1;0;1;1;2
