Verkiezing;;Gemeenteraad Dordrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dordrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Stadskantoor;Dordrechts Museum;Energiehuis;Centraal Station  Portacabin op bordes;Wooncentrum Schouwstock;Gebouw De Driesprong;Zorgcentrum De Linde;Pinkstergemeente Het Keerpunt;Dordtse Vrije School;Gymzaal Dintelstraat;Wijkcentrum De Koloriet/Kleurrijk;Het Waterwiel;Speeltuin Zeehavenkwartier;Wijkcentrum De Admiraal;Wooncentrum Watersteijn;Postillion Hotel;Trefpunt de Nieuwe Stoof;Gymzaal Deetoshal bureau 1;Gymzaal Deetoshal bureau 2;Cultureel Centrum Sterrenburg;Albert Schweitzerziekenhuis  Dordtwijk;Verpleeghuis De Sterrenlanden;Portacabin Eulerlaan;Gymzaal Ockenburg;Ontmoetingskerk  bureau 1;Verzorgingshuis Dubbelmonde;Hotel De Watertoren;Lucina Verloskundigenpraktijk;Wielborgh  Het Polderwiel;Kandelaarkerk;Speeltuin Stadspolders;Gymzaal  bureau 1;Gymzaal  bureau 2;Het Sinterklaashuis;Gymzaal Van den Broek-Erf;Grote Kerk;Wilhelminakerk  bureau 1;Kerk De Bron;Portocabin;Zwembad/ijsbaan;Theater Inter Amicos;Wilhelminakerk  bureau 2;Jubal Muziek Centrum  bureau 1;Jubal Muziek Centrum  bureau 2;Basisschool Wantij  bureau 1;Basisschool Wantij  bureau 2;Julianakerk  bureau 1;Julianakerk  bureau 2;School Brouwersdijk;Apostolisch genootschap;Portocabin;De Zuidhovenkerk;Gymzaal Atmosfeerstraat;Gymzaal De Weegschaal;Gymzaal Sandenburg;Ontmoetingskerk  bureau 2;Gymzaal Heimerstein;Evangelische Gemeente Jozua;Gymzaal Van Schendelstraat  bureau 1;Deltahal  bureau 1;Deltahal  bureau 2;Gymzaal Van Schendelstraat  bureau 2;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren
;;5;den Hartog, P.R.;44;1;2;0;1;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;1;0;2;0;0;3;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;1;1;1;4;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;1;2;2
;;6;Uysal, A.E.;352;7;6;13;31;3;5;17;0;7;4;1;13;0;0;9;0;0;3;2;0;14;0;0;4;1;1;0;1;6;1;1;14;5;4;6;3;1;2;4;7;1;5;2;0;3;14;4;13;31;12;4;1;3;1;1;1;0;2;0;0;1;1;3;5;5;0;2;0;2;3;1;10;11;0;4;1;5;2;2
;;7;Rietveld-Hagedoorn, K.;42;4;2;0;1;3;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;3;0;0;2;0
;;8;Kruger, K.;557;47;27;17;16;21;6;42;0;10;27;2;3;0;0;7;2;2;1;3;4;7;2;0;0;4;6;0;11;4;0;7;8;2;3;14;6;20;9;4;5;4;5;10;7;3;1;2;3;7;15;3;9;5;1;7;3;5;2;3;3;3;4;5;20;2;1;3;5;0;0;11;22;8;2;8;6;0;3;7
;;9;Brandhof, E.;59;7;1;4;5;1;1;5;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;3;0;0;1;0;0;2;0;0;0;0;1;0;1;0;3;1;1;1;0;0;2;0;2;0;0;1;1;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0
;;10;Timmer, D.G.H.;29;1;0;3;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;2;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;1;2;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Lijster, J.N.;29;2;2;1;2;2;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0
;;12;de Buck, A.;20;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Verbakel, W.J.J.M.;26;1;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0
;;14;Westeneng, J.;54;5;1;0;3;2;0;3;0;1;4;1;1;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;2;0;1;3;0;0;3;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;1;4;0;1;0;0;0;1;2;1;1;0;0;1;0;0
;;15;Davrados, G.;20;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;1;1;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Ruisch, M.C.;87;4;4;9;4;3;3;6;0;0;3;1;0;0;0;0;0;1;2;0;1;0;0;0;1;0;2;0;2;0;1;2;0;0;1;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;1;0;0;4;1;0;0;1;0;4;4;1;0;0;0;0;0;1;3;0;0;0;3;1;2;2
5;ChristenUnie-SGP;;;4360;48;58;36;41;52;19;128;4;74;133;42;43;4;0;56;49;38;35;14;22;145;11;2;80;10;64;15;134;135;0;102;31;44;25;18;77;71;21;71;35;51;29;35;43;37;22;12;115;79;71;89;56;189;157;26;42;54;75;72;89;95;83;90;32;65;45;21;28;29;16;88;44;68;40;53;55;33;29;116
;;1;van der Linden, H.;2042;21;30;20;16;21;8;58;0;45;47;18;13;4;0;33;14;21;15;5;10;86;6;2;30;5;32;10;50;56;0;52;14;19;6;11;47;28;8;34;23;18;12;14;16;18;15;6;67;31;29;33;33;87;65;15;13;27;40;36;37;47;40;45;19;44;22;7;11;15;8;49;19;31;22;21;35;13;16;48
;;2;Struijk, L.C.;273;0;2;1;2;2;2;4;1;2;9;3;4;0;0;2;8;2;3;0;1;20;1;0;5;0;1;0;5;7;0;6;2;3;1;1;2;6;2;0;0;0;1;2;5;3;3;0;12;10;5;6;1;20;15;1;1;2;2;7;9;7;7;5;1;0;5;0;2;0;0;4;1;6;7;0;2;1;6;4
;;3;Boersma, J.W.;88;0;1;1;1;0;0;4;0;0;11;1;1;0;0;0;0;0;0;0;0;2;1;0;1;2;5;0;4;5;0;4;2;2;0;0;0;0;0;0;1;0;2;1;3;2;0;0;2;2;2;2;0;2;0;0;1;1;0;0;0;4;3;1;0;0;0;0;0;1;1;1;0;1;0;3;1;1;1;1
;;4;Nieuwland-van den Bosse, P.M.;793;15;6;7;11;9;2;26;2;15;24;8;8;0;0;5;12;5;6;3;5;15;0;0;17;3;11;1;33;30;0;14;0;9;8;1;6;18;7;16;1;11;1;9;7;5;2;2;18;15;11;13;8;33;35;6;12;11;24;7;17;14;12;18;9;12;9;4;8;7;1;21;7;16;5;9;5;8;1;21
;;5;de Heer, R.P.;208;0;6;2;2;1;3;12;0;1;5;4;2;0;0;6;6;0;7;1;1;7;0;0;11;0;0;1;5;8;0;7;4;5;0;3;3;3;0;0;1;5;6;1;0;0;0;1;3;5;4;6;1;3;2;0;4;2;1;2;6;5;5;0;0;2;4;0;1;0;0;2;2;1;2;3;3;3;2;4
;;6;Droog, F.A.K.;41;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;1;2;7;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;3
;;7;de Feijter, W.K.B.;45;0;2;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;5;0;0;0;1;2;0;0;0;5;0;0;0;1;0;0;0;0;0;2;1;0;8;2;0;0;0;0;0;0;1;2;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;1
;;8;Zuijdweg, J.M.A.;63;2;0;0;0;0;0;2;0;0;5;0;4;0;0;1;1;0;0;0;0;0;0;0;2;0;2;0;1;1;0;1;0;0;0;0;2;2;0;0;0;0;1;0;1;0;1;0;1;1;5;1;0;2;10;0;2;2;2;2;0;0;0;1;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0
;;9;Bosman, M.P.;27;1;0;0;1;1;2;0;0;0;3;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;10;Boiten, P.M.;56;0;0;0;4;1;0;1;0;0;0;1;2;0;0;0;0;1;0;0;0;3;1;0;0;0;1;0;3;2;0;0;0;3;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;2;0;1;3;0;2;0;0;0;0;0;1;2;1;3;0;0;1;0;1;0;0;1;1;2;0;0;1;2;0;5
;;11;Klugkist, J.;13;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Willigen, F.G.J.;105;0;1;0;0;2;1;5;0;1;4;3;1;0;0;2;2;0;1;0;0;0;0;0;1;0;0;0;11;1;0;1;0;0;0;0;2;1;2;3;0;2;0;0;5;0;0;1;2;4;1;3;3;4;6;0;1;1;0;2;0;1;3;1;2;1;0;0;0;1;1;4;0;0;0;1;0;0;0;10
;;13;van der Vlies-van der Mast, L.;157;2;4;4;1;6;0;6;0;2;3;1;2;0;0;2;2;4;0;2;0;0;2;0;3;0;6;1;5;3;0;1;5;0;2;0;3;6;0;0;1;2;1;2;1;0;0;0;4;3;5;11;2;9;1;0;1;3;1;1;1;5;3;1;1;1;0;2;2;1;0;2;2;1;0;0;3;0;1;5
;;14;de Jong, D.;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
;;15;Wietses-Smit, F.;101;2;3;0;0;0;0;1;0;2;3;1;3;0;0;0;0;0;0;1;0;1;0;0;2;0;2;0;5;2;0;5;2;3;0;0;1;0;0;7;1;1;3;2;1;0;1;1;2;2;0;5;1;4;0;1;2;1;3;4;2;1;0;0;0;1;0;4;0;0;0;0;1;2;1;0;1;2;1;4
;;16;Pons, P.;8;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Breekveldt, B.;22;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;6;0;0;0;1
;;18;Morée, P.C.;33;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;3;0;0;0;2;1;0;0;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;7;0;0;0;0
;;19;Vastenhout, W.T.;61;0;1;0;1;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4;6;0;1;0;0;2;0;1;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;5;0;2;0;2;2;6;0;1;2;0;0;1;0;0;0;0;0;0;4;1;0;0;2;0;0;0
;;20;de Bruin, P.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Eeuwijk, G.W.;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;2
;;22;Bakker, A.;11;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;23;Laban, C.M.;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0
;;24;van Dongen, P.C.;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;van der Vegt, L.;15;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Leertouwer, G.;34;1;0;0;0;1;0;2;0;4;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
;;27;Tonino, M.M.E.;15;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0
;;28;Staat, B.;26;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;5;2;1;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2
;;29;Kamsteeg, A.T.;14;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;30;Veldman, J.D.;40;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;1;1;1;4;1;1;0;0;1;0;0;1;4;1;0;2;0;1;1;0;0;2;0;0;0;0;0;0;0;2;0;1
6;PVV (Partij voor de Vrijheid);;;1476;27;29;16;20;16;17;29;0;15;26;21;29;6;24;42;17;7;30;10;4;61;8;2;35;12;47;2;39;35;7;33;18;17;14;8;32;10;4;39;29;16;12;5;6;2;20;19;18;12;40;9;18;12;26;18;28;29;15;4;14;14;27;27;23;22;10;8;7;9;18;19;17;29;10;10;22;11;12;21
;;1;van Leeuwen, D.T.J.;1106;21;23;15;16;13;16;27;0;11;15;14;23;4;21;33;15;6;19;6;2;47;5;2;23;6;35;2;28;28;3;22;14;11;13;7;26;5;3;25;17;13;7;5;6;2;13;18;15;11;29;6;13;9;17;16;21;23;12;4;9;10;20;16;14;14;10;4;5;9;13;15;14;22;8;8;20;9;9;15
;;2;den Dulk, A.J.;41;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;2;0;0;2;0;1;0;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;4;0;3;2;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2
;;3;Rutten-Alberts, S.A.M.;207;5;3;1;2;3;0;2;0;3;3;6;0;0;1;4;2;0;6;4;2;8;3;0;7;6;9;0;7;4;2;6;1;3;1;0;4;4;1;10;3;2;3;0;0;0;7;1;1;1;5;2;1;1;6;0;4;4;3;0;4;1;4;2;4;2;0;2;2;0;2;2;2;2;2;0;2;1;3;3
;;4;Hartog, E.;33;0;0;0;1;0;0;0;0;0;1;0;4;0;1;0;0;0;1;0;0;0;0;0;2;0;1;0;0;2;0;2;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;2;0;0;1;2;0;1;0;0;0;0;0;0
;;5;Vink, M.;17;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;6;Florentinus, M.G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;7;Helweg, R.;34;0;0;0;0;0;0;0;0;1;3;1;1;1;0;1;0;0;1;0;0;2;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;2;0;1;4;0;0;0;0;0;0
;;8;van den Assem, M.;33;0;2;0;0;0;1;0;0;0;3;0;1;1;0;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;SP (Socialistische Partij);;;1537;53;30;37;22;27;21;61;3;14;27;24;13;3;5;37;14;16;28;12;12;87;7;2;32;17;43;3;13;24;0;20;16;3;10;24;25;11;14;33;12;18;18;11;4;3;21;19;29;27;23;26;20;13;26;8;18;33;29;0;16;8;10;15;27;19;5;22;8;15;7;15;37;31;18;17;11;18;22;15
;;1;Portier, R.;862;29;16;17;13;8;13;35;2;7;15;11;8;2;3;24;11;10;12;6;5;58;6;1;13;5;23;3;5;16;0;6;12;1;4;15;16;5;11;21;6;8;12;6;3;2;9;9;16;11;14;15;10;7;15;7;9;21;14;0;9;3;6;9;14;12;1;12;3;10;6;9;22;19;11;7;9;12;15;11
;;2;Okkerse, M.;107;4;2;1;1;5;2;2;0;1;1;3;2;1;0;2;1;0;2;0;1;8;0;0;1;3;1;0;1;2;0;5;0;1;1;0;4;3;1;2;0;2;1;1;0;0;1;3;1;2;1;0;3;4;2;0;1;2;2;0;1;2;0;1;2;0;0;1;1;2;0;1;2;0;0;1;1;1;1;0
;;3;Hartmeijer, R.;31;0;1;3;0;0;0;0;1;0;2;1;0;0;1;1;0;1;3;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0
;;4;'t Lam, J.J.;22;0;1;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0
;;5;Brongers, J.A.;18;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;6;Cimen, O.;44;0;2;0;2;0;0;1;0;1;1;1;0;0;0;4;0;0;0;2;1;2;0;0;2;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;1;0;0;0;1;0;5;1;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0
;;7;Müller, J.S.;262;16;5;11;4;10;3;10;0;3;1;6;2;0;1;3;1;3;8;0;2;5;1;1;9;4;7;0;4;5;0;5;1;1;4;0;2;2;2;8;2;3;2;2;0;0;3;3;0;11;1;8;3;1;5;1;4;7;6;0;0;0;2;1;2;4;3;5;2;0;1;3;5;5;3;5;1;2;3;3
;;8;van de Laar, S.J.M.L.M.;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;Maas, M.H.;50;1;1;1;0;0;0;1;0;0;2;1;0;0;0;1;0;1;1;2;2;2;0;0;1;0;4;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;1;0;0;1;1;0;2;1;0;2;0;2;0;0;1;1;0;1;2;1;0;1;0;0;1;0;0;0;0;3;0;0;2;0;0;1;0
;;10;Maas, M.R.;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Wisse, M.W.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Heus, S.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;13;de Mie, N.J.C.M.;11;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Vermeij, C.H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;15;Boekee, E.;9;0;0;1;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Pagie, Y.M.;21;0;1;1;0;2;0;1;0;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;2;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Veltman, C.P.;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0
;;18;Damsma, A.C.;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
