Verkiezing;;Gemeenteraad Bodegraven-Reeuwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bodegraven-Reeuwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Meent;bij Everts;De Doortocht;Dienstencentrum 'Rijngaarde';Voetbalvereniging ESTO;sporthal 'De Sporthoeve' Hal 1;sporthal 'De Sporthoeve' Hal 2;'Hollandse Boerderij';'t Wierickehuis;Dorpshuis Custwijc;Huiskamer van Waarder;Dorpshuis De Kaag;Zalencentrum De Brug Zaal 1;Zalencentrum De Brug Zaal 2;Consistorie NH-Kerk;Sporthal de Meerkoet Hal 1;Sporthal de Meerkoet Hal 2;Gemeentehuis maandag;sporthal 'De Sporthoeve' maandag;Dorpshuis Custwijc maandag;Zalencentrum De Brug maandag;Gemeentehuis dinsdag;sporthal 'De Sporthoeve' dinsdag;Huiskamer van Waarder dinsdag;Zalencentrum De Brug dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;201;207;211;214;301;307;312;314
Postcode;;;;;2411 BD;2411 VV;2411 CV;2411 DS;2411 EV;2411 LL;2411 LG;2411 LG;2411 PK;2415 AW;3465 KG;3466 LN;2811 LE;2811 CA;2811 CA;2811 GC;2811 BM;2811 BM;2411 BD;2411 LG;3465 KG;2811 CA;2411 BD;2411 LG;3466 LN;2811 CA
;;15;Bonnema, S.;7;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0
;;16;Karssen, M.W.A.;20;5;2;2;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0
;;17;Zoomers-Heemskerk, E.G.;10;1;3;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;van Uffelen, I.M.C.;9;0;0;2;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;1
;;19;Oostdam-Reuvekamp, Y.A.M.;43;3;1;3;5;2;1;2;1;0;0;1;1;10;2;2;0;2;0;1;1;1;0;2;2;0;0
;;20;van Os, G.P.;26;0;0;1;0;0;0;0;0;0;6;3;11;0;1;0;0;0;0;0;0;1;0;0;0;3;0
;;21;de Knikker, A.J.;35;6;2;6;5;0;4;2;1;0;0;1;0;0;1;0;0;0;0;2;0;0;0;5;0;0;0
;;22;Grootscholten, J.P.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;2;1;0;0;0;2;0;0;0;0
;;23;Hoogeveen, G.J.W.;9;3;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;24;Kastelein, J.;21;2;0;0;3;0;2;0;0;8;1;1;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0
;;25;van Esschoten, J.;31;0;0;0;1;0;0;0;0;0;0;14;8;0;0;2;0;1;0;0;0;3;0;0;1;1;0
;;26;van Veldhuizen, F.C.G.;20;3;0;1;3;0;2;3;0;0;1;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0
